,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X000301.SZ,X002466.SZ,X600489.SH,X600160.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X600176.SH,X000877.SZ,X002128.SZ,X601699.SH,X000630.SZ,X000408.SZ,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X600157.SH,X002353.SZ,X600352.SH,X600378.SH,X000831.SZ,X600995.SH,X002271.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0,0,0,0,0.0226118136028394,0,0,0,0,0,0,0.326470282416887,0,0,0,-0.074759802477863,0,0,0,0.0107526989403006,0,0,0,0,0,0,0,0,0,0.0440412029499289,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066787416085191,0,0,-0.0679801897899482,0,0,0,0,-0.0104068626707666,0,0
X600011.SH,0,0,0,0,0,0.056650895388916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249859367837903,0,0,0.0526558051323632,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0.0957261628727287,0,0,0,0,0,0.0225385068875954,0,0,-0.0594970576449464,0,0,0,0,-0.00870706651354947,0,0
X600547.SH,0,0,0,0,0,0.143339767905111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312328989167194,0.59340569411161,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550911994911609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319891804484969,0,-0.0217955119113776,0,0,-0.00282980189337423,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416621593160669,0,0.154691334790146,0,0,0.175402366369871,0,0,0,0,0,0,0,0.18334540836551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118492749513688,0,0,-0.0457629750841791,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230845392666639,0,0,0,0,0.0279286010136049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41843620791725,0,0,0,0,0,0.105318780587329,0,0,-0.0381061598077269,0,0,0,0,0.0590685944434163,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0189474811939903,0,0,0,0,0,0,0,0,0,0,0.0656329147237908,0,0,0,0,0,0,0.0526327602417344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119878694728184,0.116931337798121,0,0,0,0.450949726038334,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.391798695110682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701490798993097,0.362724247758224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145157164373734,0,0,0,0,0,0,0,0,-0.0354154088139773,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,-0.085655222091753,0,0,0,0.195018473991797,0,0,0,0,0,0,0.660674255589213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294545262666601,0,0,0.107680773749717,0,0.122300678895506,0.121708565306587,0,0,0,0,0.106708601485486,0.0383661132878457,0,-0.0166864432047486,0,0
X600362.SH,0.0623007985758992,0,0,0.196941383974466,0,0,0,0,0,0.206472941912611,0,0,0,0,0,0,0,0.0802378716138446,0,0,1.38777878078145e-17,0,0,0.015216538149299,0,0,0,0,0,0,0,0,0,0,0,0.0288429642386221,0.290979267702462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187144289219554,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106417645159874,0.0970288783412572,0,0.0669118309640955,0,0,0,0,0,0,0,0,0,0.323172403916252,0,0,0,0,0,0.109093470537045,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0849432162221649,0,0,-0.0842877530556111,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.0732924373199371,0,0,0,0,0,0,0,0,0,0,0.724213536198861,0,0,0,-0.0255071174542287,0,0,0,0,0,0,0,0,0,0,0.035340993009564,0,0,0,0,0,0,0,0,0,0,0,0,0.0221011002924223,0,0.153933039897424,0.155512698514537,0,0,0,0,0.0442285788875634,0,0,0,0,0
X600489.SH,0,0,0,0,0.140785134204212,0,0,0.0210735060123218,0,0,0,0,0.927713561804862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775833616438131,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0079869578027207,0,0,0,0,0,0,0,0,0,0,0,0
X600160.SH,0,0,0,0,-0.0244572044817084,0,0,0,0,0,0,0,0,0,0,0,0,0.0998121114599329,0,0.137991679097732,0.0320116799107451,0,0,0,0,-0.11998275874689,0,0.0183118503263976,-1.73472347597681e-18,0,0,0,0,0.00741958473572673,0,0,0,0,0,0.398189185819416,0,0.0850813927772443,0,0,0,0.333444711183775,0,0,0,0,0,0,0,0,0,0,-0.0417825340384951,0,0
X000708.SZ,0,0,0,0.210755061180224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854172545183203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390558453749438,0,0.0370857303770604,0,0,0,0,0,0.0172871585417131,0,0,0.0772352814536836,0,0,0,0,0,0.0444944314740478,0,0,0,0,0,0,0,0,0,0
X600803.SH,0.292042248534323,0,0,0.104026058521154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253119147637073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.076262966217116,0,0,0,0,0,0,0,0,0.0188007978774087,0.127781265320088,0,0,0,0,0,0,0,0.00756938120236244,0,0,0,0,0.0164313229525295,0,0,0,0,0,0,0,0,0,0,0,0,0.104772740589262,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129801157370672,0,0
X601991.SH,0,0,0,0,0.0397517718715222,0,0,0,0,0,0,0.439564241323329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597306788829355,0,0,0,0,0.00833724476591143,0,0,0,0,0.0391262160548951,0,0,0,0,0,0.156261614738623,0,0,0,0,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,-0.0918980546141523,0,0,0,0.309138566699255,0,0,0,0,0,0.0130011969802371,0,0,0,0,0,0,0.0115234734858789,0,0.00916374430182217,0,0,0,0,0,0,0,0,-0.0352902212928658,0,0,0,0,0,0,0,0.508894079419959,0,0.04518309698551,0,0,0,0,0,0,0,0,-0.000852316750331259,0,0,0,0,0,0
X000786.SZ,0,0,0,0,-0.121066442644338,0,0,0,0,0.349393240340697,0,0,0,0,0,-0.0156221711603645,0,0,0,0,0,0.165788555530822,0,0,0,0,0,0,0,0,0,0,0,0.0221132177636283,0,0,0,0,0,0,0,0.103909970617182,0,0,0,0,0,0,0,0,0,-0.0795550360458277,0,-0.102840650734818,0,0,-0.0148590094314567,0,0
X600219.SH,0,0.0426698479359036,0,0,0,0,0,0,0,0.441996065318296,0,0,0,-0.0487290037965269,0,0.0329837118695067,0,0,0,0,0,0,0,0,0,0.103701442357587,0,0,0,0,0,0,0,0.110920860227884,0,0,0,0,0.1752941439865,0,0,0,0.00782047806209945,0,0,0,0,0,0,0,0,-0.0181762618470441,0,0,0,0,-0.0321161695650919,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716249968525401,0,0,0,0,0,0,0,0.00838537217456185,0,0,0.068176189014615,0.138478656272259,0,0,0.1299166557448,0,0,0,0,0,0.0404923010729245,0.0428691772811616,0,0,0,0,0,0.247518531780049,0,0,-0.0276674713903374,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0.0518365208809756,0,0,0.0062908920027083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201330752586419,0,0,0,0,0,0,0,0,0,0,0,0.215088718623854,0.0636251851482538,0,0,0,0,0.0399365889687744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209659248175476,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1077136352993,0,0,0,0,0,0,0,0,0,0.109225021993703,0,0,0,0,0,0.264345330815393,0,0,0,0,0.0208088560688882,0,0.112522596501549,0,0,0,0,0.022803550880548,0,0,0,0,0,0,0,0,0,0
