,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X000027.SZ,X601992.SH,X000539.SZ,X600309.SH,X000898.SZ,X000709.SZ,X600021.SH,X600352.SH,X000883.SZ,X600660.SH,X002470.SZ,X601918.SH,X000792.SZ,X600098.SH,X600623.SH,X600489.SH,X600022.SH,X600307.SH,X600547.SH,X600863.SH,X000629.SZ,X600808.SH,X002353.SZ,X000060.SZ,X300072.SZ,X600578.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.518165703113687,0,0.19175327095813,0,0,0,0,0,0.0688758692730912,0,0,0.0550608940882211,0.00630456907656195,0,0,0,0,0,0,0,0,0,0,0.0330021909860528,0,0,0,0,0,0
X601992.SH,0,0,0,0.0110499285447692,0,0,0,0,0,0,0,0.0276131340780603,0.23672512164201,0,0,0,0,0,0,0,0,0,0,0,0.352997459855546,0,-4.33680868994202e-19,0,0.177071974753341,0,0.110898000671087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363939802483252,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0.359478567675673,0,0,0,0,0,0.0511669022900265,0,0,0,0,0,0,0,0.137676586052065,0,0,0.0350290528719744,0,0,0,0,0,0.0398982232764155,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785879062413076,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.471999577529816,0,0.0291435341865948,0,0,0,0,0,0,0,0,0,0,0,0.165648365415132,0,0,0.124743433294699,0,0,0,0,0,0.0229430229431363,0,0,0,0.0135626920305797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00660277810680547,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0.0248158377496912,0,0.205672413075248,0,0,0,0.00147547763314384,0,0,0,0,0,0,0,0.214292797906467,0,0.175588341391397,0,0.0563706830057789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234313277555301,0,0,0.0190620872485599,0,0,0,0,-0.0416243615137988,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.232354067480869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104008572019099,0.0270801788431215,0,0,0,0,0.382031688097933,-0.0844139269574416,0.136018287098673,0,0,0,0,0.229431934410677,0.139904470941836,-0.0380216979440316,0,0,-0.000254059238359486,0.0445706065776119,0.0512068893830741,0.0488788566444855,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0.0171339410373535,0,0,0,0,0,0,0,0,0,0,0.0774484469504008,0,0,0,0,0,0,0,0.121408584994744,0,0,0.150513781850994,0,0.274040012644612,0.220700702999255,0,0,0,0,0,0.0161775055198643,0.041868330442092,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0.0934235933352563,0,0,0,0,0.241495344774753,0.0376459739447763,0,0,0,0.104871089968027,0,0.0703699969145989,0.0491628310203373,0,0.00811903716870935,0,0,0,0,0.0262513786281418,0,0,0.0050178593709875,0,0.0985266105456372,0,0,0,0.00192605014714229,-2.16840434497101e-19,0,0,0,0,0,0,-0.0180464334390181,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0.0669236937947154,0,0,0,0,0,0,0,0,0,0,0.176044908038906,0,0,0,0,0,0.186573360804494,0,0,0,0,0,0,0,0.0120010891871875,0,0,0,0,0,0,0,0,0,0.0751094035371742,0,0.241616710498976,0,-0.00815928542799865,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.237305772014573,0,0,0,0,0.0250763642267227,0.0225377364043835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289079231295115,0,0,0,0,0,0,0,0,0,0,0.053911209818303,0.129232472207088,0.107984590893502,0.0125316380657642,0,-0.0296004270309171,0,0,0,0,0,0,0
X002470.SZ,0.0355152022971052,0,0.037785210000241,0,0.350476214469351,0.169201708535229,0,0,0,0.00975575169502331,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0620185090852176,0,0,0,0,0,0,0,0.115826099460152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365859859609697,0.0203987808055365,0,0,0,0,0,0
X601918.SH,0,0,0,0,0,0,0,0.165102148744929,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.143838041713511,0,0.328686693637486,0,0,0,0,0,0,0.021106854269896,0.228493090312847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0.105010629018593,0.0799477168813717,0,0,0,0,0,0,0,0.27310563332866,0,0,0,0,0,0,0,0,0,0,0,0,0.0103669511362359,0,0,0,0,0,0.0424586634218344,0,0,0,0,0,0,0,0,0,0,0,0,0.22953420219978,0,0,0,0,-0.0256081418776697,0,0,0,0,0,0,0
