,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X000708.SZ,X600027.SH,X600803.SH,X600160.SH,X600010.SH,X600111.SH,X000983.SZ,X600426.SH,X601699.SH,X002460.SZ,X601991.SH,X000301.SZ,X000786.SZ,X002466.SZ,X000877.SZ,X002128.SZ,X000933.SZ,X000807.SZ,X000630.SZ,X600985.SH,X600219.SH,X600176.SH,X601168.SH,X000883.SZ,X000408.SZ,X002353.SZ,X600348.SH,X600096.SH,X000027.SZ,X002271.SZ,X600995.SH,X600612.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360100623590436,0,0,0.0674277195849632,0,0.0271050907741593,0,0,0,0,0,0.238204372453557,0,0.0198523699775806,0,0.0937967569618969,0.0129040259336977,0,0,0.0084671542139219,0,0,0,0,0.0100804904003834,0,0.101954941000704,0,0,0,0,0,0,0,0,0,-0.0209675045581213,0.0379649936191367,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0429501922571006,0,0,-0.0565579550764586,0.123415307403364,0,0,0,0,0,0,0,0,0,0,0.0721621930277862,0,0,0,0,0,0,0,0,0,0,0,0,0.484378631242904,0,0,0,0.263998565031542,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251569418548132,0,0,0,-0.00222601578917004,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.640495652522356,0,0,0,0,0,0,0,0,-0.0375161962676101,0,0,0,0,0.0655889260021413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488834606252485,0,0,0,0,0,0,0.00336088222358641,0,0,0,0,0,-0.0384519026177222,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.157342606339731,0,0.0234222759930156,0,0,0,0,0.108217780197541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777602198951928,0,0,0,-4.33680868994202e-19,0.201497203587317,0,0,0,0.0294787261582083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620477750333624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38917187825854,0,0,0,0,0,0.092847733601167,0.00642132143913639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02738704605545,0,0,0,0.0247584064190558,0,0,0,0.0231987072853566,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0.0494239023530208,0,0,0,0,0,0,0,0.0566244596525313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416800515452435,0,0,0,0,0,0.0560785112185889,0.00706168889127829,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.130949967953966,0,0,0,0,-0.0677018547546625,0,0
X600160.SH,0,0,0,0,0,0,0,0,0,0,0,0.10958726677642,0,0,0,0,0.100900947891185,0,0.145733208169753,0,0,-0.109937571213514,0,0.0579000002369743,0,0,0,0,0,0,0,0,0.130939172377271,-0.34386100469635,0,0,0,0,-0.0449711672821048,0,0,0,0,0,0,0,0.195581686182197,0,0,0,0,0,-0.0855327884350576,0,0,0,0.0286261539157108,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417716136545206,0,0,0.463879608345962,0,0,0,0,0,0,0,0,0.129413645588702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385997988032314,0,0,0.0120510247925435,0,-0.00579346902969289,-0.00514299859294959,0,0,0,0.00128410039847472,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.188002903402335,0,0,0,0.0837879866493161,0,0,0,0,0.200459861142492,0,0,0,0,0,0,0,0.116670656681591,0,0,0,0,0.00958409194492926,0,0,0,0.0168165238039985,0,0,0.0445899348759733,0,0,0.106057697954184,0,0,-0.0238385958901788,0,0,0,0,0,0
X000983.SZ,0,0,0,-0.0737268361042153,0.00820300981695141,0,0,0,0,0,0,0,-0.0185609012457135,0,0,0,0.0194296978312989,0,0,0,0,0,0,0,-0.00869575143088052,0.242140780710121,0,0,0,0,0,0,0,0,0,0.0169964467756252,0.350025001512434,0,0,0,0,0.0608854193265647,0,0,0,0,0,0,0,0.14078059160948,0,0,-0.0030742892764055,0,0,0,0,0,0
