,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X600660.SH,X000708.SZ,X600010.SH,X601600.SH,X002271.SZ,X600547.SH,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X000983.SZ,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000786.SZ,X600995.SH,X000629.SZ,X000807.SZ,X000408.SZ,X600160.SH,X600219.SH,X000723.SZ,X000831.SZ,X600489.SH,X600096.SH,X600378.SH,X002080.SZ,X000933.SZ,X600348.SH,X000630.SZ,X300037.SZ,X600688.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0,-0.11759367440574,0,0,0,0.0406179975813303,0,0,0,0,0,0,0,0,0,0.111155913422029,0,0,0,0,0,0,0.322110422050387,0,0,0,0.182917542021591,0,0,0,0,0,0,0.00745849899568159,0,0,0,0,0,0,0,0,0,0,0,0.0200468167484512,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0.0595811767017485,0,0,0.0275141665612445,0,0,0,0,0,0,0,0,0,0,0.104212644160789,0.414644357370944,0,0,0.126177032734028,0,0,0,0,0,0,-0.135283241694717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256619398267314,0,0,0,0,0,0,0,0,-0.01270640124221,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167452160585157,0,0,0,0,0,0.102063654962365,0,0,0.0445537639240185,0,0,0,0.0515286509622344,0,0.110517170531746,0,0.00645723657874428,0,0,0,0.00842010490342225,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.329203358139724,0.109169395012116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10759234369185,0,0.0404341333657302,0,0,0,0.439726822231995,0,0,0,0,0,0,0,0,0,0,0,0,0.0175765444290042,0.00967818666680316,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.175731497624176,0.0979556544324,0,0,0,0,0.0638998247419794,0,0,0.00580766980107556,0,0,0,0,0,0,0,0.070004700942592,0,0,0,0.0585174025199868,0,0,0,0,0,0,0,0,0,0.0192792897586894,0.302013466288602,0,0,0,0,0,0,0.012163195353412,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0.0642012860035605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208495280219804,0,0.0398190123418415,0.0279016584296204,0,0,0,0,0.0197246708007473,0,0,0,0,0.0136058393822137,0,0,0,0,0.052349255349581,0.00667180452001697,0,0,0,0,0,0.0169068852811402,0.0133843304024059,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0.170852341610256,0,0,0,0,0,0.0272517266455339,0,0,-0.0275391744423426,-0.0769654220808841,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101081210239215,0,0,0,0,0,0,0,0,0,0,0.165748854076593,0.0535288224571661,0,0,0,0.192685943130271,0,0,0,-0.038317247982371,0.0331580740636727,0,0,0,0,0,0
X600219.SH,0,0,0,0,0.0364312736436431,0,0.0911053460212747,0,0,0.0989255407505197,0,0,0,0,0,0,0,0.010717744068255,0.0320380329441042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042652050929603,0.204059548417366,0,0,0,0,0.08362622202244,0,0,0,0,0,0,0,0,0,0,0,0.00503202683498624,0.00545102944959982,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.156837485323044,0,0,0,0,0,0,0.0223493777053334,0,0.090333852484015,0,0,0,0,0,0,0,0,0,0.055122540979651,0,0.0242219608455262,0,0,0,0,0,0.0757367940341179,0,0,0,0,0,0.0949274691595112,0,0,0,0,0,0.0250918995792506,0.00295606646616384,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0454695446695989,0.373221129396563,0,0,0,0.199331297890925,0,-0.0420941733898057,-0.175274070142306,0,0,0,0,0,0,0,0,0,0,0.0187398635249811,-0.195972876080329,0,0,0.0982358575730537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00438378765883233,0.027230709516857,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0101689869511924,0,0,0,0.0944928939551286,0,0,0.453502190951693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821137035502405,0.0189018118457383,0,0,0,0.0427767119053743,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0
X600096.SH,0,0,0,0,0.165820443005736,0,0,0,0,0,0,0,0,0.138839388611886,0,0,0,0.0370879159204974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242102736946716,0.0223899145088568,0,0.427826164449271,0,0,0,0,-0.00722654429233756,0.0459069216463311,-0.0151367889947914,0,0,0,0,0,0
