,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X600157.SH,X000709.SZ,X600188.SH,X600111.SH,X600362.SH,X600583.SH,X601992.SH,X002075.SZ,X601158.SH,X600309.SH,X000539.SZ,X000027.SZ,X600021.SH,X000898.SZ,X600352.SH,X000883.SZ,X002353.SZ,X601918.SH,X002470.SZ,X000792.SZ,X000629.SZ,X600863.SH,X600307.SH,X600808.SH,X600098.SH,X000878.SZ,X600660.SH,X600578.SH,X000060.SZ,X000825.SZ,X600489.SH,X300072.SZ,X600008.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000702788902510069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396699739215682,-0.00442941062660353,0,0,0,0.0196777543348709,0,0
X601918.SH,0.0536069953806765,0,0,0,0,0,0.0646231663973599,0,0,0,0,0,0.342647554897698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182583080063909,0,0,0,0,0,0,0,0,0.0837749574877641,0,0,0.158669264565946,0,0,0,0,0,0,0,0,0,0,0,-0.0551993046320138,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222648528231272,0,0,0,0.118504376102611,0,0,0,0,0,0,0,0,0,0,0,0,0.101307622934049,0,0,0,0.0608907356266171,0,0,-0.00217775153770243,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.08302952690698,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188426361867667,0,0,0,0,0,0,0,0,0.248125126810522,0.014926081025055,0,0.0250252067715442,0,0,0,0.318326117905274,0,0,0.0212531954813417,0,0,0,0,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117373436649296,0,0,0,0,0.0452142085994978,0,0.0552058172887053,0,0.184261680705709,0,0.0290193741167132,0,0,0,0.0533959082813024,0,0.0148018605293772,0.0249271915269237,0,0,0,0,0.104533453707843,0,0,0.0932846284081984,0,0,0,-0.00254623069798096,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282222653688038,0,0,0,0,0,0.0783412271186263,0,0,0,0,0,0.259057612405419,0,0,0,0,0,0.0113602535365387,0,0,0,0,0,0,0,0,0,0,0,0.0107415738015864,0,0,0.150661513604407,0,0,0,-0.0160440787763819,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10726198760556,0,0,0,0.148604980027194,0,0,0,0,0,0.154040580173932,0,0,0.0420903994188751,0,0,0,0.0185756596061732,0,0,0,0,0,0,-0.0113789303140124,-0.0636169840874608,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164547549775246,0,0.29000041292982,0,0,0,0,0,0,0,0.0557704083262147,0.014836278156009,0,0.0724866236135131,0,0,0,0,0,0,0,0,0,0,0,0,0.189619045131302,0,0,0,0,-0.0213746692474406,0,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105985816075047,0,0,0,0,0,0.174372865432342,0,0,0,0,0.120531593712353,0,0,0,0,0,0,0,0,0,0.178595428947752,0,0,-0.0301047451609123,-0.0257208794871726,0,0,0,0,0,0
X000878.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403578340546098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746126120780423,-0.00523673083042872,0,0,0,0.0627653649362892,0,0
X600660.SH,0,0,0,0.1549635436929,0,0,0,0,0,0,0,0,0,0,0,0,0.0351384510380711,0.155107013202176,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.141461827521273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275954263903858,0,0.159042222650189,0,0,-0.000871673667821254,-0.00245875584361488,0,0,0,0,0,0
X600578.SH,0,0,0,0.276834311853632,0,0,0.0172395452560008,0,0,0,0,0.0814622605542965,0,0.13119170343145,0,0,0,0,0.0310433266177713,0,0,0,0,0,0,0.016372353439998,0,0,0,0.0456392353980588,0,0,0,0,0,0.218547617855357,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143500890119713,0,0,0,0,0,0,0
