,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600547.SH,X600011.SH,X600886.SH,X000792.SZ,X600795.SH,X600010.SH,X600111.SH,X600362.SH,X600489.SH,X002460.SZ,X000708.SZ,X600027.SH,X002466.SZ,X600803.SH,X600160.SH,X601991.SH,X000786.SZ,X000301.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X000408.SZ,X600176.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X600096.SH,X601168.SH,X600985.SH,X000933.SZ,X600378.SH,X002271.SZ,X600995.SH,X002353.SZ,X600352.SH,X000883.SZ,X000932.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305480270913705,0.103107681460061,0,0.0693726806218549,0,0.142582246409425,0,0.0358493803546507,0,0,0.285019405931156,0,0,0,0,0,0,0,0.125807312318466,0,0,0,0.00440992078841927,0,0,0,0.158863350815405,0,0,0,0,0,0,0,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986853901729311,-0.0363413750933043,0,0,0,0.112850616154952,0.0195008267129652,0,0.025124202862416,0,0,0.0345953863399061,0,0,0,0,0,0.219373512264148,0,0,0,0,0,0.227008100207263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0.184460708032966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202874808634456,0,0,0,0.125318238710768,0,0,0,0,0.0236498370634187,0,0,0.0146320955810347,0.0798850720185453,0.261247234146875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747966594061515,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266968992202323,0.00290880565146117,0,0,0,0,0.0786248810712887,0,0,0,0,0,0,0,0,0,0,0,0,0.151932479159541,0,0,0,0.00452869414134321,0,0.39750858796091,0,0,0,0,0.0467038202397584,0,0,0.0970323309556698,0.0434667380452459,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0.00892108984276578,0,0,0,0,0,0,0,0,0,0.0173362483924656,0,0,0.0282679188544565,0,0,0,0,0,0,0,0.109782199380146,0,0,0,0,0,0.212513313054494,0,0,0,0,0.271717457137995,0,0,0,0,0,0,0.051183997189401,0,0,0,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0.0516534739910927,0,0,0,0,0,0,0,0,0,0.236677698539564,0,0.0535118351680674,0.103216179727465,0,0.0213283639216156,0,0,0,0,0,0.121733370930737,0,0,0,0,0,0,0.0766925309307803,0,0,0,0,0,0,0,0.0687075553357927,0,0,0,0,0,0,0,0,0.0103047813171963,-0.00891702163982097,0,0,0,-0.00234158422009523,0,0
X601168.SH,0,0,0,0,0,0,0,0,0,0.348986679399668,0,0,0,0,0,0,0,0.341699595622342,0,0,0,0,0,0,0,0,0,0.00377869505480107,0,0,0.0659131077541838,0,0,0,0.0862280624020096,0.0134505008411352,0,0.00915180685532276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0.197089533505128,0,0,0,0,-0.0167763803306414,0,0,0,0,0,0,0,0,0,0,0,-0.00139833603082253,0,0,0,0,0,0,0,0,0,0,0,0,0.430172127297752,0,0,0,0,0,0.204446671810897,0,-0.019297152506007,0,0,0,0,0,0,0,0,0,0.0149407101852047,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0.059706807898611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134023408128699,0,6.93889390390723e-18,0,0,0,0.0674604896806908,0.609514168070448,0.0490394056029923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600378.SH,0,0,0,0,0.0322891776439162,0.174941240151116,0,-0.234592502666777,0,0,0,0,0,0,0,0,0,0,0.319055483090607,0.248734071160398,0,0.053521858202331,0.0385375425921169,0,0.148659701083505,0,-0.0894776460070586,0.135366767486446,0,0,0,0,0,0,0,0,0,0,0.0154359385134536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344315749616456,0.075219975816611,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.0127618968236579,0,0,0,0,-0.027866819251309,0,0,0.286882374146463,0,0.43404758609431,0,0,0,0.183988820176405,0,0.0279034287206982,0,0.0129919310169607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0764447902594959,0.312727593109768,0.023572699230306,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0.0259253003224646,0,0,0,0.0456336380159688,0,0,0,0,0,0,0,0.156791334534248,0.029727539765404,0,0,0.351213213748128,0,0.125157425435584,0,0,0,0,0,0,0,0,0,0,0.0973927249904237,0,0,0,0.0440573555130209,0.0689133891655319,0,0,0,0.0721452106637507,0,0,0,0.0343008858797281,0,0.028689123955214,0,0,0,0,0
X002353.SZ,0,0,0,0.0255845119268825,0,0,0,0,0,0,-0.0442888925606636,0,0,0,0,0,0,0,0,0,0,0,0.227439758661508,0.114646438254723,0,0,0,0,0,0,0,0,0,0.55398818177776,0,0,-0.250168237554894,0,0,0,0,0,0,0,0,0,0,0,-0.0228381205362626,0.200955753632437,0,0,0,0.0763026214615465,0,0,0,0,0
X600352.SH,0,0,0,0.018190899393746,0.0339032880706587,0,0,0.0307977717088568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033984777804038,0,0,0,0,0.118184377791622,0,0.0880191120396138,0.0318416937467466,0,0,0,0.0167913781560546,0,0,0,0,0,0,0,0,0.0178428193924855,0,0,0,0,0.0439647404613696,0,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0.0949732181925578,0,0.259983594453335,0,0,0,0,0,0,0,0,0,0.165939520997213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202688883632914,0,0,0.106762318881089,0,0.0770167290005124,0,0,0.128032359065826,0,0,0,0,0,0,-0.0202778521459764,0.0480957519680645,0,0,0,-0.0647753792262134,0,0
