,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X000301.SZ,X600010.SH,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000933.SZ,X000932.SZ,X600348.SH,X600612.SH,X600219.SH,X601168.SH,X002128.SZ,X300037.SZ,X600157.SH,X000027.SZ,X600688.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0768405659247777,0,0,0.0651104353134252,0,-0.0265754833670235,0.175605279793622,0,0,0.260696614835343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262313259546744,0.0604351778891997,0,0,0,0,0,0,0,0,0,0,0,0.054436021071976,-0.0417263108661639,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.172408331377762,0,0.224195100631517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587188249248023,0,0,0,0,0,0,0.0125320413013856,0,0,0,0,0,0,0,0,0,0.0141685000877795,0,0.0700178555088692,0,0.0163579447376369,-0.0226848703296236,0,0,0,1.73472347597681e-18,0,0
X600362.SH,0,0,0,0,0.157044397829272,0,0,0,0,0,0,0,0,0,0.00277775021906901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501125218583913,0.129541125304103,0,0,0,0.229232977869886,0.0551416685001299,0,0,0,0,0,0.112998203421767,0,0,0,0,0,0,0,0,0,0.00313607943799177,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.129579071762279,0.0182091480201637,0,0,0,0,0,0,0,0,0,0,0,0.242714798686142,0,0,0,0,0,0,0.166813341311027,0,0,0,0.125282525005847,0,0,0,0.140151757595407,0,0,0,0,0,0,0,0.0233452311065576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.531211039927818,0,0,0,0.0744385176338217,0,0,0,0,0,0,-0.085866483700677,0,0,0,0,0,0,0,0,-0.0635073590004733,0,0,0.193957575674678,0,-0.119952318181421,0,0,0,0,0,0,-0.0523024297329035,0,0,0,0,0,0,0,-0.00203797924631524,0,0,0,0,-0.0163925041396948,0,0,0,0,0,0,0
X000877.SZ,0,0,0,-0.0521932396752394,0,0,0,0,0,0,0,0,0,0,0,0.0495537820173514,0,0,0,0,0,0.00269989247292575,0,-0.0637723850934673,0,0,0,0,0,0,0,0,0,0.0252349080963512,0,0.208574180914114,0,0,0,0,0,0,0,0,0,0,0,0.00579084320490926,0,0,0,0.0290989992656193,-0.0312271249613295,0,0,0,-0.0688935707873847,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.235741058566276,0,0,0,0,0.100532904581661,0,0,0,0,0.0597187363073861,0.139795328888855,0,0,0,0,0,0.131060783866625,0,0,0,0,0.0370804108295412,-0.00115945787569219,0.0200282702460108,0,0,0,0,0,0
X600426.SH,0,0,0,0.161808222771504,0.0998462496680291,0,0,0,0,0,0,0,0,0,0,0.154631269942271,0,0.0928447383355943,0,0,0,0,0,0,0,0,0,0,0,0,0.304688163888039,0,0,1.38777878078145e-17,0,0,0,0,0.159645936204717,0.0138627896407493,0,0,0,0,0,0,0,0,0,0,0.0479778073162075,0,0.00984673064078678,0,0,0,0,0,0
X000786.SZ,0.098379947706069,0,0,0,0,0.0249311403462667,0,0,0,0,0,0.146822796492272,0,0,0,0,0,0,0,0,0,0,0,0.0252865400084948,0,0,0,0,0,0,0,0.392342659907848,-0.237044147972679,0,0,0,0,0.0256790881421433,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0252813656561911,-0.0144742518373553,0,0,0,0.126532012251527,0,0
X601991.SH,0,0,0,0,0,0,0.00058891889052695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16520246100069,0,0.151196691833641,0,0.0400685217816927,0,0,0,0,0,0,0,0.00386616685210762,0,0.191271472334404,0.0466251076306679,0,0,0,0,0,0,0,0.0444301956320163,0,0,0,-0.0186704983147132,-0.00167661923682368,0,0,0,0,0,0
