,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600886.SH,X000792.SZ,X601898.SH,X600010.SH,X600801.SH,X601600.SH,X600660.SH,X600362.SH,X600688.SH,X000786.SZ,X600188.SH,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600299.SH,X600027.SH,X600111.SH,X002466.SZ,X600176.SH,X600489.SH,X000723.SZ,X000401.SZ,X600426.SH,X600516.SH,X000898.SZ,X002075.SZ,X601158.SH,X600219.SH,X000932.SZ,X000553.SZ,X600583.SH,X002353.SZ,X000883.SZ,X600126.SH,X000709.SZ,X600486.SH,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0.00085453798505338,0,0,0,0.207197419492567,0,0.0315547348314657,0,0,0,0,0,0,0,0.202484602035683,0,0,0.0746991790063153,0,0,0,0,0,0,0,0.0068286223791608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136239943801588,0.00178503375972829,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.0108382895663176,0,0,0,0,0,0,0,0,0,0,0,0,0.0750724833508572,0,0,0.0790022289914763,0,0,0,0,0,0.088571031265833,0,0,0.0492240219730164,0,0,0,0,0,0.0435275053002491,0.0867644702037637,3.46944695195361e-18,0,0,0,0,0,0,0,0.0136888300642655,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.152858705650732,0.111185756838312,0,0,0,0,0.0993158901934856,0,0,0,0,0,0,0.254679741459321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169483279719571,0.234718848429277,0,0,0,0,0,0,0,-0.0179861640564297,-0.00166465694136737,0,0,0,0,0,0
X600176.SH,0,0,0,0,0.15451432057262,0,0,0.0543124143143453,0,0,0,0,0,0,0,0.147868487500674,0,0,0,0,0,0,0,0.143245868832762,0,0,0,0,0,0.0105174642063434,0,0,0,0,0.166340843457279,0,0,0,0,0,0,0,0.0235443375279915,0,0,0,0,0.0498284331315839,0,0,0,0.0232632063311758,0.00618171321339997,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0.462887128833397,0,0,0,0.0482533193031272,0.0444445051051688,0,0,0,0,0.0333141855608871,0,0,0,0.00929333154950744,0,0,0,0,0,0,0,0,0,0,0,0,0.0889241154040742,0,0,0,0,0,0,0,0,0.0128497433817516,0.016598093509779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0.162300616991672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607682814203904,0,0,0,0,0,0.519925599917492,0,0.198865921980809,0,0,0,0.125266153184859,0,0,0,0,0,0,0,0,0,0.0483934515647379,-0.0269907980663463,0,0,0,0,0,0
X000401.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638971816809551,0,0,0,0,0.162135299789964,0,0,0,0,0,0.0911838935833706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0062655693360104,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0.140836673662838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292038991334242,0.115756350448116,0,0.21138506054254,0.148221973901638,0,0,0,0.0337304216637376,0,0,0,0,0.140070901421901,0.0858190192144565,0,0,0,0,0,0,0,0.0127729996717022,5.24725098640358e-05,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0.113409851447466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176201427716428,0,0,0,0,0.272440129596521,0,0,0,0.190695319758579,0,0,0,0,0.0163131887464956,0,0,0,0.0330106948793615,0,0,0,0.0541485078791359,0,0,0,0,0,0.0056439801106017,-0.0327159287855156,0,0,0,0,0,0
X000898.SZ,0,0,0.0182129314592602,0,0,0,0,0.0518546819737895,0,0,0.0472281355838011,0,0,0,0,0.0339409591248083,0,0,0,0,0.0296616673561532,0,0,0.129246963409322,0,0,0,0,0,0,0,0,0.0456910888429928,0,0,0.00203154791419761,0,0,0,0,0.113255267303809,0,0,0,0,0,0,0,0,0,0,0.0160840162079042,0,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.293028641096374,0,0,0,0,0,0,-0.0251871585312318,0,0.275358543336651,0,0,0,0,0,0,0,0,0,0.197364304223988,0,0,0.243426112787876,0,0,0.215249920625098,0,0,0,0,0,0,0.159541097411552,0,0,0,0,0,0,0,0,0,0.0847165436968187,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0.0545877791712771,0,0,0.00135852264809116,0,0,0,0,0,0,0,0,0,0,0,0,0.0505215273530634,0,0,0,0,0,0.0123695484055079,0,0,0,0.0261008412518874,0,0,0,0.0156967988063411,0,0,0.0242368016060482,0,0.112659634524119,0,0,0,0,0,0,0,0,0.00191825354532726,-0.00262728048895453,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183605328105335,0,0,0.234932026552961,0,0,0,0,0,0,0.103596078786861,0,0,0,0,0,0,0.024092612232953,0,0.025973658707275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128959957234426,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0,0.00974684003254074,0,0,0,0,0,0,0,0,0,0,0.502686527226428,0,0,0,0,0,0,0,0,0.0612849867960961,0,0,0.0253254845941429,0,0,0,0.0682508110338026,0,0.0750408775596239,0,0,0,0,0,0,0,0,0,0,0,0.00839767436922235,-0.00886281467456469,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,-0.0724071445845307,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217569330771123,0,0,0,0.165099454510671,0,0,0,0,0.168569368835075,0,0,0,0,0,-0.150136301675108,0,0,0,0.458007456984259,0,0,0,-0.00175377359328194,0.0302048415413249,0,0.103609808144122,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.0294298159088643,0,0.131829317758875,0.0122559746954653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865667135502848,0,0,0,0,0,0.090177681439552,0,0,0,0,0.0449248598731065,0,0,0,0,0,0.233399989932477,0,0,0,0.00804931256742214,0,0,0,0.0305451682229442,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0.192693463430255,0,0,0,-0.0221126621156483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346311406275373,0,0,-6.93889390390723e-18,0,0,0,-0.0515902250064719,0.373704984025758,0,0,0.0240316604016698,0,0,0,0,0,0.0116556601792249,0.0176016588130507,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.042685409799812,0,0,0.120628078404042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13096718608096,0,0,0,0,0,0.0136322620132675,0,0,0,0,0,0.0248848883326553,0.0356337369571408,0,0.105752221472584,0,0,0,0,0,0,0,0,0.0213995287379124,0,0,0,0,0,0,0
X600126.SH,0,0,0,0,0,0,0,0.360528304830427,0,0.0788375433557953,0,0,0,0,0,0.144253616818831,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569793212967013,0,0,0.096688325963523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193228026534229,0.0322758124316952,0,0,0,0,0,0
X000709.SZ,0,0,0.016840591394124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213008446256377,0,0,0,0,0.12486557460553,0,0.146040560459504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477716649029142,0,0,0,0,0,0,0,2.16840434497101e-19,-0.012662926645345,0,0,0,0,0,0
X600486.SH,0,0,0,0.0768330249105103,0,0,0,0.0998167448908079,0,0,0.0396003779945687,0,0,0,0,0.254603360722976,0,0,0,0.0362245595791311,0,0,0,0,0,0,0,0,0,0,0.203021759186957,0,0,0,0.142317018518813,0,0,0,0,0,0,0,0,0,0,-0.0303508947515625,0,0,0,0,-0.226084212334989,0,-0.0109164628098367,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0.0691014612598993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171420262404881,0,0.0409043311801315,0.0892522010207178,0.0711038245687203,0,0,0.10986722437559,0,0,0,0,0,0,0.0199886399952693,0,0,0,0,0.0515706943786746,0,0,0,0,0,0,0,0,0,0,-0.0102559641398221,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0.0592949490750787,0,0,0,0,0.006212132188843,0,0,0.261622262105407,0,0,0,0,0.0332241026375747,0,0,0,0,0,0,0,0,0,0.0354270085852726,0,0.176962536013621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.249449038939445,-0.0760150454790178,0,0,0,0,0,0.156109201009837,0,0,0,0,0,0,-0.0722306897012989,0,0,0,0,0,0,0,0,0,0.149885587802846,-0.196125120219784,0,0.273863325576255,0,0,0,0,0,0,0,0,0,0,-0.170159160455159,-0.203599208636743,0,0,-0.123774021095582,0,0,0,-0.114073577937559,0.00566633341707975,0,0.158896989954104,0,0,0,0
Slope,0,0,0,0,0,0,0,0.14727484021142,0,0,-0.0529379294543037,0,0.215915358825015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109203018774664,0,0,0,0,0,0,0,0,0,0,0.328021578861166,0,0.442789514785125,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,-0.0507955931877467,0,-0.0635146610068305,0,0,-0.0296477043497328,0,0,0,0,0,0,0,0,-0.0217530774365286,0.0508986100490968,0,0,0,0,0,0,0,0,0.0378991317460087,0,0,0.0551707045181762,0,0,0,0,-0.00180946982573308,0,0,0,0,0,0,0,0,0,0,0,0,0.0760487236687153,0.00601317070833909,-0.00202831931841969,0,0,0,0,0,0
MKreturn,0,0,0,-0.184623977114548,0,0,0,-0.00634211436070086,0,0,0,0,0,0,0,0,0,0,0,0.122804308280775,0.0182037507990302,0,0,0,0,0,0,0,0,0,0,0,0.13166559511551,0,0,0,0,0,0,0,0,0,-0.150160246578647,0,0,0,0,0,0,0,0.279857377962969,0.094146073519857,0.0144580753569751,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,-0.00294563243616605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00499920409765948,0,0,0,0,0,0.00985562861328631,0,0,0,0,0,0,0,0,0.0034002349908889,0,-0.00561411215961757,0,0,0,0,0,0,0,0.0152631711517421,-0.0270384911624677,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212721996306144,-0.0214335536089837,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,-0.00407600761072801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103018307219451,0,0.00765720087118162,0,0,0,0,0,0,0,0,-0.00333539047140356,0,0,0,0,0,0,0,0.00152513621087047,-0.00599915857739891,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0.00175597879888166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00423104210371917,0,0,0,0,0,0,0,0,0,0,0.000929405655109719,0,0,0,0,0,0.000547019523363203,-0.00853465066911417,0,0,0,-0.0382888745577857,0,0
