,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600795.SH,X600688.SH,X600309.SH,X600660.SH,X300072.SZ,X601600.SH,X601991.SH,X600547.SH,X600188.SH,X600886.SH,X600362.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X600299.SH,X002271.SZ,X000883.SZ,X600176.SH,X600352.SH,X600219.SH,X600578.SH,X002460.SZ,X000723.SZ,X600583.SH,X000408.SZ,X000630.SZ,X000539.SZ,X600021.SH,X000027.SZ,X000792.SZ,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0.133114507224368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276778810332816,0,0,0,0.255267821051917,0.267324937793083,0,0.0390667162502978,0,0.0107609077453275,0,0.0130571656102784,0.0399979743812644,0,0.144466381784051,0,0,0,0,0,0,0,0,0,0,0.0965362713490491,0,0,0,0,0,0,0,0,0,0.0134950709037468,0.0111584234462274,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.135254178719673,-0.0199715596310995,0,0,0,0,0,0,-0.10754760809073,0.0125020815338615,0,0,0,0.102727126438216,0,0,0.0653940515614261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092152858283792,0,0,0,0,0,0.0771116923834502,0,0,0,0.0484561012626598,0,0,0.022655781740349,-0.0421227502626746,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400187677282111,0,0,0,0,0,0,0,0,0,0,0,0.204356207017998,0,0,0,0,0,0.128070540097538,0.274397003945949,0,0,0,0,0,0,0,0,-0.456521214262205,0.0755774900896836,0,0,0,0,0,0.0817864058988748,0,0,-0.0149660121330711,0.0457184247401842,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0110644450881127,0.0661200544782561,0,0,0,0,0,0,0,0,0,0,0.185773106991673,0,0.149841252496234,0,0,-0.0262500944595939,0,0,0,0,0,0,0,-0.0688497749278338,0,0,0,0,0.0545507427107623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0564177991953921,0,0,-0.0808176397470534,0,0.232495216231346,0,0,0,0.12013753488521,0,0,0,-0.100457523711174,0,0,0,0.124041177537082,0,0,-0.0641881205265541,0,0,0,0,0,0,0,0,0,0,0,-0.0412818466343874,0.0502146152268071,0,0,0,0.149877562545965,0,0,0,-0.000554543732299171,0,-0.107244737501761,0,0,0,-0.0243563300958966,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168490019467458,0,0,0,0,0,0,0.19985014842493,0,0,0,0.307263783388107,0,0,0.0373999109418744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00175768177034038,0,0,0,0,0,0
X600027.SH,0,0,0,0,0.253675535076658,0,0,0.0618834682554769,0,0,0,0,0,0,0.0594255117039018,0.0055421509520879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143260038213758,-0.043565164986966,0,0,0,0,0,0.133277797807601,0,0,0,0,0,-0.00877777375295566,0.0264628758170121,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149181734824956,0,0,0,0,0,0,0,0,0,0.565758078729853,0,0,0.23659051907581,0,0,0,0,0,0,0.160572403107422,0,0,0,0,0,0.289830030166963,0,0,0,0.187196261231868,0,0,-0.0175717257230991,-0.0285801526164623,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0139113328705201,0,0,0,0.0430029678721288,0,0,0,0,0,0,0,0.111356256436638,0,0,0,0,0,0,0,0,0,0.135712076503998,0,0,0,0,0,0,0,0,0.707642060337911,0,0,0,0,0,0,0,0,0,0,0,-0.0124326574776263,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022558492358229,0.098596416947043,0,0,0.0335826774916946,0,0,0,0.0806179770704759,0,0,0,0,0,0,0,0,0,0,0.0315082343076544,0,0,0.0967810511636176,0,0,0,0,0,0,-0.0148562249273385,0.030918583654473,0,0,0,0,0,0
