,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X000539.SZ,X601992.SH,X000027.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X002470.SZ,X000792.SZ,X600489.SH,X600623.SH,X600098.SH,X002353.SZ,X600547.SH,X600022.SH,X000629.SZ,X600307.SH,X600863.SH,X600808.SH,X300072.SZ,X600578.SH,X000060.SZ,X601918.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600623.SH,0,0,0,0,0,0,0,0,0,0,0.0836420677222109,0,0,0,0,0.378897167690922,0,0,0,0,0,0,0,0,0,0,0,0.208131690572133,0,0,0,0,0,0,0.253368349738181,0,0,0.087253138550638,0,0.118503477055528,0,0,0.0879830695616657,0,0.0400830118460877,0.0488768356992642,0,0,-0.0489137340774462,0,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2242949722555,0,0,0,0,0,0.101239860822977,0,0,0,0,0.00558143397301612,0,0,0,0,0,0.294756744206961,0.0935096951010643,0,0,-0.0377883738032244,0,0,0,0,0,0,0
X002353.SZ,0,0,0.00950280071838128,0,0,0,0,0,0,0,0,0,0,-0.368519987356459,0.0158343723761251,0,0,0,0,0,0,0,0,0,0,-0.0434179162360829,0.0263723515934383,0,0,0,0,0,0,0,0,0,0,0,0,0.0292075853159307,0,0,8.67361737988404e-19,0,-0.0859899733880457,0.00597528268363697,0,0,0.200450214928927,-0.115575824318232,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0734606956264127,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.00418400401533649,0,0,0,0,0.446081461579901,0.127613386951564,0,0,0,0.124954267644768,0,0,0,-6.93889390390723e-18,0,0,0,0.0210365688409088,0,0,0,0,0,0,0,0,0,0
X600022.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390942240627162,0,0.358607230394011,0,0,0,0,0,0.115284209002855,0,0,0.00390712651158168,0,0.176710828144978,0,0,0.126972785880087,0.0231169860194186,0,0,0.0203657919101143,0,0,-0.0176923202082533,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401456877762019,0,0,0,0,0,0,0,0,0.101301757194817,0.211674428400102,0,0,0.175170283805148,0,0,0,0.176050979978459,0,0.134255952512451,0,0.0183928965309699,0,0,0,0.00122443403562047,0,0,0,0,0,0
X600307.SH,0,0,0,-0.00141038933200836,-0.156947535897958,0,0,0,0,0,0,0,0,0,0.047057647162984,0,0,-0.0644150211631678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656217435152067,0.125666577720979,0,0,0.351553880776242,0.120171210352261,0,0,0,0,0,0.222293804981914,0.103523753316459,0,0,-0.041214560882251,-0.0160349643290713,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.122246576144809,0,0,0,0,0.0529175422571446,0,0,0,0,0.169948680823232,0,0,0,0.121734053663574,0.077219317999955,0,0,0,0,0,0.0127583445617339,0,0,0,0.0592689006563788,0,0,0,0,0,0,0,0,0.20864793155907,0,-0.0041044225058203,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0.0143954130386411,0,0,0,0,0,0,0.0542824132045302,0.192023939724491,0,0,0,0,0,0,0,0,0,0.147298637648659,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.128042754407089,0,0,0,0,0,0,0.0135009629121245,0.104325837019752,0.071102876074436,0,0,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14479562879506,0,0,0,0,0,0,0,0.130045661127726,0,0.00684975795907949,0,0,0.141868284381401,0.27883137125586,0,0.00156225312241076,0.0163184703157562,0,0,0.032063783758703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
