,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600309.SH,X600157.SH,X600027.SH,X600886.SH,X601992.SH,X600660.SH,X600111.SH,X600489.SH,X000898.SZ,X000959.SZ,X600299.SH,X601158.SH,X000709.SZ,X000792.SZ,X600583.SH,X000723.SZ,X600339.SH,X002466.SZ,X000408.SZ,X600098.SH,X000630.SZ,X000883.SZ,X600352.SH,X600219.SH,X000539.SZ,X600021.SH,X000825.SZ,X000027.SZ,X002092.SZ,X000983.SZ,X600623.SH,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000408.SZ,0,-0.0866393951254713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205527848316346,0,0,0,0,0,0,0.204678617074586,0.0298912777113333,0,0,0,0,0,0,0,-0.0674508104624428,0.0248365067804235,0,0,0,0.0149511478997807,0,0.0153215237914111,-0.0121144635602688,0.0090407455059353,-0.0140090935051937,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0.0567953231186309,0,0,0,0,0,0,0,0,0,0.247872144325539,0.0223879781884891,0.0677202362566092,0,0.0164314900606269,0,0,0,0,0,0,0,0,0,-0.0478242119137055,0,0,0,0,0,0,0,0,0,0,0,0,0.0189185576806389,0,0.128273861400878,0.0393788165386258,0.0498339139919,-0.0427886602882318,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0.108069754310153,0,0.37322831757149,0,0,0,0,0,0,0,0,0,0,0.112185766044667,0,0,0,0,0,0.143515793712729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0236342378407867,0.00188762511225979,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0599399783492617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742304408400724,0.0231112862113941,0.121312941694281,0,-0.0075188985734815,0,0,0,0,0,0,0
X600352.SH,0,0,0,-0.0495822236799643,0.0464356700521982,0,0,0.0943937935643447,0.0523079857115581,-0.0362782524957514,0,0,0.0714377325761253,0.0478932975604062,0,0,0,0,0,0,0,0,0,0,0,0,0.0998703502074688,0,0,0,0,-0.00622501054767306,-0.0252703218522638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.00507992436101425,0.033377599464939,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763378039729783,0,0,0,0,0,0,0,0,0,0,0,0.258084200202055,0,0,0,0,0,0.077684104518161,0,0,0,0,0.15631124021994,0,0,-0.00657791079444607,0.0046137700168671,0,0,0,0,0,0
X000539.SZ,0,0.136613603895677,0.0592920118145534,0,0,0,0,0.0139621876477784,0,0,0.0185051069905972,0,0,0,0,0,0,0,0,0,0,0.100063775912488,0,0,0.0164362883918825,0,0,0,0,0,0,0,0.066274887446855,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.116614993900679,0,0,0,0,-0.00213878847185399,0,0,0,0,0,0
X600021.SH,0,0,0,0.298601908221678,0,0,0,0,0,0,0,0,0,0.0657706201004226,0,0,0,0,0,0,0,0,0,0,0.185939346413479,0,0,0,0,0,0,0.0265867116142447,0,0,0,0,0.00701513835616936,0,0,0,0,0,-0.205981442565803,0,0,0,0,0,0,0,0.0120398203012485,0.0134384094412948,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426497503708766,0.228178737616974,0,0,0,0,0,0,0.168150568781157,0,0,0,0,0,0,0,0,0,0,0,0,0.281021254416272,0.284832132178548,0.00189738552477952,0,0,0,0.00616314686939146,-0.0134477598861438,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0284733083489111,0,0,0,0,0,0,0,0,0,0,0,0,0.0765566958481981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704009196193917,0.10960514546714,0,0.0112777481763756,0,0.00274225529527358,0,0,0,0,0,0,0
