,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600111.SH,X600352.SH,X600027.SH,X600801.SH,X000723.SZ,X601992.SH,X600489.SH,X002271.SZ,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X000709.SZ,X002460.SZ,X000629.SZ,X600299.SH,X002466.SZ,X000883.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X601699.SH,X600612.SH,X000630.SZ,X600583.SH,X000553.SZ,X600021.SH,X000401.SZ,X000027.SZ,X600985.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600426.SH,0,0,0,0,0,0,0,0,0,0.0335397558651464,0,0,0,0,0,0,0,0,0.135486861982748,0,0,0,0.189334424997828,0,0,0,0,0,0,0.0659252458769469,0,0,0,0,0.142359344181129,0,0,0,0.0874504677816776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0.0219361810965457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051048622460864,0.0722861192656322,0,0,0,0,0,0,0.0802625068306407,0,0,0,0.130356828051762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114850942044673,-0.00237542081267938,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0.126316611907677,0,0.325618747089664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11652960127214,0,0,0.0110036142152881,0,3.46944695195361e-18,0,0,0,0.113006911681511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875071759645331,0,0
X000630.SZ,0,0,0,0,0,0.018016947644513,0,0,0.0807474866736416,0.138044220636313,0,0,0,0,0.106819686902799,0,0,0,0,0,0,0,0.0759322846031866,0,0.105227577256619,0,0,0,0,0.0765301897385296,0,0,0,0,0,0,0,0,0.00378799032983186,0,0,0,0,0,0.0457785638789031,0,0,0,0,0,0,0.0205650473938728,0.0054443295637073,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146571350264974,0,0,0,0,0,0,0,0,0,0,0.0711117164775911,0.00260538738920262,0,0,0,0.0932378302660057,0,0,0,0,0,0,0,0,0,0,0,0,0.0262058944824658,0,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0.189453320690942,0,0.0239406115526189,0,0,0,0,0,0.150193583005332,0,0,0,0,0,0,0,0,0.0623036362346474,0,-2.16840434497101e-19,0,0,0,0,0.0318915229596158,0,0.203135586024095,0.148977592075169,0,0,0,0,0,0.115648711072161,0,0,0,0,0,0,0,0,0,0,0.0607801274742432,0,0.0179584255366103,-0.0508093963369829,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0.11170309653042,0,0,0,0,0,0,0,0,0.155020336085831,0,0.0922145683700799,0,0.0309404034911,0.0732195916393601,0.00351195465077391,0,0.0450687005653691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0599637161988992,0,0,0,0,0,0,0,0,0,0,0,0,0.00810202987354977,0,0,0,0,-0.0580944561821401,0,0
X000401.SZ,0,0,0,0,0,0,0,-0.0334393998217849,0,0,0,0,0,0,0,0,0,0,0.189755460662364,0.0396857519718542,0,0.398711557496542,0,0,0,0.148622528537314,0,0,0,0,0,0,0,0.338052525028959,0.115778096995078,0,0,0,0.0969207588055025,0,0,0,0,0,0.0943890412128139,0,0,0,0,0,0,-0.0362943324041632,0.00121694436206409,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000864469455113807,0,0,0,0,0.134850366601352,0,0.166930454077521,0,0.037650073771757,0,0.0124512408602976,0,0,0,0,0,0,0,0,0,0,0.0366205366422848,0,0,0,0,0,0,-0.00614362825190103,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514803571494819,0,0,0.0984515709203988,0.0643713580050587,0,0,0,0,0,0.104381640247421,0.142641454487724,0,0.105578506270478,0.197083648504466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151543056360108,0,0,0,0,0.00629034561523395,0,0
