,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600027.SH,X601991.SH,X600362.SH,X600426.SH,X600803.SH,X601699.SH,X600489.SH,X000983.SZ,X600176.SH,X000807.SZ,X000786.SZ,X600995.SH,X000539.SZ,X000408.SZ,X600160.SH,X600219.SH,X000629.SZ,X300037.SZ,X600688.SH,X600378.SH,X002080.SZ,X002409.SZ,X000932.SZ,X600157.SH,X600612.SH,X600985.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600010.SH,0,0,0,0,0,0,0,0,0,0.00593112632268156,0,0,0,0.0321399177683633,0,0.0762699357765673,0,0,0,0,0,0,0,0,0,0.140529673190523,0,0,0,0,0.0302499326707821,0,0,0,0,0.0135804804645704,0,0.0221192494664306,0,0,0,0,0,0.0480740494461952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.0736430774704513,0,0,0,0.104927500702302,0,0,0,0.0476691793854243,0,0,0,0,0,0,0,0,0,0,0,0,0.172678767705021,0,0.196917177008409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571948849948117,0.0810027234721926,0,0,0,0,0,0,0,0,-0.109744856115148,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123351670866769,-0.00608749058520022,0,0.186728238616218,0.0246619502815064,0,0,0,0.135205412060284,0,0,0,0,-0.0525645454985164,0,0,0,0,0,0,0,0.0471527023470094,0,0,0,0,0,0,0,-0.00579236258888976,0,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,-0.044315355207455,0,0.0210058612067484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896445361253277,0,0.0646023597978855,0.0237473062087358,0,0,0,0,0.460127390674998,0,0,0,0,0,0.249104600761028,0,0,0,0,0,0.0246366925734346,0.0198258761078805,0,0,0,0,0,0
X600795.SH,0.0260377054452474,0.0326092211316725,0,0,0.251615495478126,0,0,0.0624817590753498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278536763187016,0,0,0,0.0813642226235868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0389398720396782,0,0,-0.145674720944231,0,0,0,0.0141477646012315,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0.0313240243210298,0,0,0,0,0,0,0,0,0,0.416939780485624,0,0,0,0,0.042354506460796,0,0,0,0,0,0,0,0,0.360841036235197,0,0,0,0,0,0,0.170342689156041,0,0,0,0.0198422946855664,0,0,0,0,0,0,0.0462858376442141,-0.0508984204684647,0,0,0,0,0,0
X600027.SH,0.0483256721730242,0,0,0,0.422136922904828,0.00276551389372868,0,0,0,-0.0657132354112799,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319024139632689,0,0,0,0.0996301414226731,0,0,0,0,0,0,0,0,0.456249029512463,0,0,0,0,0,0,0,0,0.046308141619884,0.0878411975655322,0,0,0,0,0.0583708725494651,0.02720075379515,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,-0.11474645963604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641474654096808,0,0.118038302301373,0,0,-0.0121743809738701,0,0,0,0,0,0.0436571080275601,0,0,0.0393578024834736,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0133891765776742,0,0,0,0,-0.0298404211722425,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0.0130343965001968,0,0,0,0,0.0500787086367548,0,0,0.174724748069083,0,0,0,0,0,0,0,0,0.0815663762990163,-0.0370357359774562,0,0,0,0,0,-8.67361737988404e-19,0.0828809933045328,0,0.241611409225332,0,0,-0.0377366200891664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334431813024376,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.590050850052835,0,0,0,0,0,0,0.0946614512801584,0.107258653546795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208193126015979,0,0,0.0883329755613352,0,0,0.204937549647428,0,0,0,-0.0237062311188837,0,0,-0.0178629926039423,0,0,0,0,0,0,0,0,0,0.196796582634537,-0.0725988551820644,0.0587825051620922,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389200142378809,0,0,0,0,0,0.239703919114846,0,0,0,0,0.150925722314904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172315895479296,-0.0664124592078178,-0.0315362489223064,0,-0.0811029542564476,0,0,0.0976706588544819,0,0,0,0,0,0,0,0
X601699.SH,0.0847038178577345,0,0,0,0,0.281367273954892,0,0,0,0,-0.0704966384567202,0,0,0,0,0,0,0,0,0,0,0,0.058863338158581,0,0,0,0,0,0,0,0.0921764043992795,0,0.104424936109924,0,0,0,0,0,0,0,0,0,0,0.0200578955728273,0,0,0,-0.0770988068894921,0,0,0,-3.46944695195361e-18,-0.0835808734487025,0,0,0,0,0,0
