,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X600795.SH,X601992.SH,X002466.SZ,X600688.SH,X600362.SH,X600188.SH,X600111.SH,X601991.SH,X600547.SH,X600516.SH,X002460.SZ,X300072.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600808.SH,X600339.SH,X000959.SZ,X600489.SH,X000723.SZ,X600549.SH,X000983.SZ,X600219.SH,X600352.SH,X002092.SZ,X601699.SH,X000807.SZ,X000553.SZ,X000408.SZ,X601158.SH,X000630.SZ,X600299.SH,X000883.SZ,X000792.SZ,X600008.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.436999871885243,0,0,0,0.162241970822989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507876384986812,0.0530100413628857,0,0.0238895385234489,-0.00030291750766022,0,0,0,0.119479922520437,0,0,0,0,0,0,0,0,-0.0109087307136398,0.0207819928735453,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0.141674166110679,-0.0403675903730041,0,0,0,0,0,0,0,0,0,0.0952708018816707,0,0,-0.0282833003416575,0.132900147928163,0,0.188894059695499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257579941859987,0,0,0,0,0,0,0,0,0.0693415871493415,0.0125140850725241,0,0,-0.0328837829449629,0.0986921085642625,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.192886996619773,0.0793166861795133,0,0.00901424475495291,0.0657524065346539,0,0,0,0,0,0.0738947187776966,-0.154431282652239,0,0,0,0.0451829377936299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665973883901343,0,0,0,0,0,0,0,0,0.0226842272269529,-0.0355968266756586,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0.107343931703118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363804662581005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330908490374901,0,-0.0148090224090577,-0.0116721000646342,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423620951872518,0,0,0,0,0,0,0,0,0,0,0,0.0745234911443618,0,0.193200657206044,0,0,0.119202974441988,0,0,0,0.156584823694557,0,0,0.068249177338746,0,0,0,0,0,0,0.0371885746803436,0.0829163105634732,0,-0.00074063998849988,4.33680868994202e-19,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.126028829132458,0,0,0.0229267136677666,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0455247846996748,0,0,0,0,0,0,0,0.0501361856222875,0,0,0,0,0,-0.0168495405746221,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632654462774441,-0.0201297959102974,0.00304484887328459,-2.16840434497101e-19,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519094234506326,0,0,0,0,0,0,0,0,0,0,0,0.120903460403494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663091780810136,0,0.0656027310598317,0,-0.00632486945682848,0.0315621455964598,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0.0171537575716925,0,0,0,0,0,0,0,0,0,0,-0.0193549359178097,0,0,0,0.0586659595735228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138241039847096,0,-3.46944695195361e-18,0,0,0,0.00237599683434863,0.0104792753082921,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14722366908436,0,0,0,0,0,0,0,0.159198851364825,0,0,0,0,0,0,0.171289636125119,0,0,0,0.103310434422378,0,0,0.178508967360201,0,3.46944695195361e-18,0,-0.0892261260637586,0,0,0,0,0,0,0.185700511445742,0,-0.00985560640915058,0.0236963215280499,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0.00124249318117625,0,0,0,0,0,0,0,0.0313479746668816,0,0,0,0.0856822189744414,0,0,0,0,0,0,0,0,0,0.080625022884284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14277554292169,0,0,0.0335215146308948,-0.0446723048543242,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113452286727575,0,0,0,0,0.134262251893503,0,0,0,0,0.0960349320231258,0,0,0,0.0480965100737587,0,0,0,0,0,0,0,0,0.158061214678607,0,0,0,0.00153963575512869,0.0328042387510679,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428663194433411,0,0,0,0,0,0,0,0,0.0269449871556388,0,0,0,0,0,0.0111075818101562,0,0,0,0.0488927496997927,0,0,0,0,0,0,0,0,0,0,0,-0.0111579084652385,0.00413114006683463,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0.0113903188230638,0,-0.0349136179458075,0,0,0,0,0,0,0,0.0589453469315459,0,0,0,-0.0691112650915998,0,0.12692758041412,0,0,0,0,0,0,0.0159889287047966,0,0,0,0,0.14945245900351,0.101190036275892,0,-0.00146645221883122,0,0,0,0,0,0,0,0,0,0.140648909668482,0,0,-0.0236798778983785,0.03284891211939,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0.227851521218316,0,0,0,0,0,0.152595315942167,0,0,0,0.431416560996241,0,0,0,0.00858347210897056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237135353651857,0,0,0,0,0,0,0,0,0,0,0,0,0.0109240424562658,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0.099576134531349,0,0,0,0,0,0,0,0.0301559595306918,0.121484645814608,0.111635915068635,0,0,0,0,0,0,0,0,0,0,0,0.183162435396901,0,0,0,0,0.0535735459360503,0,0,0,0,0.154738718142738,0,0,0,0,0,0,0,0,0,0,0,0,0.0128117265809994,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0.329719992106331,0,0,0,0,0,0,0,0.0275438357993787,0,0.0511676433766494,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0206010457868331,0,0,0.042836743069351,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197060172285949,0.0108240543810141,0,0,0,0,0,0
