,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X601992.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X002466.SZ,X600352.SH,X600309.SH,X000792.SZ,X600489.SH,X600583.SH,X000709.SZ,X000539.SZ,X000898.SZ,X000883.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X002075.SZ,X300072.SZ,X000959.SZ,X600021.SH,X002470.SZ,X000060.SZ,X000983.SZ,X600176.SH,X600578.SH,X600612.SH,X600022.SH,X600098.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524013973582397,0,0,0,0,0.0333484909951849,0.053058072436342,0,0,0,0.0829324614273685,0,0.0814185964571342,0,0,0,0,0,0,0,0,0,0,0.0113248675237507,0,0.0324936369642583,0,0,0.0335576346256037,0,0,0,0,0,0.422361597478964,0,0,0.0244027904509936,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.0885276230292956,0,0,0,0,0,0,0,0,0,0.0971290570762578,0,0,0.60361187991872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594796780201964,0,0,0,0,0,0,0,0,0,0,0,-0.0241896090965976,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285163626431714,0,0,0,0,0.108870081470069,0,0.0357590740131054,0,0,0,0,0,0.168585564003298,0.180606482726959,0.121591311698138,0,0,0,0,0,0,0.0658118326605372,0.10609295713742,0.00696687226476088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068665470247249,0,0,0,0,0,0,0,0,0.0286761747289421,0,0,0,0,0,0,0,0.427401255674296,0,0,0,0,0,0,0.0980328999162136,0,0,0.0632366826563711,0,0,0,0,0.131934489488896,0,0.0189023915776602,0,0.0362376133183153,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0.0353811584699347,0,0,0,0,0,0,0,0,0,0.0306287218023118,0,0,0,0,0,0,0.0748475751297709,0,0,0,0,0.0513240077938268,0,0,0,0.253100895008878,0.0566626597219608,0,0,0,0,0.156360460099498,0,0.0271905411576409,0,0,0,0,0.105078318062449,0,0,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0.180129174140166,0,0,0,0,0.00844546412533475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594948392338364,0,0,0,0,0,0,0.113836998034551,0,0,0,0,0.0801892906736553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685947264166319,0,0,0,0,0.379697707124428,0.0471366324151503,0,0.0359774722390436,0,0,0.00725213563247369,0,0,0.0376775194298619,0.0966158681783449,0,0,0.142742379091174,0.0889894007981592,0,0,-0.000319034551738146,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208265336521464,0,0.282072317733408,0,0.0107642098811594,0,0,0,0,0.135164330779194,0,0,0,0,0,0,0,0.0706052219663049,0,0.0491696855394632,-3.46944695195361e-18,0,0,0,0,0.0335136109978669,0,0,0,0,0,0,0.234507991794379,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0.346279053298449,0,0,0,0.132687340456661,0,0,0,0,0,0,0,0,0,0.139978072683322,0,0,0.072116941379451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141487344757445,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0032767896007328,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0.241961887377126,0,0,0,0.120499265222124,0.0224145673500368,0,0,0,0,0,0,0,0,0.121400496206119,0,0,0,0,0,0.0986811567939865,0.0194549149509566,0,0,0,0,0.0203167109373718,0,0,0,0,0.0133025391501441,0,0,0,0,0,0,0.103212786290453,0,0,0,0,0,0.0505160412678408,0,0,0,0,0,0,0,0,0,0
