,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X601600.SH,X600362.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X601992.SH,X600027.SH,X600489.SH,X600111.SH,X600309.SH,X600660.SH,X600886.SH,X000723.SZ,X600623.SH,X002466.SZ,X600299.SH,X601158.SH,X000959.SZ,X000792.SZ,X002075.SZ,X000898.SZ,X000408.SZ,X000709.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600549.SH,X600352.SH,X000630.SZ,X000935.SZ,X600176.SH,X000539.SZ,X000027.SZ,X601699.SH,X000060.SZ,X000937.SZ,X600021.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0373348405520664,0,0,0,0,0,0,0.0260313004275985,0,0,0,0,0,0,0,0,0.106059467050777,0.0142044464353957,0,0,0,0,0,0,0.0372506999058306,0,0.242223530923258,0.031954516561001,0,0,0.0627653751164641,0,0,0,0.164721719729153,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0143137808868482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34543290312539,0,0,0,0,0,0.0884867095270689,0.131131552620497,0,-0.0883483597227513,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.019124585630955,0,0,0.279869173143569,0.0249399209822903,0,0,0,0,0,0.0331710749453642,0.0343691339088593,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.128425739434924,0,0,0,0,0,0.0969050814471156,0,0,0,0,0,0,0.127949579112259,0,-0.0698959220760707,0,0,0,0,0,0.0443247182504816,0,0,0.00408497685630929,0,0,0,0,0,0,0,0,0,0,0,0,0.0279861758561737,0.0458133455094598,0,0,0,0,0.0468769205279924,0,0,0,-1.73472347597681e-18,-0.0224783717562181,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0509124226187451,0,0.0599928398201058,0,-0.00070054859921845,0,0,0.153708178333309,0,0,0.0167986804144052,0,0,0,0,0,0,0.171740680707718,0,0,0,0,0,0,0,0.0217196211012438,0,0,0,0,0,0,0.0216664113507305,0,0,0,0,0,0,0,0,0.0836758013196537,0,0,0,0,0,-0.0244103002859706,-0.0170889120272351,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0.206658464785561,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072367753140757,0,0,0,0,0,0,0,0.145754806447689,0,0,0.0437116557976855,-0.186350852011279,0,0,-0.0474523071593957,0,0,-0.103698118119323,0,-0.0278435139741658,0,0,0,0,0,0,0,0.182940138271861,0,-0.00786628551576431,-0.0312983432583629,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093190377652756,0,0.163733417595176,0,0,0.115365163935817,0,0,0,0.0991929684314138,-0.0688338950416862,0,0,0,0.217281891325643,0,0,0,0,0,0.0281038529935058,0,-0.0496460586727194,0,0,0,0,0,0,0,0,0,0.109476189150568,0.0362282822281554,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0056359342466355,0,0,0,0,-0.022917377710257,0,0,0,0,0.183252545212635,0,0,0,0,0.070134815749218,0,0.0636560136664988,0,0,0,0,0,0,0,0,0,-0.0349761150541056,0,0,0,0,0.178275441140636,0,0,0.0721360955617358,0,-0.0387517193424794,0.0446656945838459,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0.0665871341214943,0,0,0,0.00745302042725834,0,0,0.0936299353001685,0,0,0,0,0.200777684372318,0,0,0,0,0,0.081802374026905,-0.0358792985840498,0.013612642410041,0,0,0,0,0,0,0,0.147333924881793,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648270838304359,0.0322029567589853,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1312909042054,0,0,0.000841884875763103,0,0,0,0.0197165651018288,5.42101086242752e-20,0,0.0563610444362343,0,0,0,0,0.0474451036006004,0.0174976961355946,0,0,0,0,0,0,0,0,0,0,0,0.248382914477087,0,0,0,0,0,0,0.0522753649170803,0,-0.0426733630006394,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0.296472279017662,0,0,0,0,0,0,-0.0790351827294921,0,-0.0536111178572244,0.157140974787606,0,0,0,0,0,0,-0.0786789591659773,0,0,0,0,0,0,0,0,0,0,0,0.190822213334777,0,-0.201558322398318,0,0.0387545061222458,0.217301194810535,0,-0.115533828555109,0,0,0,0,0.491192740611749,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.0948094670089424,0,0,0,0,0,0,0,0,0,0,0.1251468539285,0,0,0,0,0.0727465724685642,0,0,0,0,0,0.0303076507070457,0,0,0,0,0,0.170917329910355,0,0,0,0,0,0,0,0,0,0,0.185925734282399,0,0,-0.0172905789720029,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.136897029423808,0,-0.0325673922862364,0,0,0,0,0.107188846398696,0,0,0,0,0.131929705983958,0,0.0663781866741119,0,0,0.0179737828229668,0,0,0,0,0.00969259102040139,0,0.164097595463925,0,-0.118484030612386,0,0,-0.0337764123272828,0,0,0,0,0.00774553349240157,0,0,0,0,-0.0451690661600078,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111594496335068,0,0,0,0,0,0,0,0,0,0,0,0.0784339547554835,0,0,0.137375781494065,0,0,0,0,0.232904595727703,0,0,0,0,0,0,0,0,0,0,0,0.140659058603857,0,0,0,0.0304577553265339,0.0192372751674152,0.021101519962072,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218812742293261,0,0,0,0,0.116599643098616,0,0.118825118729023,0,0,0,0.0592133041713327,0,0,0.00364171442132737,0,0.0918987095109984,0,0.0786264736415797,0,0.0186830031139715,0,0,0,0,0.1692423744638,0,0.0133999505738329,0,0,0,0.0224964354917724,0,0,0,0,0,-0.10437691665343,0,0.0461406061444457,0,0,0,0,0
