,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X601991.SH,X600362.SH,X600795.SH,X600352.SH,X600688.SH,X600111.SH,X600801.SH,X000723.SZ,X600027.SH,X601992.SH,X600489.SH,X000786.SZ,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X600612.SH,X600299.SH,X000709.SZ,X002460.SZ,X600426.SH,X601158.SH,X002466.SZ,X000883.SZ,X000629.SZ,X600219.SH,X002353.SZ,X000630.SZ,X000027.SZ,X600583.SH,X000825.SZ,X600315.SH,X000553.SZ,X601699.SH,X600985.SH,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600612.SH,0,0,0,0,0,0,0.0100581521289004,0,0,0,0,0,0,0,0,0,0,0.0657758833314405,0,0,0.113186273033916,0,0,0,0.46980404072887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334322787753719,0,0,0,0,-0.0824328657360497,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388639033873526,0,-0.0435944845691034,0,0.0794989020454567,0,0.118643951781257,0,0,0,0,0,0.0874873848220479,0.168649046892015,0,0,0,0,0,0,0,0,0,0.0834262822942551,0,0,0,0.295684614321262,0,0,0,0,0.131254991203078,0,-0.00143365390240769,0.00577321032213537,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618849493584379,0,0.00847087534959299,0,0,0,0,0.0491434932220908,0,0,0,0,0,0,0,0.0216829999495407,0,0,0,0,0,0,0,0.151361433044603,0.0877292778775423,0.0877729495119468,0,0.0663471479405427,0,0,-0.00940456654249017,0.0190104167161955,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447169286943768,0,0,0,0,0,0,0,0.0654829674448052,0,0,0,0,0,0,0.596890493161008,0,0.0679833761857462,0,0,0,0,0,0,0,0,0,0,0,0,0.0124270372887422,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0.0624077524778075,0.0798835917346799,0,0,0,0,0,0,0,0,0.0702355671777249,0.155494881270179,0,0,0,0,0.0300494102380298,0,0,0,0,0,0,0.195773599469461,0,0,0,0,0.0170456095032972,0,0,0,0,0,0,0,0,0,0,0,0,0.00465551382003765,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249752522150243,0.0524320299221157,0,0,0,0,0,0.211056859200284,0,0,0,0,0,0,0,0.0580956127971396,0,0,0,0,0,0,0,0.159543734667085,0,0,0,0,0,0,0.00129647951947413,-0.0210416955656842,0,0,0,0.0514129346183777,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.0614477559339117,0,-0.0505197663140901,0,0,0.0804070144855463,0,0,0,0.050684488491996,0.110748698282072,-0.0779661941195854,0,0,0.765193188594928,0,0,0,0,0,0,0.101379254103834,0,0,0,0.0463512071060247,0,0,0,0,0,0,0,-0.00417167444775181,0,0,0,0,0,0
X000883.SZ,0,0,0.04426347375613,0,0,0,0,0,0.291469406934273,0,-0.040450907824517,0,0,0,0,0,0,0,0,0,0,0.158511067252016,0,0,-0.00063810803601535,0,0,0,0,0.0406385760975071,0,0.0323048903071855,0,0,0,0,0,0,-0.0474147008229343,0,0,0,0,0,0,0,0,0,0,0,0,0.0243337713524001,-0.0124758700426211,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000845872039826809,0,0,0,0,0,0.232054813542252,0,0.0627343690101584,0,0,0,0,0,0,0,0.023699663602537,0,0.21523072075737,0,0.00854007878791374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607313989915534,0,0,0,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0503436222067673,0,0,0,0.0689378313312458,0,0.0543967221459062,0,0,0,0,0,0,0.0449437614469654,0.115829632518033,0,0,0,0,0,0,0.0903288271371341,0,0,0,0,0,0,0,0,0.00556704886489694,0.0712958998770001,0,0,-0.00101585447037506,0,0,0,0,0,0,0
