,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X600688.SH,X600188.SH,X601991.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X600801.SH,X000932.SZ,X000709.SZ,X000629.SZ,X600808.SH,X600426.SH,X600339.SH,X600583.SH,X000883.SZ,X601158.SH,X600219.SH,X601699.SH,X000830.SZ,X600985.SH,X002271.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,0,0,0.0826295534712172,0,0,0,0,0.0649772484101057,0,0,0,0,0,0,0,0,0.0427429253604944,0,0,0,0,0.0676696547024438,0.0766537051123913,0,0,0,0,0,0,0,0,0,0,0.248124886401552,0,0,0,0.226857383614943,0.0682189247743821,0,0.0278930597072768,0,0,0,0.00459391338445741,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21543046240029,0.0652527451115291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538117662419553,0,0,0,0.0722351803742276,0,0,0,0,0,-0.00305626364887964,-0.00967305332491509,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.178582888891157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087673047251202,0,0,0.128842971984008,0.00551945956977148,0.108654544481735,0,0,0,0,0,0,0,0,0,0.361098955199377,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114149177516132,0.0776058612937893,0,0,0.100204851131283,0,0,0,0,0,0,0,0,0,0,0,0,0.0309794827272947,0.189941593079467,0,0,0,0,0,0.132304325280339,0,0,0,-0.00301169612421221,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0658161667190504,0,0,0,0,0,0,0,0,0,0.0141006181157116,0.0660417306165301,0.0957685912654293,0,0,0.0430548977027248,0,0,0,0,0,0,0,0,0,0,0,0,0.0674476742294664,0,0,0,0,0,0.0557266481790842,0.0468779660020896,0,0.0381308635591759,0,-0.00412486288064741,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296035916036394,0,0,0,0,0,0,0,0.0156745883330894,0,0,0,0,0,0,0,0,0.0290367343664962,0,0,0,0,0,0,0,0,0.0363648819104337,0,0,-0.0106603299766891,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0.138912522971511,0,0,0,0,0.328580074132726,0,0,0,0,0,0,0.0331512413933333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827232345262968,0,0,0,0,0.147895925694019,0,0,0.0637156422528875,0,0,-9.96492248515765e-05,-0.0113814546107935,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.0950322198392399,0,0,0.0823789878514619,0,0,0,0,0,0,0,0,0,0,0.0618124320011774,0,0,0,0,0.809171106177624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108741610013849,0,0,0,0.0130144597310553,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0.0592304203975721,0,0,0,0,0.284426308426082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989133885465437,0,0.0457757244847251,0.0306899086467705,0,0.094302049007523,0,0,0.162126488894123,0,0,0,0,0,0,0,0,0,0,0.0876343974091936,0,-0.00394251469133928,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.148897096033203,0,0,0,0,0,0,0,0,0,0.0454639212351345,0,0,0.0156057295656804,0,0.0486522291052674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534420821337413,0,0,0,0,-0.0165146199053958,-0.0107489042439093,0,0,0,0,0,0
