,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600176.SH,X600111.SH,X600010.SH,X601600.SH,X600426.SH,X000301.SZ,X601898.SH,X600011.SH,X002466.SZ,X600886.SH,X600188.SH,X600352.SH,X600801.SH,X600219.SH,X600489.SH,X601991.SH,X600803.SH,X600795.SH,X600486.SH,X002353.SZ,X002080.SZ,X600688.SH,X600299.SH,X000932.SZ,X601168.SH,X300037.SZ,X600027.SH,X600295.SH,X600516.SH,X600315.SH,X000898.SZ,X000723.SZ,X601992.SH,X000027.SZ,X600157.SH,X600549.SH,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,0,0,-0.0413359453339675,0,0,0,-0.00479431284895541,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783638789335635,-0.0343940765687823,-7.33439898999288e-05,0,0,0,0,0,0,0,0.135219402291078,0,3.46944695195361e-18,0,0,0.00502004523397654,-0.0147205984597267,0,0,0,0,0,0
X600486.SH,0,0,0,0,0,0,0,0,0,0.146072056151236,0,0,0,0,0,0,0,0.342787375060271,0,0,0,0,0,0,0,0,0.0319745609934302,-1.73472347597681e-18,0,0.0186120402761349,0,0,0.0160726153683393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0599518977354215,-0.0477840447155123,0.0127917484383417,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0935787710672769,0.213527193340113,0.132973410269868,0,0,0,0.19439920572909,0,0,0,0,0,0,0,0,0,0,0.22238468971226,0,0.130446580415673,0,0,0,0,0,0,0,0,-0.0623146002285004,-0.0650978830645198,0,0,0,0,0,0,0,0,0,0,-0.0166501071655959,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0.157747737705999,0,0,0,0,0,0.0482262872142913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00328023402134495,0,0,0,0,0,0.11364995456695,0,0.0292168268353652,0.200449708166439,0,0,0,0,0,0,0.0400080246702515,0,0,0,-0.0562616297309502,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768090934136749,0,0,0,0,0,0,0,0.00301812999204695,0.0679145489454243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125636934055115,0,0,0,-0.012684290560658,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,8.67361737988404e-19,0,-0.162189795060354,0,0,0,0,0.0803784071393112,0,0,0,0,0,0,0,0.146335842433053,0,0,0,0,0,0,0,0,0,-0.076297496812975,0,0,0,0,0.0909502256826376,0.0234393998025316,0.00718282568831227,0,-0.0424874720635858,0,0,0,0,0,0,-0.0837735030376951,0,0,0,0,-0.00894509868315622,0,0,0,0.0271628723403493,0,0
X000932.SZ,0,0,0,0,0,0.534695177097326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115100584183195,0,0,0,0,0,0,0,0.0119148087183316,0,0.00407045578909542,0,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0,0.0637268192084598,0.13059217376909,0,0,0,0.404673509949705,0,0,0,0,0,0,0.086749441234158,0,0,0,0,0.152844849531279,0,0,0,0,0,0,0,0,0,-0.0763720257591108,0,0.19699517480072,0,0,0.0913004757271988,0,0,0,0.0964055575547725,0,0.0203584522502657,0,0,0,0.0241732844759578,0,0,-0.0189131877596035,0,0,0,0,-0.0326892498238343,0,0
X300037.SZ,0,-0.151537647727361,0,-0.115475499832882,0,0,0,0.00981877748647682,0,-0.276464871642992,0,0.151129509017701,0,0.113179017533993,0,0,0,0,0,0,-0.190437258141508,0,0,0,0,0,0,0,0,0,0,0,-0.0247823311415848,0,0,0,0,0,0,0,0,0.204864133661455,0,0,0.101697967158093,0,0,0,0,0,0,-0.0281930872074433,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555544253469946,0,0,0,0,0.161562124272999,0,0,0,0,0.00334836517922562,0.0159172921524703,0,0,0,0,0,0
X600295.SH,0,0,0,0,0,0.0341947485750342,0,0,0.56097235640299,-0.118296733746583,0,0.217666109909708,0,0,0.148884235912829,0,0,0,0,0,0,0,0,0,0,0.239800138322818,0,0,0.24813399317927,0,0,0,0,0,0,0,0,0,-0.268081294041152,0,0,0,0,0,0,0,0,0,0,0,-0.138917034329113,0,0.0451249601561007,0,0,0,-0.0254091006383172,0,0
X600516.SH,0,0,0,0,0,0,0,0.127662000257201,0,0,0,0,0,0,0,0,0.00945241341773377,0,0,0,0,0.192487743370269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845188282869149,0,0.163075678363716,0,0,0,0,0,0,0,0,0,0.0457377530158292,0,0,0.0336170279157025,0,0,0,0,-0.0949257606961456,0,0
X600315.SH,0,0,0.0373962362031902,0,0,0.0346765921780843,0,0,0,0,0,0,0.128604089193542,0,0.00121705504863696,0,0,0,0,0,0,-0.0109818985039793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0760641312626905,0,0
X000898.SZ,0,0,0.099650841417356,0,0,0.228294402421902,0,0,-0.0425242418129022,0,0,0,0,0,0,0,0.0723658456414314,0,-0.070338729679916,0.0987352053003391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261807519099859,0,0,0.122051455241651,0,0.0209710554881234,0,0,0,0,0,0,0,0,0,0.0708483594765558,0,0,0,0,0,0,0,0.0192293365057798,0,0
X000723.SZ,0,0,0,0,0,0,0,0.0447182497476136,0,0,0,0,0,0,0,0,0,0,0,0.146307447344667,0,0.0770786947894439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168458552016525,0.143500281931485,0,0,0,0,0,0,0,0,0,0,0,0.181410391130029,0.00585122722080788,-0.0489921086436187,0,0,0,0.0425923053417079,0,0
