,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X600160.SH,X002460.SZ,X600803.SH,X600489.SH,X000708.SZ,X000301.SZ,X000807.SZ,X000786.SZ,X002466.SZ,X600027.SH,X601991.SH,X000408.SZ,X600219.SH,X600176.SH,X000983.SZ,X002128.SZ,X600426.SH,X000630.SZ,X601168.SH,X601699.SH,X600378.SH,X600096.SH,X000933.SZ,X002353.SZ,X600985.SH,X000877.SZ,X600157.SH,X600299.SH,X600352.SH,X600995.SH,X000883.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002128.SZ,0,0,0,0,0,0.0842319832363453,0,0,0,0,0,0,0,0,0,0,0,0,0.0639181029357837,0,0,0,0,0,0,0.0415201411169106,0,0,0,0,0,0,0,0,0,0,0,0.211026767774234,0.013591499287864,0.171334948194219,0.0340106148515435,0,0,0.0209489287357734,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X600426.SH,0,0,0,0.219091013533076,0,0,0,0,0,0,0,0,0,0.10471865324301,0,0,0,0,0.0149492404672745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523030523155148,0,0,0,0,0.21671916420908,0.0309201861319591,0,0,0.046050134963157,0,0,0,0,0,0,0,-0.0182127202897792,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0.0749936827523379,0,0,0,0,0,0,0,0,0,0.0492814108627203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345079196685344,0,0.0393213480729972,0,0.0707875427443146,0,0,0,0.0329830809711328,0,0,0,0,0,0,0.00233856582133584,0.00207109561222626,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0.0308698546910205,0,0,0,0,0,0,0,0,0,0.0471679706922016,0,0.317111826818888,0,0.00394535743691595,0,0.195043201003781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611949677983576,0.061467433864215,0,0.174978585177805,0,0,0,0,0,0,0,0,0,0,0,0.00670574480215837,0,0,0,-0.00501425841059214,0,0
X601699.SH,0,0,0,0,0,0.184792494134436,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0798930983444902,0.0924877656608163,0,0,0.079516358309621,0,0,0,0,0,0,0,0.0160712421875125,0,0,0,0,0,0.253732110371797,0.132818268737673,0,0,0.0284251145353702,0,0,0,0,0,0,2.16840434497101e-19,0.000702033629430839,0,0,0,0,0,0
X600378.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112369875736684,0,0,0,0.09380134202111,0,0.0932362982216325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510672872432838,0,0,0,0.153263830836617,0,0,0,0,0.329569933162784,0,0,0,0.0392765662268484,0,0,-0.0457478557480879,0,0,0,0,0,0
X600096.SH,0,0,0,0.045200070849065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231587421011742,0,0.0168041103712872,0,0,0,0.0605903184704032,0,0,0,0.0837424962331399,0,0,0,0,0.107759260209522,0,0.0538654365736371,0,0,0.0945573077018497,0,0.0106597350152815,0,0,0,0,-0.0181821939449139,-0.0118633162679917,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627314101146402,0,0.0942783571509361,0,0,0.0273058805542197,0,0,0,0,0.145946274783781,0.377666208712511,0.0289673482730094,0,0,0,0.0191283027727899,0,0,0,0,0,0,0.0891772049618778,0.154322915169552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140667379273741,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0.189120902181898,0,0,0,0,0.066393868593988,0,0,0,0,0,0,0,0,-0.01132200468963,-0.00569948563623858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302003821371526,0,0,0,0,0,0,0,0.201806918404489,-0.0812045433215698,0,0.300330445489882,0,0,0,0,-0.0362687908370729,-0.0102486853381924,0.0589690777402968,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0.164046856281216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179136008291432,0,0,0,0.0893825841193887,0.0944324668277983,0,0,0,0,0,0,0.0494364357524736,0.0251569876798398,0,0,0,0.0352618694054855,0,0,0,0,0,0,0,0,0,0,-0.0328929494252755,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0.591208010914654,0,0,0,0,0,0,0,0,0,0.27994130114938,0.0754893690695963,0,0,0,0,0,0.108354705504016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380448534955233,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197673413571571,0,0,0,0,0,0,0,0,0,0,0,0.0724135397414681,0,0.131717998528149,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.146258191962376,0,0.0210926477137533,0,0,0,0,0,0,0,0,0,-0.0926741476513002,0.0305649273661474,0.00911694877520554,0,0,0,0.0495900865493659,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970694236489992,0,0,0.0719756808756809,0,0,0,0,0,0,0.083915491281015,0,0,0,0,0.145175343005544,0,0,0,0,0,0,0,0,-0.0424027228684671,0,0,0,-0.0444384427972808,0,0
