,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600362.SH,X600111.SH,X600157.SH,X601992.SH,X600886.SH,X600188.SH,X002466.SZ,X600299.SH,X600660.SH,X000792.SZ,X600547.SH,X601158.SH,X600489.SH,X600309.SH,X600583.SH,X000709.SZ,X000883.SZ,X000539.SZ,X000898.SZ,X000027.SZ,X000630.SZ,X600352.SH,X002470.SZ,X000060.SZ,X000629.SZ,X300072.SZ,X600612.SH,X600098.SH,X000723.SZ,X600176.SH,X600160.SH,X600021.SH,X000959.SZ,X000983.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156552607391268,0,0,0,-0.201363133085451,0,0,0,-0.117663266224129,-0.0118782249821008,0,0,0,0,0,0,0,-0.0447928687127446,0,0.421855198272335,0,0,0.344635945705614,0,0.0785072802704253,0,0,0,0,0,0.0520441562554023,-8.67361737988404e-19,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.10077783037239,0,0,0,0,0,0,0.0743906087002439,0.127652343540509,0,0,0.160570227831329,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0586910715867912,0,0,0.177251560173383,0.0531973879030815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.173443995195365,0,0,0,0,0,0,0,0,0,0.0884513328951786,0,0,0,0,0.121381631065741,0.0144908346304446,0,0,0,0,0,0,0,0,0.0102306075113754,0,0,0,0,0,0,0,0.339465284508267,0,0,0,0,0.00667993803508868,0.0863198156685235,0.0261751655013774,0,0,0,0,0,0,0.0140384159447289,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216889197026347,0,0,0.0407289652908417,0.219245026133849,0.110314988409657,0,0,0.0895529185367639,0.0404540008831831,0,0,0,0,0,0.113209938012202,0,0,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.183476332711932,0,0,0,0,0,0,0,0,0,0,0,0.348542881238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200264576063856,0,0,0,0.0399549947009072,0,0,0,0,0,0,0,0,0,0.00939845885461654,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285912275962815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172338510527743,0,0,0,0,0.0159816162748035,0,0,0,0,0,0.0677776234484572,0.134089453702518,0,0,0,0,0,-0.00537132350096727,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0318647157966283,0,0,0.437600924903843,0,0,0,0,0,0,0.0398980528651133,0,0,0,0,0,0,0,0,0.156086202169676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795833426226488,0,0,0,0,0,0,0,0,0.0949474392455548,0,0,0,0,-0.00352140525695045,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0966562558263603,0,0,0,-0.189586896947844,0,0,0,0.205635998034888,0,0.383932855544515,-0.257695425444379,0,0,0,0,0,0,0,0,0,0.139969686096513,0,0,0.0162556585159132,0,0,0,0,0,0,0.115025184269323,0,0,0,0,-0.215146285051018,0,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294124100634238,0,0,0,0,0,0,0,0,0,0.101367609480341,0,0,0,0,0,0,0,0,0,0.0713111524735687,0,0,0,0.259009567184229,0.00846892465330101,0,0,0,0,0,0.155742069402402,0.0038381340902913,0,0,0.191100351031431,0,0,0.0267513971323714,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110336424284925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655087632838209,0.0351154768845436,0.0368489519754732,0.0120472133109041,0,0,0,1.73472347597681e-18,0.06513948444435,0.0101913663454935,0,0,0,0,0,0,-0.0224697724732258,0,0,0,0,0,0
