,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600010.SH,X600176.SH,X601898.SH,X600111.SH,X601600.SH,X600011.SH,X000301.SZ,X600886.SH,X600188.SH,X002466.SZ,X600426.SH,X601991.SH,X600352.SH,X600803.SH,X600801.SH,X000932.SZ,X600219.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600516.SH,X600486.SH,X000807.SZ,X600299.SH,X000898.SZ,X002353.SZ,X600027.SH,X000723.SZ,X601168.SH,X600315.SH,X600157.SH,X601992.SH,X000630.SZ,X000825.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,0,-0.0527775538352007,-0.000613971293266873,0,0,0,-0.00737466235889771,0,0,0.00369023949881688,0,0,0,0,0,0.00693433723161094,0,-0.00196023449990293,0,0,0,0,0.0692794337091773,0,0,0,0,0.133695676471727,0,0,0,0.00830885398964467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00966340281288338,0,0,0,-0.0173788665633959,0,0
X002080.SZ,0,0,0,0,0,0,0,0.0232324820605955,0,0,0,0.257503048098544,0,0,0,0,0,0,0,0,0,0,0,0,0.243643060486821,0,0,0,0,0,0,0,0,0,0,0.181210108596055,0,0,0,0,-0.00257440716744844,0,0.295246274283006,0,0,0,0,0,0,-0.171433116827352,0.0609861071044588,0,-0.0284229030196428,0,0,0,-0.159462081351677,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0.568410074235268,0,0,0,0,0,0,0.00801510853154638,0,0,0,0,0.0406977334959569,0,0,0,-0.0354791866592248,0,0,0.0320096148462183,0,0,0,-1.73472347597681e-18,0,0,0,0.117695358361669,0,0,0,0,0.0231043036528202,0,0,0,0,0.0413067806625887,0,0.00417361349368721,0,0,-0.00990525290472973,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,-0.00187302381612433,0,0,0,0,0,0,0.090683011042095,0.0514523584018555,0,0,0.2011553450129,0,0,0,0.603797929657788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300364729088591,0,0,0,0,0,0,0,0.033632862601283,0,0,0,0.176393600891622,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.0420226594043736,0,0,0,0,0,0,0.138567903722398,0,0,0.0103822593204456,0,0.047086208478779,-0.0240823828217285,0,0,0,0,0,0,0,0,0,0.194124024113359,0,0,0,-0.135429638670412,0.0297403754879172,0,0,0.0304622670985102,0,0,0,0.0259777168004405,0.0831032126752739,0,0,-0.02189635587783,0.017257520078168,0,-0.0103655252476219,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10439995975625,0,0,0,0,0.286392336560616,0.185857802314986,0,0,0,0,0,0.0491949414707785,-0.197133193158512,0,0.420217257996874,0,0,0,0,0,0.0894526122542654,0.254289739340392,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0
X600486.SH,0,0,0,0.0449527694188273,0,0,0,0.103432033763306,0,0.31513492985897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106626700316484,0,0,0,0,0,0.019224402583784,0,0,0,0,0,-0.216445498749784,0,0,0,0,0,0,0,0.0909778954330256,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0202429597265862,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.726891203338168,0,0,0,0,-0.102093950501785,0,0,0,0,0,-1.73472347597681e-18,0.0451306853874269,0,0,0,0,0,0.165085103671575,0,0,0,0,0,0,0,0,0.152786967055255,0,0,0,0,0,0.0754306055269389,0.00279896691539024,-0.0256264193196608,-0.309230256267099,0,0,0,0,0
X600299.SH,0,0,0,0.0391165786412111,0,0,0,0,-0.111184925144881,0,0,0,0,0,0.096410003492813,0,0,0,0,0,0,0,0.105149906352456,0,0,0,0,0,0,0,0,0.039374296744514,0,0.11478575779896,0,0.0544928231396367,0,0,0,0,0,0,0.0386447514698407,0.0534122415729377,0,-0.074587586124055,0,0,0,0,0,0.0264987997850773,0,0,0,0,0.077190145017458,0,0
X000898.SZ,0,0,0,0,0,0.256763209968758,0,0,-0.0288969492103973,0,0,0,0,0.0168956868055889,0,0.0386589571063621,0,0,0,-0.0470093809092609,0,0,0,0,0,0,0,0,0.134736164701031,-0.0557371505025503,0,0,0,-0.107220173287934,0,0,0,0.0831593557546842,0,0,0,0,0,0,0,0,0,0.21211691345718,0.0204532633705765,0,0,-0.00821727407116522,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.211496699640573,0,0,0.0961907422254528,0,0.45797803347402,0,0,0.256153489578323,0,0,0.195498785385836,0,0,0,0.0825018559374491,0,0,0,0,0,0,-0.0585962330082184,0,0,0,0,-0.121346164316247,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0577465480707893,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,-0.0239201072655245,0,0,-0.0208352941023657,0,0.0109805018609167,0,0,-0.0222526454991053,0,0,0,0.1750506337274,0,0,0.0445578921179118,0,0,0.0605522131731652,0,0,0.0268091287082035,0.0163929957780307,0,0,0,0,0.097252587740708,0,0,0,0.0433023037625058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595867683722867,0.00713224431165555,0,0,0,0,0,0
X000723.SZ,0,0,0,0,-0.0940866994298287,0,0,0,0,0,0.066832304232304,0,0,0,0,0,0.25672044270283,0,0,0,0,0.337769149295109,0,0,0,0,0,0,0,0,0,0,0,0.228572074470128,0,0,0,0.0361259842693782,0,0,0,0,0,0.0708560888539092,0.11416282582228,0,0,0,0,0,0,0.0604387476031077,-0.11040411304402,0,0,0,-0.012615351537086,0,0
