,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X601600.SH,X600660.SH,X600886.SH,X601898.SH,X600010.SH,X600362.SH,X600801.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X000786.SZ,X600111.SH,X600688.SH,X600795.SH,X002466.SZ,X600027.SH,X601992.SH,X600176.SH,X600299.SH,X600426.SH,X600529.SH,X600315.SH,X002353.SZ,X600126.SH,X002080.SZ,X002409.SZ,X600612.SH,X000723.SZ,X600219.SH,X600516.SH,X002075.SZ,X000898.SZ,X000932.SZ,X000959.SZ,X600486.SH,X601158.SH,X000027.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002271.SZ,0,0,0,0.088049870031068,0,0,0,0.0794303335123238,-0.0492606046071027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178395256833367,0,0,0,0.0803815206922994,0,0,0,0,0,0.189828421380335,0.0390359151247697,0,0.00410202165802888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00253725516415958,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0.0168061297945379,0,0.0107436498403628,0,0,0,0,0,0,0,0,0,0.0855350051331403,0,0,0,0,0,0.0482679918047894,0,0,0,0,0,0,0.0262601773398803,0,0,-0.0712165593825293,0,0.00532395754320005,-0.0188735946289156,0,0,0,0.120424633551392,0,0.125295922229057,0,0,0,0,0,0,0,0,0,-0.00249040605482705,-0.000916173550500314,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016073022459723,0,0,0.113060040244479,0,0,0,0,0,0,0,0,0,-0.00447856654562041,0,0.0545930313079875,0,0,0.0291537126293627,0,0.153650648781139,0,0,0,0,0,0,0,0,0,0,0,0.00882204750401335,0.0181786674562586,0,0,0,0,0,0
X600886.SH,0,0,0.0699457069356727,0,0,0,0,0,0,0,0,0,0.0779797987526785,0,0,0,0,0,0,0,0.0392917336863133,0,0,0,0,0,-0.0195414438480107,0.104095204541882,0,0.0559522596944325,0,0,0,0,0,-0.00609616292537478,0,-0.0336084055896947,0,0,0,0,0,0,0,0,0,0,0,0.0186459793009962,0.0466836975045562,0,-0.00723023420353917,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00723500595183217,0,0,0.178801277930077,0,0,0.0442845404193003,0,0,0,0,0,0,0,0,0,-0.0616635259932685,0,0,-0.0156291373395196,0,0,-0.0311020356037027,0,0,0,0,0.106869330958458,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.00135179772782431,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0103623744277486,0,0,0,0,0,0,0,0,0,0,0,0,0.0135794237352777,0,0,0,0,0.108696795843926,0,0,0.0624355271632116,0,0,0,0.03954099805568,0,-0.0223744364945222,0,0,0,0,0,0,0,0,0.0130485198436121,0,0,0,0.067975040442517,0,0,0,-0.167914416554928,0,0,-0.00245366595416228,0,0,0,0,0,0
X600362.SH,0,0,0,0,0.0280279094438736,0,0,0.0990180560979438,0,0,0.0561048588534092,0,0,0,0.0315921498323915,0,0,0.0455827080372015,0,0.148077874457842,0,0,0.182255538011675,0.218862848442339,0,0,0,0,0,0.0334169722569854,0,0,0,0,0,0,0,-0.0179329054494967,-0.0131136610134619,0,0,0,0,0,0,0,0,0,0,0,0,0.00237114497879452,0.00226216684524736,0,-0.0525424698797317,0,0,0,0
X600801.SH,0,0,0,0.320224374774146,0,0,0,0,0,0,0.116686537909133,0,0,0,0,0,0,0,0,0,0,0,0,-0.033021474912625,0,0,0.0293938400103,0,0,0.319628505003794,0,0,0,0,0,0.0200033161042343,0.0737048345689535,-0.00893609294804896,0,0.0952446243899696,0,0.0234515943442493,0,0,0,0,0,0,0,0,0,-0.0353883760951821,0.0573393553512777,0,0,0,0,0,0
X600489.SH,0,0,0,0,-0.0490721466392135,0.755984018715757,0,0,-0.0130314814754493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139363076731088,0.0945204928777059,0,0,0,0,0,0.132142807345296,-0.0267686445531859,0,0,-0.00592668752865636,0,0,0,0,0.0514375884020248,-0.0143366979218071,0.0176128508006335,0,0.0281945364528012,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201933406284556,0,0,0,0,0,0.0809479999093996,0,0,0.151288044780128,0,0,0,0,0,0.19678210951608,0.0663372613168467,0,0,0,0,-0.00822504482402112,0,0,-0.0730351854165033,0,0,0,-0.010569636346568,0,0,0,0,0,0,0,0,-0.00466688790164621,0,0,-0.0947133461359946,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0.0278281554269884,0,0.0136097654899881,0,0,0,0,0,0,0.0667927037882997,0,0,0,0,0.00481644873732953,0,0.0124640075297937,0,0.0291434526972444,0,0,0,0.0717591482496105,0,0,0,-4.33680868994202e-19,0.00282129293064645,0,0,0,0,0,0.171109135832454,-0.0172392640065302,0,0,0,0,0,0,0,0,0.00448954512890999,0.00347398144122831,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,-0.00554551312474063,0,0.0129605060605834,0,0,0,0,0,0,0,0.0257060823546794,0,0,0,0,0,0,0,0,0.262982607532558,0,0,0,0,0,-0.0317567118310735,0,0,0,-0.031983984461945,0,0,0,0,0.0468705996318282,0,0,0,0,0,0,0,0.0429894232121204,0,-0.0148994315248146,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0.30198339191252,0,0,0,-0.09101100289651,0,0,0,0,0,0,0,0.199953749262257,0.0906675221314005,0,0,0,0,0,0,0,0,0.146365303862135,0,0,0,0,0,0,0.058784912887068,0,0.0876583166709396,0,0.0434255753878613,0,0,0,0,0.0324399396028237,0,0,0,0,0,0,0,0.0353591496724346,-0.0329564008946872,0.0181499292283065,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.267239569330062,0,0,0,0,0.256596150514182,0,0,0,0,0.0996076156792482,0,0.00587938149544859,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0774415233673103,0,0.0280311360263244,0,0.0410457575321342,0,0,0,0,0,0,0,0.014237791291454,0,0,0.240703706026232,0,0,-0.00884846240096425,0.0262343573960089,0,0,0,0,0,0
