,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X601898.SH,X601600.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600011.SH,X600886.SH,X600176.SH,X600219.SH,X000786.SZ,X000825.SZ,X600803.SH,X000408.SZ,X000932.SZ,X300037.SZ,X601991.SH,X600795.SH,X002080.SZ,X600399.SH,X000898.SZ,X600549.SH,X002409.SZ,X000807.SZ,X000959.SZ,X600352.SH,X000027.SZ,X600489.SH,X002353.SZ,X000630.SZ,X000830.SZ,X600486.SH,X002407.SZ,X601699.SH,X601168.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002080.SZ,0,0,0,0,0,0,0.0115664663562862,0,0,0,0,0.169688449961754,0,0.0731454372534817,0,0,0,0,0,0,0,0,0.00496493087754614,0,0.22713124441605,0,0,0.0181341537514734,0,0.158561836178322,0,0,0,0,0,0.0964915739788353,0,0,-0.0745331578816654,0,0,0,0,0,0,0,0,0,-0.0272030079675217,0,0,0,-0.0649475293434568,0,0,0,0,0,0
X600399.SH,0,0,0.140393863906234,0,0,0,0,0,0.0746310606922088,0.124061131699941,0,0.0209498703319455,0,0.0621407180171555,0,0,0.0214336385387083,0,0,0,-0.400600171478173,0,0,0,0.5592720923041,-0.101626484118204,0,0.0336343198468354,0,0,0,0,0,0,0,0,0.140614273146695,0,0,0,0,0,0.0830791875245831,0,0,0,-0.0969929446631511,0,0.0766534090019731,0,0,0,-0.169709672244438,0,0,0,0,0,0
X000898.SZ,-0.303151949249038,0,0,0,0.0453368922955056,0,0.061990887207539,0,0,0,0,0,0.0890313187748717,0,0,0,0.180753808286667,0,0,0,0,0,0,0,0,0,0,0,0.328441212207157,0,0,0,0,0,0,0.0131501511429679,0,0,0.0781222895093646,0,0,0,0,0,0,0,0,0,0.115484227899308,0,0,0,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0.365638030672843,0.0622726654069827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337910852998634,0,0.150409112350134,0,0,0,0.120677016340467,0,0,0,0.0634060725223394,0,0,0,0,0,0.0103937551408703,0,-0.0114957527812175,0,0.151992445529548,0,0,0,0,-0.0960589464057105,0.0692013593168343,0,0,0,0,0,0,0,0,0,0
X002409.SZ,0,0,0,0,0.0645186323291056,0,0,0,0.0236801217704875,-0.175499342193233,0,0.166973626825106,0,0,-0.157285352596629,0,0,0,0,0,0,0,0,0,0,0,0,0.0333550877959906,0,0,0,0,0,0.0739056090831114,0,0,0,0,0,0,0.0271636957337696,0,0,0,0.211621639061982,0,0,0,0,0,0,0.0217570047110483,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0.113280617792595,-0.0296604532887118,0,0,0,0,0,0.0337565842667734,0.677767305684369,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0129692564835137,0,0,0,0,0,0,0,0,0,0,0.0973697314609169,0,0,0,0,0,0,0.0772764051455167,0,0,0,-6.93889390390723e-18,0.0932300375452311,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0.0997789386537567,-0.0466497504103052,0,0.00190289005770826,0,0,0,0,0.0725486228451936,0,0,0,0,0,0,0,0.0727370832355002,0,4.33680868994202e-19,0.32666223664,0,0,0,0,0,0,0,0,0.36301215758083,0,0,0,0,0,-0.0953720884076932,0,0,0,0,0,0,0.109358751811824,0,-0.0187577754170705,0,0.0457323893491144,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0.0528311284704775,0,0,0,0,0,0.0258864345596009,0,0,0,0.111011204495665,0.0679555256214883,0,0,0,0,0,0.0450387046817761,0,0,0,0,0.0092717084293867,0,0,0,0,0,0,0,0,0,0,0.0346952539199442,0,-0.0307963760983343,0.170037131516554,0,0.0376039834432865,0,0,0,0.00625642095319791,0,0,0,0,-0.0664053869792788,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0.0995406338805419,0,0,0,0,-0.00180350582519289,0,0,0,0,0,0,0,0,0.422410079372715,0,0,0,0,0.218320069131664,0,0,0,-0.0209215955294372,0,0.164755893890122,0,0,0.0694934240967149,0.0231229949216405,0,0,0.045435403516802,0,0,0,0,0,0,0,0,-0.0998766336414404,0.0523876608109368,0,0,0,0,0,0,0,0,0,0.279294554636584,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.0464381914933279,0,-0.0308997183885137,0,0.120764763321679,0,0,0,0,0.0444486783916385,0.377910803359098,0,0,0,0,0,0,0,0,0.109261850130118,0,-0.0555490207933396,0,0,0,0.0224287954066749,0,0,0,-0.0180244616728646,0,0,0,0,0,0,0,0,0,0,0.139320492774846,0,0,0.0288856784976127,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,-0.0489405192918383,0,0,0,0,0,0,0.0479617526033534,0.0876445851002671,0,0,0.0596074704784195,0,0,0,0,0,0,-0.152808243891796,-0.0182907550554228,3.46944695195361e-18,0,0,0,0,0.145395623418167,0,0,0,0.138271146085859,0,0,0,0,0,0,0,0,0,0.11783213224888,0.0746383627393502,0,0,0,0,-0.0101945626743276,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0132073169750246,0,0,0.0758851931002498,0,0.232380864546209,0,0,0,0,0.100111705104849,0,0,0,0,0,0,0,0,0,0,0,0.00912160595842228,0,-0.0317301365225155,0,0,0,0,0,0,0,0,0,0.00715566089371811,0,0.268806610257334,0,0,0,0,0,0,0,0,0,0
X000830.SZ,0,0,0,0,0,0,0,0.0357765514379151,0,0,0,0.161854770331263,0,0,0,0,0,0,0,0.103854331451809,0,0,0,0,0,0.0589538705320455,0,0,0,0,0,0,0,0,0,-0.136582238704823,0,0.138684055496631,0,0,0.0542347623675419,0,0,0.161969902110854,0,0,0.269281040913182,0,0,0,0,0,0,0,0,0,0.0417135286769236,0,0
