,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X600011.SH,X600188.SH,X600547.SH,X601898.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X002466.SZ,X000792.SZ,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X600489.SH,X601991.SH,X000807.SZ,X601699.SH,X000786.SZ,X000983.SZ,X600160.SH,X000932.SZ,X000630.SZ,X600219.SH,X002080.SZ,X000408.SZ,X000629.SZ,X300037.SZ,X000933.SZ,X600612.SH,X000539.SZ,X600688.SH,X600157.SH,X600995.SH,X000723.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002271.SZ,0.139591587088507,0,0,0,0.219322313999315,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166461644469798,0,0.162855325316629,0,0,0.180884027794693,0,0,0,0,0,0,0,0,0,0.464126419270715,0,-0.119793289817904,0.213767689408513,0,0,0,0,-0.31086069685713,0,0,0,-0.0978778256383194,0,0,0,0,0,0,0,0.153457834186127,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0.0788348260256228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397656129510885,0,0,0,0,0.0281505086934982,0,0,0,0.0234076137872424,0,0,0,0.0973465464489854,0,0,0,0.0206355037102525,0.0332158672755043,0,0,0,0,-0.0949097656110051,0,0,0,0.186367696898147,0.0467327302270649,0,0,0,0,0,0,0,0,0,0
X600426.SH,-0.0273979858309605,0,0,0.0395362689356077,0,0,0,0.3050469929464,0,0,0,0,0,0,0,0,0,0,0,0,0.159786748062641,-0.168317166793859,0,0,0,0,0.0278165563779031,0,0,0,0,0,0,0,0.0475292034546261,0,0,0,0,0,0.184999132567078,0.0191022395389737,0,0,0.0649839977496799,0,0,0,0.117030133134537,0,0,-0.0212896537750071,0.0648328338708691,0.0987916825339412,0,0,0,0,0
X600362.SH,0,0.102126202570896,0.0321364922355185,0,0,0,0,0,0.137082656372307,0,0.137946315240498,0,0,0,0,0,0,0.0605707793760014,0.0694135051447284,0,0,0,0,0,0,0,0.011809110029945,0,0,0,0.0206777277679555,0,0,0,-0.046477591349082,0,0,0,0,0,0.0112292019323332,0,0,0,0,0,0,0,0.111391980566314,0,0,-0.000766727299921906,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.11950119925589,0,0,0.253466195446747,0.125771021266167,0,0,0.00224035165375489,0,0.0763538143463216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350437179779456,0.0758264071416712,0,0,0,-0.0267775739283319,0,0,0,0,0,0,0,0,0,0,0,-0.0207681388171684,0.066949662197412,0,0,0.0990830988740823,0,0,0,0.0101323355099925,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,-0.051781418897425,-0.0447878824443784,0,0,0,0,0,0,0,0,0,0,0,0,0.20585797324078,0,0,0,0,0,0.145429070910286,0,0,0.27535110883801,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027588867969358,0,0,0,0,0,0,0,0.0721780797805804,-0.111838053896663,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0.277589422033593,0.212896645891612,0.00438347688704013,0,0,0.396606876066879,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.223581214623829,0.0125477966770979,0,0,0.106480262459179,0,0,0,0.297108446602742,0,0,0,0,0,0,0,0.0423859614734576,0,0.0104296870356018,0,0,0.0395275193730112,-3.46944695195361e-18,0,0,0,0,0,0
X600027.SH,0.216528220003315,0,0,0,0,0,0.788990595455691,-0.0743138643924298,0,0,0,0,0,0,0,0,0,0.105981664162303,0,0,0,0,0,0,0,0,0,0,0.00683858054171007,0.25686380676638,0,0,0.103158125537127,0,0,0,0,0,0,0,0,0,0.100396306112964,0.247862837775465,0.132109725839145,0,0,0,-0.10443758156466,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.732326640709668,0,0,0,0,0.0026950996875225,0,0,0,0,0.0156449723546664,0,0,0,0,0,0,0,0,0.0367272055253116,0,0,0,0,0.0809369416420826,0,0.0934859668566326,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0156290891307483,0,0,0,0.085513202172426,0,0,0,-0.0167840478264403,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014302103125451,0,0,0,0,0,0,0,0.278744352759014,0,0,0,-3.46944695195361e-18,0,0.403427057204688,0.0801193923244658,0,0,0,0,0,0,0,0,0,0,0,-0.307949016855078,0,0,0,0.0902287684418674,0,0.0404033099571082,0,0.0362837483820882,-0.116486725083648,0,0,-0.0181031950771793,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,-0.374734386912468,0,0,0,0.347106663299988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910864144088925,0,0,0,0,0,0.223463919036177,0,0.0443197338762779,0,0,0,0.0777867914918974,0.014779653017867,0,0,0.025803800365606,0,0,0,0,0,0
X601699.SH,0,0.10877113255365,0,0,-0.429507654333989,0,0,0,0.0383811258217046,0.135199409533284,0,0,0,0,0,0,0,0,-0.179940406183149,0.159101059686786,0,0,0,0,0,0,0,0,0,0,0.0341971834029293,0,0,0,0,0,0,0,-0.0630345247063658,0.0236300237639161,0,0,0.23691108959662,0,-0.066688936226258,0,0,0,0,0.238187687672012,0,0,0.0522588262177007,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,-0.000963408891341774,0,0,0,-3.46944695195361e-18,0.00547782529198631,0,0,0,0,0.069549629295149,0,0.410021493079285,0,0,0,0,0,0,0.029086755596837,0,0,0,0,0,0.224677329982265,0,0,0,0,0,0,0,0,0,0,-0.156226890472949,0,0,0,0,0.220545858785573,0,0.0442349454780174,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0.0926980433482272,0,0,0,0,0,0,0,0,0,0,0,0,0.0379054335286752,0,0,0,0,0,0,0,0,0,0,0.124300524480722,0.00955802282633812,0,0,0.161668468872744,0,0,0,0,0,0,0.0171335015884985,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0465863818565553,0,0,0,0,0
X600160.SH,0,-0.314583642218929,0,0,0,0,0,0.0585715510399495,0,0,-0.0979768278862931,0,0,0.200466792230514,0,0,0,0,0,0,0,0,0.250144565166388,0,0,0,0.0253680049252901,0,0,0,0,0,0.142694008220361,0,0,0,0,0,0,0,0,-0.0668072115122248,0.0450979678758495,0.280651867470532,0,0,0,0,0,0.0891737915020279,0,-3.46944695195361e-18,0.114955443577954,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0.0445431019478984,0,0,0,0,0,0,0,0.022649398873726,0,0,0,-0.0369400374774975,0,0,0.0584020913911802,0.377858302704746,0,0,0,0,0,0,0,0.0375759083266741,0,0,0,0.106621228446666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00786087631248811,0,0,-0.0341645943909308,-4.33680868994202e-19,0.0798743233712931,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0.0057663558053358,0,0,0,0.0806665129399738,0,0,0,0,0,0,0,0,0,0,0,0.0941026231736382,0,0,0,0,0.0592901675158694,0,0,0.110612443456342,0,0,0,0,0,0,0,0,0,0.185175857018694,0,0,0,0,0,0,0,0,0,-0.204969046872683,-0.0121997279574008,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0.0506467346977184,0.0155280668810035,0,0,0,0,0.16288971682762,0,0,0,0,0,0,0.019031297706873,0,0,0.0318905914815126,0.0353414470753883,0,0,0,0,0,-0.0548672313329064,0,0,0,0,0,0,-0.00552110941930633,0,0,0,0.0934373369550889,0.0787706864985262,0.00826261145290892,0,0,0,0,0,0,0.0775841818997482,0.03357046484023,0,0,0,0.018690948577621,0,0,0,0,0,0
X002080.SZ,-0.119403679292354,0,0,0,0,0,-0.0951809460983133,-0.0565340022425386,0,0,0,0,0,0,0,0,0,0.157035003551412,0.270296605366661,0,0.162883698131515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907468646351156,0,-0.0563009241980644,0,0,0,0.173516782421112,0,0,0,-0.0483322609561293,0.0547721077892048,0,-0.0245559389516993,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.349658915379968,0,0,0,0,0,0,0,0.0382263484300453,0,0,0,0,0,0,0,0,0,0,0.118072080402072,0,0,0.0319229900952161,0,0,0,0,0,0,0,0,0,-0.00858366964690442,0,0,0,0.0634411935067841,0.158962110562466,0,0,0,0,0,0,0,0,0
X000629.SZ,0.080717358431026,0,0,0,0.255574770499025,0,0,0.0248682461178663,0,0,0,0,0,0,0,0,0.0777353870703929,0.561227599128544,0,0,0,0,0,0,0,0,0,0,-0.0329883501523277,-0.0383869906064657,0.0796940601187434,0.0447076826043162,0,0,0,0,0,0,0,0,0,0.0519292901713224,0,0,-0.0343072644464341,0,0,0,0,0,0,0.0209883201414441,-0.0872840940013087,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121722542221942,0.151949642361023,-0.114008874168948,0.185637157554548,0,0,0,0,0,-0.0220765710539339,0,0,0,0,-0.242631863336709,0.0168635416982017,0,0,0,0.117659814359961,0,0,0,0,0,0,0,0,0,0,0,0,0.00529848037319132,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0.0861552310331357,0,0.0500366094232703,0.244004587182859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0697203805730929,0,0,0.379190202354233,0.0159286887574904,0,0,-0.0303040494530234,0,0,0,0,0,0.0303713476107143,0,0,0,0,0,0.0460252179384666,0,0,0,0,0.0105364605231081,0,0,0,0,0,0,0
X600612.SH,-0.0444500485782144,0,0,0,-0.1556036536852,0,0,0,0.00228823553664965,0,0,0,0,0,0.212482719516839,0,0.0533069970016179,0.101432973477708,0,0,0,0,0,0,0,0,-0.104989832876958,0.113065426635111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866013057083266,0,0,0,0,0,-0.370380824164002,-0.0438455981195185,-0.0810751004412429,0,0,-0.0990994797593613,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0.544437202170306,0,-0.135418493354771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122387865249762,0,0,0,0,0.326950860439721,0,0.0658183712062883,0,0,0.169164612316191,0,0.0724790610335939,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.146409260553573,0,0,0,-1.38777878078145e-17,0,0,0,0.0977305451033049,0,0,0,0,0,0,0
X600688.SH,0.0515395343624236,0.129225183191431,0,0,0,0,0,0,0,0,0.104837844656193,0,0,0,0,0,0,0,0,0,0,0.0177862507914659,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202627331196295,0,0,0,0,0,0.0329960630380547,0,0,-0.0419380611600445,0,0,0,0.013340783648617,0.104603343666465,0,0,-0.015427821796636,0,0.067208559134469,0,0,0,0,0
X600157.SH,0,0,0,-0.108897544785421,0,0,0,0,0,0,-0.0972368764673484,0,0,0,0,0,0,0,0,0,0.0193773931120033,0,0,0,0,0,0,0.0747690396923453,0,0.196149595282657,0,0,0,0,0,0,0,0,0,0.152840926421461,0,0,0,-0.0245812287663911,0,0,0,0,0,0.110385870112679,0,0,-0.0211383517929705,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0.02708093643407,0,0,0,0,0,0,0,0.266866945316024,0.0275985720683019,0.254589500964709,0,0.0432406049460653,0,-0.0285143469787038,0.190229642833768,0,0,0.343185152451967,0,-0.248334888127144,0,0,0,0,0,0,0,0,0,0,0,0.168099290015174,0,0,0,0,0,0.265749209946337,0,0,0,0,0,0,0.0739692479543778,-0.11781579734369,0,0,0,0,0,0
X000723.SZ,0.0626583460593869,0,0,0,0,0,0,0.240960915361818,-0.184145460987093,0,0,0,0,0,0,0,0,0,0,0,0.125772538301764,0.435100604326166,0,0,-0.0650545733940432,0,0,0,0,0,0,0,0,-0.435299993713787,0,0,0,0,0,0,0,0.046451052841209,0,0,0,0,0,0,0,0.35198631590487,0,-0.0540151137297294,0,0,0,0,0,0,0
