,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X601600.SH,X000877.SZ,X600010.SH,X002271.SZ,X000708.SZ,X601898.SH,X600660.SH,X600547.SH,X000301.SZ,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X000807.SZ,X601991.SH,X000786.SZ,X600795.SH,X600803.SH,X000983.SZ,X601699.SH,X002080.SZ,X000630.SZ,X000825.SZ,X600801.SH,X600688.SH,X600096.SH,X002353.SZ,X600141.SH,X000932.SZ,X600489.SH,X000960.SZ,X000959.SZ,X600027.SH,X600295.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600011.SH,0,0,0,0,0,0,0,0.0251230788993722,0,0,0,0,0.224019885407325,0,0,0,0,0,0,0,0,0,0.144668727006841,0,0,0.150843682201279,0,0,0,0,0.128515880116614,0,0,0,-0.0218663011799875,0,0,0,0.0150371209575476,0,0,0,0,0,0,0,0,0.362013689030078,0,0,-0.0384018178928084,0,0.0059609538973725,0,0,0,0,0,0
X002466.SZ,-0.348197696907181,0,0,0,0,0.522150358413459,0.160066543304512,0,0,0,0,0,0,-0.140405856162515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072837326169795,0,0.010107066898672,0,0,0,0,0.214672009964887,0,0,0,0,0,0.033301075581426,-0.0126517223583542,0,0,0,-0.0175551390830946,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.153807788644414,-4.18765864428246e-06,0,0,0,0,0.113948600136316,0,0,0,0,0,0,0,0.572254473188458,0,0,0,0,0,0,0,0,0,0,0,0.00600506703640164,0,0,0,0,0,0.0487974744608726,0,0,0,0,0,0,0,0,0,-0.0324178391467966,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0.180262288881602,0,0,0,0,0,0.276381086377721,0,0,0,0,0,0,0,0,0,0,0,0.0377617846518463,0,0,0,0,0,0,0,0,0,0,0,0.163040238856828,0,0.0452140282077852,0,0,0,0,-0.126283327222405,0,0,0.0443151046047627,0,0,0,0,0,0,0,0.0222066724361007,0,0
X600010.SH,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.178025650672906,0,0,0.0794724470092499,0.349897510065904,0,-0.025411535428794,0.0702064010565465,0,0,0,0.00996204495803547,0,0,0,0,0,0,0,0,0,0,0,-0.0951567766477449,0,0,0,0,0,0,0,0.0843471372419403,0,0,0,0,0,0,0,0,0.150410125552171,0,0.0396869398697904,-0.0132505691118794,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0.0176905455251473,0,0.262700348453433,0,0.0236937802246757,0,0,0,0,0,0,0,0,0,0,0.0056503420501219,0,0,0,0,0,0,0,-0.0384705937538252,0,0.526892994958862,0,0,0,0.0586499339441076,0,-0.00576087272568104,0,0,0,0,-0.164737502264363,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0.0242057781614208,0,0.15757228645126,0,-0.0143425492676361,0,0,0,0.045238751564454,0,0,0.0445484153890994,0,0.0538359523111483,0,0.0234594100817633,0,0,0,0,0.0520219216819869,0,0,0,0,0,0,0,0,0.116338342524202,0,0.087993988023184,0,0,0,0,0,0,0,0.0388319758682163,0,0,0,0,-0.173994489328711,0.144035654690509,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.204123755399679,0,0,-0.0737994403555375,0,0,0,0,0,0,0,-0.0119782920969621,0,0,0,0,0,0,0,0,0,0.174271650466725,0,0,0,0,0,0.212585734199011,0,0,0,0,0.0777369646864053,0,0,0,0.0291479320956383,0,0.036777645151451,0,0,0,0,0,0.0128639251242934,0,0,0,0,0,0,0
X600660.SH,0,0,0,0.123907874087424,0,0,0,0,0,0.115598041005161,0,0,0,0,0,0,0,0,0,0,0.0372435388414171,0,0,0,0,0,-0.0838283345639021,0,-0.0833195631012779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037842709717663,0.0279956387132791,0,0,0,0.0473474180161681,0,0
X600547.SH,0,0,0,0,0,0.0205392914660954,0,0,0,0,0,0,0.0710574137897568,0,0,0,0,0.0332792118921806,-0.0125415215455462,0,0,0,0,0,-0.0862588400773871,0,0.0538296125467991,0,0,0,-0.142281401929949,0,0,0,0,0,0.0650941351257153,0,0,0,0,0,0,0,0.736468493755749,0,0,0,0.0329023340617167,0,0,-0.0318876453012816,0,0,0,0,-0.00480674950033253,0,0
