,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600795.SH,X600188.SH,X601600.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X600489.SH,X601992.SH,X600309.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000723.SZ,X000898.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600352.SH,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X000959.SZ,X600176.SH,X002470.SZ,X600021.SH,X000630.SZ,X000060.SZ,X000012.SZ,X002460.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987648687849011,0,0.183721008514495,0,0,0,0,0,0.161221136292639,0,0,0,0,0,0,0,0,0,0.110161292381683,0,0,0,0.148797671740986,0.0205411927825166,0,0,0,0.0355487168473331,0.0436766575558562,0,0,-0.0665918159859649,-5.42101086242752e-20,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.0827061638281756,0,0,0,0,0,0,0,0,0.0181820299898804,0.248157646817242,0,0,0,0,0,0,0,0,0.0447578066646318,0,0,0,0,0.250150318935907,-0.0383392000345537,0,0,0.332962363595987,0,0,0,0,0,0.165362759068496,0,0.0096112450237752,0,0,-0.0598983776079841,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0166596860672259,0,0.0011052641723038,0,0,0,0,0.115100445370383,0,0.0417781768362312,0,0,0,-0.125517215771555,0.0118958222145696,0,0,0,-0.0718069523439759,0,0,0,0.0912715093485596,0,0,0,0,0.102687906438566,0,0,0.107731421441871,0,0,0,0,0,0,-0.0278780534171145,0.0728110321650253,0,0,-0.0393564934088176,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0.0687043830245601,0,0,0,0.138091149738019,0,0,0,0,0,0,0,0,-0.0694508764287171,0,0,0,0,0,0,0,0,0,0,0,0,0.0703668859036054,0,0,0,0.0759946592135578,0,0,0,0.0196238521502084,0,0,0,0,0,0,0.0622002165203917,0,0,0,0,0,0,0,0,0,0
X000408.SZ,0,0,3.46944695195361e-18,0,0,-0.146903060213617,0,0,0,0,0,0.0309770846959383,0,0.081941831623683,0,0,0,0,0,0,-0.107354086646127,0,0,0,0,0.351066544796464,0,0.236339849585879,-0.00915964976434258,0,0,0,0.179126210620743,0,-0.170600374644257,0,0,0,0,0,0,0,0,-0.11500420286006,0,0,0,0,0,0,0,-0.0892364038019115,0,0.231578866638951,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280788201674785,0,0,0,0,0.0752078655798664,0.191408253257637,0,0.101290250920335,0,0,0,0,0,0,0,0,0,0.0328255512894325,0.0812381493862332,0,0,0,0,0,0.106006605720431,0,0,-8.67361737988404e-19,-0.0663145401168337,0.0693987831485565,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0.0441038623589714,0,0,0.0655072905618099,0,0,0,0,0.0185521656516955,0,0,0,0.00970825008978336,0,0,0,0.0203048950940267,0.0909483592131918,0,0,0,0,1.73472347597681e-18,0.0396876168002007,0,0,0,0,0,0,0,0,0,0.00476005212561979,0,0,0,0,0.0547183717773269,0,0,0,0,0.00333638059146414,0,0,-0.0139287342695785,-0.0224043163676369,0,0,0,0,0,0
X600352.SH,0,0,0,0.1481628758944,0,0.100923095863018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102964452041848,0,0,0.0618190124077367,0,0.0937205204536428,0,0,0,0,0,0,0,0,0,0,0,0,0.126984134368211,0.0223313948800681,0,0,0,0.0337208237306118,0.0392129695047333,0,0,0.241980742726668,0,0.0202037522597073,0,0,-0.000841058623857822,0.00993058132856119,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0.424528212778987,0,0,0,0,0,0,0,0,0,0,0.118382533883015,0,0,0.030342965523937,-3.46944695195361e-18,-6.93889390390723e-18,0.148573124590877,0,0,0,0,-0.0198684091182341,0,0,0,0,0,0,0,0,0,0.160090131991313,0,0,0,0,0,0.230531759719049,0,0,0.00718825416301554,-0.0662139033987051,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295264171876631,0,0,0,0.389363429500649,0,0,0,0,0.0808795824620847,0.0493606240540182,0,0,0.485807817404273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251110809218616,0,0.143728746967341,0,0,-0.0171414913247515,0.00735122234966871,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0.151585036938391,-0.00178564069608249,0,0,0,0,0,0,0,0,0,0,0,0.0473989580751912,0.115518085272739,0,0.0102537594356696,0,0,0.00731487569511722,0,0,0,0,0,0,0,0,0,0,0.034103557115406,0,0,0,0,0.0808291609628117,0,0,0,0,0,0,0,-0.0186615982541,0,0,0,0,0,0,0
