,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600188.SH,X600157.SH,X600111.SH,X600362.SH,X601992.SH,X600886.SH,X600547.SH,X002466.SZ,X600299.SH,X600660.SH,X600309.SH,X000709.SZ,X600489.SH,X601158.SH,X000792.SZ,X600583.SH,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000983.SZ,X000027.SZ,X000630.SZ,X000723.SZ,X000629.SZ,X600549.SH,X002470.SZ,X002460.SZ,X000012.SZ,X600176.SH,X000060.SZ,X600021.SH,X002407.SZ,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759468427178855,0,0,0,0,0,0,0,0,0,0,0.122662293512067,0,0.107151012729026,0.00891903954900894,0,0,0,0.0167432758923322,0.0720111899855899,0,0,-0.0440969433209919,0,0.199168626838239,0,1.73472347597681e-18,0.232791541611486,0,0.0481003713749497,0.0326240848966331,0,0,0,-0.0230858706593288,0.0418853929733111,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.189125742036829,0,0,0,0,0,0,0,0.0474292072191652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.00453952547413592,0,0,0,0,0,0.0118972266307905,0.0738845867546876,0,0,6.93889390390723e-18,0.401314527045173,0,0,0.0418628795057215,0.0448043115927664,0,0,0,0.0471353672604953,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.0326510399593589,0.177851680486609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449675763215286,0,0.124705829569472,0,0,0,0,0,0,0.0333079228639327,0,0,0.0191973976139571,0,0.292830039795866,0,8.67361737988404e-19,0,0.130311215812496,0,0,0.0477543271853262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0205943562934436,0,0,0.127994149655539,0,0,0,0,0.00400484570163337,0,0,0,0,0,0.0240531687797233,0.398957304407935,0,0,0,0,0,0,0,0,0,0,0.0529690354239322,0,0,0,0,-1.38777878078145e-17,0,0,0,0.112824561218193,0,0,0,-0.008276404320862,0.0290670654618588,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.160674263801086,0.0168577823720604,0.0709138413955945,0,0,0.0470517469365412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041570854752331,0,0,0,0,0.312423539443425,0,0,0,0,0,0,0,0.0926274926938052,0.0957157878284852,0,0.149278608366279,0,0,0,0,0,-0.0304245806524734,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.14908387605852,0,0,0,0,0,0,0,0,0.0414466499961432,0,0.0755234870968642,0,0,0,0,0,0,0,0,0.411123106057706,0,0,0,0,0,0.083381543329772,0,0,0,0,0,0,0.0611679683669812,0,0,0,0,0,0,0.0491599913567244,0,0.0446701236852086,0,0,0,0.0647276050747767,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.011368900725494,0,0,0,0,0,0,0,0,0,0.13428000548829,0,0,0,0,0,0,0.0986567994464316,0,0.00846539992612922,0,0,0,0,0.354494237716653,0,0.0163562456485829,0,0.0129514709884551,0,0.0691542022343503,0,0,0.0923443475440612,0.0314827284376901,-3.46944695195361e-18,0,0,0,0.0289031158609004,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558816593375171,0,0,0,0,0,0,0.15841560121661,0,0.105799633725882,0,0,0,0,0.281916789337092,0,0.0374185395695401,0.0594597383533612,0.00705500588770859,0,0.00201906729048752,0,0,0,0,0.093532265567887,0,0,0,0.0200625129688683,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.106255477203085,0,0.127441440946187,0,0,0,0,0,0,0,0,0,0.382105923377882,0.542704576294302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314030664259902,0.0669520274138981,0,0.09255543232979,0,0,0.0309989995051899,0,0,0,0,3.46944695195361e-18,-0.0398575278124213,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055815113097873,0,0,0.0885240931111521,0,0,0,0,0,0.0135395679072091,0,0,0,0,0,0,0,0.139962177302689,0,0.131746223791044,0,0.0539857314288102,0.38211235480124,0,0,0,0,0,0,0,0.0198728280430377,0,0,0,2.16840434497101e-19,0,0,0.081105347675766,0,0,0,0,0,0,0,0,0
