,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600547.SH,X600362.SH,X600188.SH,X600688.SH,X601600.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600489.SH,X600886.SH,X600660.SH,X600309.SH,X000723.SZ,X600623.SH,X601158.SH,X000792.SZ,X002466.SZ,X600299.SH,X000959.SZ,X002075.SZ,X000898.SZ,X000709.SZ,X000983.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600549.SH,X000630.SZ,X600352.SH,X000937.SZ,X601699.SH,X600176.SH,X000060.SZ,X000539.SZ,X000027.SZ,X000935.SZ,X002092.SZ,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000983.SZ,0,0.0220796125456027,0,0,0,0,0,0,0,0,0.326073701260744,0,0,0,0,0,0,0,-0.0565542977310407,0,-0.0807542305850106,0,0,-0.0174003479676603,-0.0180981962937764,0,-0.0936916076695164,0,0,0,-0.0148791741148769,0,0,0,0,0,0,0,0,0,0,0.080018390302062,0.524929887343466,0.0738849653012788,0,0,0,0,0,0,0,0,-0.00405195571100497,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0.0855936059577083,0,0,0,0,0,-0.0852561458342008,0,0,0,0,0,0,0.340926830985116,0.128009788598719,0,0,0.0708356932028081,0,0,0,0,0,0,0.0229111161911532,0,0,0,0,0,0,0,0,0,0.0705030180449645,0,0,0,0,0.040931706939534,-0.0666956985518821,0.0514570879750075,0,-0.122225185668944,0.0186831083252746,0.092217270048928,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238206491116063,0,0,0,0.143877018624597,0,0,0,0.142390558505108,0,-0.00961330541801405,0.0865527100193436,0,0,0,0,0,0,0.0469359043087665,0,0,0,0,0.0514646178541644,-3.46944695195361e-18,0,0,-0.0343880316778707,0.0613305502196251,0.2372814367667,0,0.0929523485257323,-0.107304405882982,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0.00151332800139126,0,0,0,0,0,0,0,0,0,0.0123395207790833,0,0,0,0,0.0182242187916699,0,0.0491301203480689,0.018283659049421,0.126746868389689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718139983867784,0,0,0.00793533007261561,0,0,0,0,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0.239359028158841,0,0.0464488482687134,0,0,0,0,0,0,0,0.00797292213016833,0.267307732514456,0,0,0,0,0,0,0,0,0,0.366642883734095,0.0195434433635658,0,0,0,0,0.127821749142479,0,0,0,0,0,0,0.279071561879505,0.000351441286152546,0,0,0,-0.00551710223709055,0.310874941867763,0,0,0,0.0499768985978469,0,0,0,0,0,0
X000630.SZ,0,0,0.229403106814199,0,0,0,0,0,0,0.0680153690481975,0,0,0.409683721006462,0,-0.0719703353683823,0,0,0,-0.014410398904307,0,0,0,0,0,0.175030483065819,0.169085960739992,0.121599365292818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0693165205926095,0,0,0,0,-3.46944695195361e-18,0,0.113747715217952,0,-0.00400130342394011,-0.0930765262829485,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.106291567388004,0,0,0,0,0,0,0.008413938201996,0,0,0,0,0.249341542276817,0,0,0,0.149168994580283,0,0.0898928031121758,0,0,0,0,-0.000451549599870491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102812332966329,0,0,0,0,0,0,0,0,0,0
X000937.SZ,0,0,0.163272655187403,0,0,0,0,0.0801745213504773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863184176840803,0,0,0,0,0,0.284037124411134,0,0,0,0,0,0,0,0.547903211950739,0,0,0,-0.0588528431801838,0,0,0.121605994001007,0,0.00669275065066459,-0.0491077174373666,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.0152053731091852,0.0415105126274529,0,0,0,0,0.172191627509582,0,0,0,-0.0814252818324279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750332114661365,0,0.00708466330125654,0.010558910321536,0.223803295953715,0,0,0,0.0606542708347808,0,0,0.499399179048619,0,0,0,0,0,-0.00178148251576039,-0.0196102235748856,0,0,-0.0250981888902413,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0.0277481277031911,0,0.0450890097824171,0,0,0,0,0,0,0.0177573939540369,0,0,0,0,0,0,0,0.102090103492799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404054553304705,0,0.073272233959543,-3.46944695195361e-18,0.110056645613742,0,0,0,0,0,0.0607267469013673,0,0,-0.013329307967842,0,0,0,0,0,0,0
