,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601600.SH,X601991.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X600547.SH,X600516.SH,X601992.SH,X002466.SZ,X600111.SH,X600027.SH,X600176.SH,X600352.SH,X600299.SH,X600808.SH,X000709.SZ,X300072.SZ,X002110.SZ,X002460.SZ,X000553.SZ,X600801.SH,X000786.SZ,X600339.SH,X600583.SH,X000932.SZ,X600426.SH,X601158.SH,X000883.SZ,X000629.SZ,X000301.SZ,X600219.SH,X600489.SH,X000792.SZ,X601699.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0.0838344953840232,0,0,0,0,0,0,0,0,0,0,0,0,0.122819416906567,0,0,0,0.0971501795309238,0,0,0,0,0,0,0,0.130658496908735,0,0,0,0.0171237337190173,0,0,0.149686188632426,0,0,0,0,0,0.0998312670651093,0.0278254739580079,0,1.73472347597681e-18,0,0.0119010834571545,-0.00356421744486776,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0.0792302366375243,0,0,0,0,0,0,0,0,0,0.214446284439082,0,0,0,0,0,-0.0522786985609727,0,0,0,0.33538100278387,0,0,0.0242214331298355,0.220980488610533,0,0,0,0,0,0.0321979250042261,0,0,0,0,0,0,0.148555333240629,0,0,0,0,0,0,-0.00683237967452204,-0.03446751193245,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0.154270758879342,0,0,0,0,0,0,0,0,0,0.116020133598057,0,0,0.212382484640193,0,0,0,0,0,0.0193021736209117,0,0,0,0.205710927079746,0,0,0,0,0,0,0.153740433968424,0,0,0,0,0,0,0,0,0,0,0,0.00605109835017682,-0.00176279166062401,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0.333611160305377,0,0,0,0,0,0,0,0,0,0,0,0,0.102169075738281,0,0,0,0,0,0,0.0826206787981424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000805105967542818,0,0,0.0405411026024562,0.0613397366058644,0,0,0,0,-0.0240141488449375,0,0,0,0,0,0
X300072.SZ,0,0,0,-0.0927932836316223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191411283006517,0,-0.655031464339723,0,0,0.181436147955207,0,0,0,0,0,0,0,-0.0683621073560397,0.18711568992983,0,0,0.406529250664652,0,0,0,0,0,0,0.221480702191134,0,0.21638695822031,-0.572330310154213,-0.0686337687894365,-0.125970533975244,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0.447457117272699,-0.15888811225317,0,0,0,0,0,0,0,0.074516866948117,0,0,0,0,0,-0.00973490214894588,0,0,0,0,0,0,-0.111075420289465,0,0,0,0,0,0,0.249290893555585,0.0438818537841279,0,0,0.414715475923661,0,0,0,0.0236601684455577,-0.0337208283341987,0,0,0,0,0,0.0709665351034256,0.00369615635084116,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317971658644923,0.148661944821209,0.33935616917643,0,0,0,0.00643575997441145,0,0,0,0,0,0,0.111908631896519,0,0,0.036385479437491,0,0,0,0,0,0,0,0,0,0.0151055216335759,0,0.23038993556953,0,0.00197643585447261,-0.00865422223715056,0,0,0,0,0,0
X000553.SZ,0,0,0,0.045140527922371,0,0,0.106840333264986,0,0,0,0,0.127783201985265,0,0,0,0,0,0,-0.0123563595790154,0,0,0.263377839259008,0,0,0,0,0,0,0,0.0643964365047791,0,0,0,-4.33680868994202e-19,0,0,0,0,0.407517303266865,0,0,0,0,0,0,0,0,0,0,-0.0147682047109905,-0.0413016445472936,0,0,0,0,0,0
X600801.SH,0,0,0.0464421201770438,0.287034893937739,0,0.0783357396270953,0,0,0,0,0,-0.0692721437399362,0,0,0,0,0,0,0.212227845854652,0,0,0,0,0,0,0,0,0.112696575633514,0,-0.176061042408673,0,0,0,0,0.220621390562245,-0.0296590887373779,0,0.0133745099082266,0.114468368406665,0,0,0,0,0,0,0,0,0,0,-0.00532457713389051,0.0205603213271851,0,0,0,0,0,0
X000786.SZ,-0.256826699329656,0,0,0.494119136891916,0,0,0,0,0,0,0,0,0,0.287552792971691,0,0,0,0,0,0,0,0,0,0.346755948156878,0.104957519816802,0.156525555454146,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.094988187021861,0,0,0,0,0.0114034924790834,0,0,0,0,-0.0550758513406996,0,0.043727475643678,0.0355743829855549,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,-0.00754123790984093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208811786576299,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.17484161631676,0,0,0,0,0,0,0.640319957483672,0,0,0,0,0,0.00600234708213791,0,0,0,0.0847774415128217,0,0,-0.0132690731779558,-0.0177903751703503,0,0,0,0,0,0
X600583.SH,0.00475768115079351,0,0,0,0,0,0,0.0969191797886335,0,0,0,0.020663744095268,0,0,0,0,0,0,0.106334563201709,0,0,0.0830783403729513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267662719816646,0,0,0,0,0,0,0,0.101508554814504,0,0.119089697127147,0,0,0,0.0105523256570816,0.0166900167544519,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0.0937352327772773,0,0,0,0,0,0,0,0,0.100988410252911,0,0,0,0,0,0.037956415869418,0,0,0,0,0,0,0,0.0526852177775185,0,0,0.489649433319623,0,0,0.0122440203684237,0.0496619728892183,0.0262878016329655,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00201044430655659,-0.00769718397606139,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0.0493697923372141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188959542051969,-6.93889390390723e-18,0,0,0,0.214515207679264,0,0,0,0,0,0,0,0,0,0,0.0603116621990301,0,0,0,0,0,0,0.230426702283195,0,0,0,0,0.170419112735335,-0.0544774945533206,0,-0.00381734891476923,0,0,0,0,0,0
