,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X601600.SH,X600688.SH,X600188.SH,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600157.SH,X600027.SH,X002460.SZ,X600516.SH,X000898.SZ,X000959.SZ,X600339.SH,X600489.SH,X601158.SH,X600808.SH,X002092.SZ,X002271.SZ,X600352.SH,X600219.SH,X000883.SZ,X600176.SH,X000983.SZ,X000630.SZ,X000723.SZ,X600299.SH,X600578.SH,X600549.SH,X000792.SZ,X600008.SH,X000408.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0.0422891487352318,0,0,0,0,0,0,0,0,0,0,0,0.0996309844543342,0,0,0.0646484270052876,0,0,0,0,0.156602799847153,0,-0.0397867125591671,0,0,0,0,0,0,-0.00572894319051501,0.0754274614645542,0,0,0,0,0,0,0,0,0,0,0,-0.0336643424647655,0,0,0,0.0089747125891049,-0.0155312930486603,-0.0673247322074314,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.274049754919986,0,0,0,0,0,0,0,0,0,0,0,0.0770192475173548,0,0.116795351264228,0,0,0,0,0,0.107760425135331,0.150482350338617,0,-0.0158120357561222,0,0.219220811277448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13862063167126,0,0,0,0,0,-0.0231239244951781,0.0399167105369712,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0.0596329603273363,0,0.116121854158838,0,0,0.446589271004639,0,0,0.0593377880630277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523308565433642,0,0,0,0,0,0.024067517209614,0,0,0,0,0,0,0.104925804979449,0,0,0,0.00538484216603965,-0.0209690596136472,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583838355371483,0,0,0.0286522800021274,0,0,0,0.215990978837471,0.0970345317482156,0,0,-0.0422296868119674,0,0,0,0,0.0277688334091101,0,0.00375241397581693,0.0502019422785636,0,0,0,0,0,0,0,0.118890621150828,0.0394327405496567,0,0.0137332497875999,0,0,0,0,0,-0.00969600507274345,0.0036296097941811,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.17638083423983,0,0,0.26571910023307,0,0,0,0,0,0,0,0.11108031347123,0,-0.0510764235624753,0,0,0.0235003494491893,0,0,-0.140953414967195,-0.0288040193133877,0,0.190273409596019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369814981082493,0,0,0,0,0,-0.0209157663780329,0,0,0,0,-0.0140628921120502,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875247628853239,-0.0877261834639268,0,0,0,0.16695468822062,0,0,0,0,0,0,0,0.097616567007066,0,0,0.158942352088837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432673862119699,0.0267930861136324,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828326350048967,0,0,0,0.0137374315946026,-0.159196752485972,0,0,0,0,0,0,0.207599735789634,0,0.284595120658532,0,0,0,0,0.0518870142227061,0,0,0,0,0,0.0152781661198969,0,0,0,0,0,0,0.215486811472841,0,0,0,0,0.00933184468288037,0.0789783503070195,0,0,0,0,0,0
X000898.SZ,0,0,0,0.117737847329314,0,0,0,0,0.185305880065797,0.0756272482908479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492601743782163,0,0.0142423094052993,0.0756859696928852,0,0,0.224984612858677,0,0,0,0,0,0,0,0,0,0,0,0.0312975426992931,0.0189813166316133,0,0.0278081242080383,0,0,-0.0114113213528681,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186607886595106,0,-0.00282933437387582,0.0851244902899941,0.0093792900078195,0,0,0,0.305952698526202,0,0,0,0.104070713282318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190029567110758,0,0,0.0203137946248757,0,0,0,0,-0.0131061127378689,-0.00670308537060699,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,-0.11963842091788,0,0,0,0,-0.201954495727012,0,0,0,0,0,0,0,0,0.0460145023955164,0,0,0,0,0,0,-0.145553308615873,0,0,0,0,0,0.51840430072074,0,0,0,0,0,0,0,0,0,0,0,0.131067979110248,0,0.329895245030183,0.208742652787333,0,0,-0.017203205217997,-0.0378850628390392,0,0,0,0.489043349600522,0,0
