,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X600111.SH,X000786.SZ,X600010.SH,X600188.SH,X600886.SH,X600176.SH,X600011.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X600489.SH,X600795.SH,X600219.SH,X600352.SH,X000807.SZ,X600801.SH,X000932.SZ,X600315.SH,X000898.SZ,X600688.SH,X000408.SZ,X000825.SZ,X002080.SZ,X002353.SZ,X600157.SH,X600486.SH,X000959.SZ,X300037.SZ,X002409.SZ,X601699.SH,X000830.SZ,X000883.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0.125286592408737,0,0,0,0,0,0,0,0,0.0239730330724202,0,0,0,0,0.0861751015905361,0,0,0,0.370453351019062,-0.159786713109984,0,0,0,0,0,0,0,0,0.105827282001414,0,0,0,0,0,0.570904109479312,0,0,0.011841448259467,0,0,0.0479126434548362,0,0,0,0,0,0,0,0,0,0,0.0260980391740996,0,0
X600011.SH,0,0,0,0,0,0,0.0298625319145337,0,0,0,-0.062716717291755,0,0,-0.0515510756049328,0,0,0,0,0,0,0,0,0,0,0,0.25778463720743,0,0,0.0365190264149872,0,0,0.0272638072494309,0,0.0429888891217532,0,0,0,0,0,0,0,0.0902890452873371,0,0,0,0.00110496963731574,0,0,0,0.150305105372096,0,0,0.0191612990318892,0,0,0,-0.026848201434184,0,0
X600426.SH,0,0,0,0.195073708225037,0,0,0,0.0377725106405511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149134090732425,0,0,0,-0.0888201557616463,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0601592634357312,0,0,0,0,0,0,0,0,0.0874326864620243,0.290560667063108,0,0,0,0,0.0222756325956394,0,0,0,-0.0421022066020326,0,0
X000027.SZ,0,0,0,0,0,0.324502052338195,0,0,0,0,-0.0637026173568314,0.23364898996945,0,0,0,0,0.287686587170252,0,0,0,0,-0.151689593987949,0,0,0,0.768430426389669,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273304641846441,0,0,0,0,0.0984209228706368,0,0,0,0,0.131679383323488,0,0,0,0.0433626987114044,0,0,0,-0.0734733536234375,0,0
X601991.SH,0,0,0,0,0,0,0,0,-0.0341510872196235,0,0,0,0,0,0,0,0,0,0,0.0260810903036461,0,0,0,0,0.34801934461823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0572538447450612,0,-0.0364373479014798,0,0.012801442206031,0,-0.112023930065245,0,0,0.0270870035540834,0,0,0,0,-0.0428574332743531,0,0
X600803.SH,0,0,0,0,0,0,0,0,0.225721409618664,0,0,0,0,0,0,0.0619872073036338,0,0,0,0,0,0,0,0,-0.0116338312238119,0,0,-0.0861730522753505,0,0,0,0.118069773058499,0,-0.0117990275601471,0,0,0,0.0217701838561836,0.0361480347738355,0.220685171287251,0,0,0,-0.103627872148343,0,0,0,0,0.0905677136752281,0,0,0,0.0223763635902989,0,0,0,0.00994149369194938,0,0
X600489.SH,0,0,0,0,0,0,0,0.118828807052862,0,0,0,0.607282367219448,0,0,0.0186499047405506,0.146595856593835,0,0.0319110351102824,0.0126663886752589,0,0,0,0,0,0,0,0,0,0,0,0,-0.00186919565909119,0,0,0.000653600254286582,0,0,0,0,-0.0299605824337625,0,0,0,0,0,-0.157763547461512,0,0.095940719131666,0.0526726510582338,0,0,0.00154999983651525,0,0,0,0,0.00765138605189388,0,0
X600795.SH,0,0,0,0,0,-0.00875060427173124,0,0,0,-0.0753424178977882,0,0,0,0,0,0,0,0,0,0,0,0,0.313987975148014,0.091445251558328,0.0179419768913889,0.0717261752151765,0,0,0,0,0,0.13838097910936,0,0,0,0,0,-0.0557252794591749,-0.0110768336579343,0,0,0,0,0,0,0,0,0,0.0952474850649046,0,0,0,0,0,0,0,-0.00161697770317237,0,0
X600219.SH,0,0,0,0,0,0.0844108079309284,0,0,0,0,0,0,0.156378102634987,0,0,0,0,0,0,-0.175613853285883,0,0,0,0,0,0,0,0,0,0,0,0.496650809889328,0,0,0,0.0496516486840033,0,0,0,0,0,0.148850803478095,0.0775766395303014,0,0,0,3.46944695195361e-18,0.0120611497681965,0.0256418572145105,0,0,0,-0.0542379265415426,0,0,0,-0.0204651686859098,0,0
X600352.SH,0,0,0,0,0,-0.0965531217235561,0,0,0,-0.142248656887702,-0.0271252197012643,0.0957186837212674,0.0270393743823453,0,0,0,0,0.131737421729777,0,0.0659238017825524,0,0,0,0,0,-0.0835207735650799,0.112337531126859,0,0,0,0,0.0471359506502654,0,0,0,0,0,0,0,0,0.14692449284288,0,0,0,0,0,0,0.176262542070939,0,0,0,0,0,0,0,0,-0.0340171877251656,0,0
