,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X002466.SZ,X600516.SH,X600547.SH,X600027.SH,X600111.SH,X601992.SH,X300072.SZ,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X000932.SZ,X600808.SH,X000709.SZ,X000786.SZ,X600426.SH,X600801.SH,X000883.SZ,X601158.SH,X600339.SH,X600219.SH,X601699.SH,X600583.SH,X600985.SH,X000830.SZ,X000408.SZ,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,0,0,0,-0.034517993365725,0,0,-0.0209712788596884,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106069922487516,0.12763428931847,0,0.00698896471176807,0,0,0,0,0,0,-0.0127005998100559,0,0,0,0,0,0.1411776252162,0,0.230873484824753,0,-3.46944695195361e-18,0.144751105134616,0,0,0,0.00653346703702332,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,-0.0459370883952502,0.381277707910092,0.0338273000761265,0,0,0,0,0,0,0,0.58532284539717,0,0,0,-0.105311564747238,0,0,0,0.118236469486376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.0267133008889313,0,0,0.00123214477012367,0.0160112206955103,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147533510393935,0,0,0,0,0,0,0,0,0,0.0568256572778992,0,0,0,0.0110468488494477,0,0,0,0,0,0,0,0,0,0,0,0.0526706953603665,0,0,0.0409196628122373,0.01517003900369,0.169517529782626,0,0.0314208390104116,0,0,0,-0.0070994956991633,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.212485445422799,0,0,0,0,0,0,0,0,0,0,0,0.198241304229609,0,0.0533906108325038,0,0,0,0,0.120442560251696,0,0.0726306283255794,0,0,0,0,0,0,0,0,0,0,0.0769151289817641,0,0,0,0.0889889196939299,0,0.0799561682281244,0,0,0,0,-0.0164823105461741,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,-0.203315294135415,0,0,0,0,0,0,-0.445401730543548,0,0,0,0,0,0,0,0.41595521498901,-0.108480357416168,0,0.50442276181145,0,0,-0.177205377240732,0,0.578418652295955,0,0,0,0,0,-0.076738875565763,0.0998940841056823,0,0.369484213192609,0,0.199396170419709,0,0,0,0,0,0,0.132034535037632,0,0,-0.0118216901270256,-0.0116345922996529,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0.0339390650337351,-0.040650315558679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335356981085828,0,0,0,0,0,0,0.0836073761313185,0.0901696542113373,0,0,0,0,0,0,0,0,0,0.0934865218779231,0,0,0,0.0105084865961785,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337264478355517,0.285189056202013,0,0,0,0.14491058680419,-0.0544187720290648,0.00951162478244066,0,0.194977175030171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180525663439258,0,0,0,0.00939352897731227,-0.0077647252107529,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0.0575056284605172,0,0,0.128936639078013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224495474283858,0,0,0,0,0,0,0,0,0.000527540298317699,0.045883849086042,0,0,0.0993576497467398,0,0,0,0,0.391191068702105,0.0129509836272503,0,0,0,0.0135466757632097,0.0147809253278488,0,0,0,0,0,0
X000553.SZ,0,0,0,0.116776052713024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140724977968844,0,0,0.188841915172097,0,0,0,0.393507917651878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368016766027921,0.182974061548495,0,0,0,0,0.00427645252567649,-0.00752565428086889,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0.328089620353013,0,0,0,0,0,0,0,0.252490831332275,0,0,0,0,0,0,0,0,-0.190166343131812,0,0,0,0,0,0,0,0,0,0.292869035734237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151644785025596,0,0,0.00255009475670936,0.0159941472738562,0,0,0,0,0,0
