,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X600176.SH,X601991.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X600157.SH,X002353.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0.0693499091762353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996640843185961,0.0050262582867433,0,0.391630627382405,0,0,0,0,0.00878693653911758,0,0.207954368717176,0.299376020659344,0,0,0.127754725134587,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0294218155015022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224157679596218,0,0,0,0,0,0,0,0,0.145670011605895,0.0656458425333682,0.025857825192774,0,0,0,0,0.0333271864809509,0,0,0.00181975986378206,0,0,0,0.106862500312355,0,-0.136385286332315,-0.0269384150728075,0.0497126968655951,0,0,0,0,0,0
X600886.SH,0,0.21479968867495,0,0,0,5.42101086242752e-20,-0.00890639327383294,0.301960752022769,0,0,0,0,0,0,-0.101080456999977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2837093572388,0.139663117346957,0,0,0,0,0,0,0,0,0,0.0183837116881857,0,0,-0.04028311425126,0,0,0,0,0,0,0,0,0,0.011540207604836,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.00317468129987923,0,0.0570427165054445,0,0,0,0,0,0,0.0942897684165495,0.240553234567565,0,0,-1.73472347597681e-18,0.0368532306291398,0.049396720816468,0,0,0,0,0.0604754776658982,0.0741802978384823,0,0,0,0,0,0,0.188021822011988,0,0,0.134297519947232,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0673830278530465,0.00013524861869569,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.00520323366204369,0,0,0.85660119681114,0,0,0.109288138494397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00352032385380705,0,0,0,0,0,0,0,0,0,0,-0.0387944394057318,0,0,0,0,0,0.178286196619775,0.00647980643198225,-0.0327093097724628,-0.26303954565545,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735539043864588,0,0.080615402728536,0,0,0,-0.0493788034021793,0,0,0,0,0.146197900488362,0,0,0.02652140404432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106082212738679,0,0.0746016715999282,0,0,0,0.028898032903841,0,0,-0.00379472034411895,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.00667942757574096,0,0,0,0,0.304730478075949,0,0,0,0,0.0728640887205114,0,0,0,0,0,0,0.103310823198588,0.223034688408939,0,0,0,0,0,0,0,0,0,0,0,0,0.0780917987402078,3.46944695195361e-18,0,0,0.087870974224092,0,0,0.0146536038638913,0,0,-0.0359814646013532,0.0725055291790563,0,0,0,0.0297898705301194,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401267060467881,0.461608712755154,0,0.0635706222771053,0,0.0840823544265216,0,0,0,0,0,0,0,0,0,0,0.0416163685321915,0,0.0539660444837984,0,0,0,0,0,0,0,0,0,0,0,0.00813217446039346,0,0.0361249323254433,0.000287476784389749,0,0,0.0133694543535109,-0.00820455862101305,0,0,0,0.0246834576891749,0,0
X000708.SZ,0.343956325049921,0,0,0,0,0.0531602467213159,0,0.0674521389483982,0,0,0,0,0,0,0.235657037918515,0,0,0,0,0,0.0346338851883144,0,0,0,0,0,-3.46944695195361e-18,0.0427250957467813,0,0,0,0,0,0,-0.265604915661134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115050642948273,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14024340381725,0,0.0993738211308371,0,0,0,0,0,0,0.0626645021487093,0,0.180696494358204,0,0,0,0,0,0,0,0,-0.00630291754113575,0,0,0,0,0,0,0,0,0,0.132590621298918,0,0,0,0.113361947695617,0,0.0298068125367955,0,-0.0133092842666746,0.0246887156580146,0,0,0,0,0
