,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X600111.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X600489.SH,X000709.SZ,X601158.SH,X000792.SZ,X600352.SH,X002466.SZ,X600583.SH,X600309.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000629.SZ,X000630.SZ,X000027.SZ,X002075.SZ,X000959.SZ,X000060.SZ,X000983.SZ,X600021.SH,X300072.SZ,X002470.SZ,X600022.SH,X600176.SH,X601699.SH,X600578.SH,X600315.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601699.SH,0,0,0.0666366472217498,0,0,0,0,0,0,0,0,0,0,0,0.181651033358427,0,0,0,0,0,0,0.0487633280684703,0,0,0.380833896136569,0,0,0.0811315292943457,0,0,0,0.100399540025494,0,0,0,0,0,-0.0275301720977115,0.013488916690063,0,0.381768549923308,0,0,0,0,-0.275827580880602,0,0,0,0,0,0,-0.0303450191844186,0,0,0,0,0,0
X600578.SH,0,0,0,0,0.0196589886703561,0,0,0,0,0,0,0,0,0,-0.0306124932547965,0,0.192428652659255,0,0,0.237408751554369,0,0,0,0,0,0,-0.0405300314011083,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0567984888281985,0,0,-0.0773259896280463,-0.181750856767635,0,0.257349104796444,0,0,0,0,0,0,0,-0.119082859231495,-0.0439495219737156,0,0,0,0,0,0
X600315.SH,0,0,0.00527409808017626,0,0,0.016906541371915,0,0.0504161135561355,0,0,0,0,0,0,0,0.095963034544488,0,0,0.130392807316186,0,0,0,0,0,0,0,0.146033863044184,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0560296574618205,0,0,0,0.0790773357545992,0,0.020816188031949,0.026678140520901,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304018377227487,0.178312491898491,0,0,0,0,0,0.0109079027764147,0,0.064163114998172,0.31835508039954,0,0,0.0812666137954482,0,8.67361737988404e-19,0,0,0,0,0,0,0.0940222113474898,0,0.130323740383515,0,0.00921830317483097,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229009632678769,-2.16840434497101e-19,0.0732098384497829,0,0,0,0.100641882395213,-0.183322886898137,0,0,0,0,0,0,0,-0.0326884435827532,0,0,0.0131495150114343,0,0,0,0,0,0.038112587360285,-0.025584532583651,-0.108874890617206,-0.127821806583463,0,-0.0269593274043078,0,0,0,0,0,0,0,0,-0.0273255230525293,0.00961438383652865,0,0,0,0,0,0
Slope,0,0,0,0,0,-0.192790525767985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339105644725776,0,0,0,0,0,0,0.0214311040173651,-0.478380608539307,0,0,0,0,0,0.377792327973043,0,0,0,0,0,0,0,-0.0189613033289617,0,0,0,0,0,0,0,0,0,0.702566526341284,0,0.100585047794229,0,0,0.663933083873529,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299851385043691,0,0,0,0,0,0,0,0,0,0,0,0.136041470312814,0,0,0.388747950306376,0,0.199491157402719,0,0,0,0,0,0.334177827724815,0,-0.0691015065682273,0,0,0,2.65453548498704,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341179986861744,-0.0612014325123956,0,0,0,0,0,0,0,0,0,0,-0.110481662324452,0,0,0,0,0,0.00421163710734772,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0651867700779039,0,0,0.182477052094589,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0197498838503795,0,0,0,0.0244252271921173,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.038389806495038,0,0,0,0,0,0,0,-0.176201676902151,0,0,0,-0.133083801925076,0,0,0,0,0.055096644866809,0.0130985440159573,0.839654863415989,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416565789764624,0,0,0,0,0.0026986185140297,0,0,0,0,0,0,0,0,0.00343343652369026,0,0,0,0,0,0,0,0,0,-0.00637090782550034,0.00345814922088592,0,0,0,0,0,0.00451433218956817,0,0,0,0,0,0.0200110960593515,0,0,0,0,0,0.0359848125383856,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199350212055755,0,0,0,0,0,0,0,0,-0.0016740855849611,0,0,0,0,0,0,0,-0.0105822210589703,0,0,0,0,-0.0137889559553776,0,0,0,0,-0.00238659181527762,0,0,0,0,0,-0.0204876134474838,0,0,0.0106956484037116,-0.0292458640217235,0,0,0,0,0.0875027734398425,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.000268570210190705,0,0,0,0,0,0.0274732329628917,0,0,0,0,0.0181706259189195,0,0.00993097809884492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615649382669257,0.0458869166368607,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0.0078866090262396,0,0,0,0.00239496045648344,0,0,0,0,0,0,0,0,0,-0.00461785409340412,0,-0.000101679305400143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111973024616135,0,-0.0179096691647739,0,0.0041946159887094,0,0,0,0.00822828688536315,0,0,0,0,-0.00145489484296483,0.00161547721293158,-0.00185508424385068,0,0,0,0,0,0
