,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600011.SH,X600585.SH,X600188.SH,X002460.SZ,X600547.SH,X601898.SH,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X600489.SH,X000807.SZ,X601699.SH,X000983.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000408.SZ,X600219.SH,X000539.SZ,X000629.SZ,X600378.SH,X300037.SZ,X002080.SZ,X000723.SZ,X600688.SH,X600995.SH,X000933.SZ,X000630.SZ,X600157.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,-0.205972164002145,0,-0.0983447704867132,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0271757504441744,0.189567168964507,0,0,0,0,0.12465174799616,0,0.282935678540279,0,0,0,0,0,0,-0.0458080346096385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025295711844501,-0.101934739667889,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0.0817841401381071,0,0.0714902633130222,0,0.0665526736639228,0,0,0,0.642751608008954,0,0,0,0.0744075080223421,0,0,0.0252077654626745,0,0,0,0,0,0,0.114333848791328,0,0.11708495404283,0,0.0632956574501402,0,0,0,0,0,0,0,0,0,0,0,0,0.102136566950075,0,0,0,0,-0.0567716595614557,-0.0551560148443887,-0.277773781943048,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.739942922927267,0,-0.0764335849415074,0,0.0615551882414537,0,0.103058117227909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39362749457681,0,0,0,0,0.0103795708805479,0,0,0,0,0.142445027097171,0,0,0.0707099616077089,0,0,0,0,0.0532929832194222,0,0,0,0,0.00154689567519115,0.0981176512093298,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,-0.0108955833336682,0,0,0,0,0,0,0.145857759027754,0,0,0,0,0.154489504216051,0,0,0,0,0,0,0.333931908629141,0,0,0,-0.103412937847006,0,0,0,0,0,0,0.0977382789052371,-0.240150923537722,0,0,0,0.0479693864663057,0,0,0,0,0.0204224757164649,0,0,0,-0.00961324431530336,0,0,0,0,0,0
X600489.SH,0,-0.0507980883423109,0,0,0,0,0,0,0,0.674100942853025,0,0.0725594035530827,0,0,0,0,0,0,0,0,0,0.022699023123369,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0185691017569634,0,0.0356573417017155,0,0,0,0.0287542295779186,0,0.0703867784699835,0.0156274169371685,0,0,0,0,0,0,0,0.111689280297862,0,0.00655933583521183,0.0237676238073025,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,-0.0479284620837258,0,0,0,0,0,0.499995429311432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164392061002384,0,0,0,0,-0.0862355559970467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190581469211222,0.344115672135915,0,0.261873169580693,0,-0.0144557955518407,0,0,0,0,0,0,0
X601699.SH,0.0212741817243022,0.117816968785584,0,0,0.0292381311342706,0,-0.420578054471528,0.0605908000865438,0.0305856029400292,0,0.117187369095273,0,0,0,0,0,0,0,-0.0928686712029224,0,0,0,0,0,0,0,0,0,0,0,0.337726215999111,0,0,0,0,0,0,0,-0.0844001859187705,0,0,0,0,0,0,0,0,0,0,0.138676234049888,0,-0.0454294711337228,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,-8.67361737988404e-19,0.128008799501815,0,0.0395471883181687,0,0,0,0,0.0366131988670639,0,0,0,0,0.027258762529093,0,0,0,0,0,0,0,0,0.0930250464185625,0,0,0,0,0,0.117256690334762,0,0,0,0.00901734080844934,0,0,0,0,0,0,0.2138676755462,0,0,0,0,-0.00832101897798206,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0.167323667176977,-0.0160700497986483,0,0.126072341396737,0,0.108090305221028,0,0,0,0,0.0271251669213506,0,0,0.320281689278382,0,0,0,0,0,0.0684819243558552,0,0,0,0,0,0,0,0,0.125902837058207,0,-0.0608577372535101,0,0.000749012866803181,0,0,0,0,0,0.00598722595908064,0,0,0,0.0650073284581641,0.0658045954261567,-0.11057533652668,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0,0,0,0,-0.303709944930188,0,0.0756418155733586,0,0.0688896758385747,0,0,0,3.46944695195361e-18,0,0.0318065938250844,0.086167465053874,0,0,0,0.0737964618056899,0,0,0,0,0,0.280922502527075,0.133338431464511,0,0,0,0,0,0,0,0,0,0,0,-0.0165360283500794,0,0,0,0.0142804090633439,0,-0.123691173636173,0.198785672424758,0,0,0,0,0,0
