,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600111.SH,X600157.SH,X600027.SH,X600489.SH,X600886.SH,X601992.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X600660.SH,X600309.SH,X300072.SZ,X002075.SZ,X601158.SH,X000408.SZ,X600583.SH,X000723.SZ,X600549.SH,X600352.SH,X000709.SZ,X000883.SZ,X000898.SZ,X000983.SZ,X600176.SH,X000539.SZ,X002470.SZ,X000027.SZ,X000060.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X600021.SH,X002407.SZ,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600583.SH,0,0,0,0,0,0,0,0,0.167767875974227,0,0,0,0,0,0,0,0.275220286457146,0,0,0,0,0.0360147594699728,0,0,0,0,0,0.0188278686211035,0.00269179426930984,0,0,0,0,0,0,0,0,0,0,0.0564642516427834,0,0,0,0,0,0,0,0,0,0,0,0.017400987893008,0.0495319779229833,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209580841401149,0.0633722277889178,0,0,0,0,-0.120826097620047,0.00913226166027748,0.026258097006309,0.0593220418638236,0,0.312904220389544,-0.0374661749831407,0.0081648165818167,0,0,0,0,0.000954851199243536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0966598286579951,0.144478873904217,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,-0.141250753466445,0,0,0,0,0,0.666839263708146,0,0,0,0.430248193118613,0,0,0,0,0.183481293157432,0,0.145378019928664,0,0.115805054795612,0,0.012192862767338,0,0.146113881105829,0,0,-0.0577811816975563,0,0,0,0,0,0,0,0.0552772305094645,0.00791186524859388,0,0,0,0,0,0,0.0197767608403641,0,0,0,0,-0.11016089560437,0.0668836025912176,0
X600352.SH,0,0,0,0,0,0,0,0,0.0910497794766579,0.0676769773740589,0,0,0,0,0,0,0,0,0,0,0,0.0814562739970581,0,0,0.0762475545647267,0,0,0.0594164129347544,0.0237432790059507,0,0.0998405382167323,0,0,0.0579501878808112,0,0,0,0,0.00412622916735347,0,0,0,0,0,0,0,0,0,0,0.103040379657653,0,-0.0373131026227555,0.0968776162688771,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0.211639750449844,0,0,0,0,0,0.111306987710382,0,0,0,0,0,0.0639745085070086,0,0,0,0,0,0.111538458001138,0,0,-1.73472347597681e-18,0,0,0,0.0721438313508662,0,0,0,0,0,0,0,0,0.011316827353539,0,0,0,0,0,0.042867062730563,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453677669404314,0.0667129882708216,0,0,0,0,0.0107491754878995,0,0,0,0,0,0.133157221645641,0.0249997884159177,0,0.0350834879812863,0,0.128707804598406,0.00598612014673899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164615703396276,0,0,0,-0.0129049125591782,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0.291187997217238,0,0,0.133538697837874,0,0.22620767804493,0,0,0,0,0,0,0,0,0,0,0,0,0.0962741440922905,0,0,0,0,0,0.00813731024473158,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0384477881255987,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0380648129425461,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0.729409080774351,-0.0754334470667636,0,0,0,0,0.0756877431645171,0,0,0,0,0,-0.0847736096508013,0,0.121649600521869,0.0384817656327785,0,0,0,0,0,0,0,0,0.0783093141944432,0,0,0,0,0,0.0455741357592244,0,0,0,0,0,0,0.109743400165072,0,0,0,0,0,0.0691590463577473,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.240486292559041,-0.0410280538135463,0,0,0,0,0,0,0,0,0,-0.014973028718721,0,0,0.0579807858124311,0,0,0.0942623674008026,0,0,0.348751298824392,-0.119483130663477,0,0,0,0,0,0.0520771092729712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00269522119499203,0.0884585844733083,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0.153136305883998,0,0,0.0332481245703117,0,-0.00883811774850156,0,0,0,0,0,0.0236311983967682,0,0,0,0,-8.67361737988404e-19,0,0,0.0610713564601979,0,0,0.105567929082272,0,0,0.0196577674152908,0,0,0.0812459122081042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064302231273474,0,0,0,0,0,0
