,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X600886.SH,X600011.SH,X600219.SH,X000786.SZ,X000723.SZ,X000408.SZ,X000825.SZ,X000932.SZ,X600399.SH,X601991.SH,X000831.SZ,X000959.SZ,X002080.SZ,X600795.SH,X600803.SH,X300037.SZ,X000807.SZ,X000898.SZ,X002409.SZ,X601699.SH,X600352.SH,X002407.SZ,X000027.SZ,X002145.SZ,X600549.SH,X600486.SH,X600489.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002409.SZ,0,0,0,0,0.159303077539369,0,-0.0328888652751156,0,0,0,-0.106227044725879,0,0,0,0.0455431478600477,0.121996409038573,0,0,0,0,0,0,0,0,0,-0.117373959759228,0,0,-0.111088552722001,0,0.360297579812384,0,0,0.254487603362064,0.130309260041799,0,0,0,0,0,0,0,0,0,0.0537299863672619,0,-0.02685240681906,0.10458195784162,0,0,0,0.0131637858926944,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0.0855626470233193,0,0.0968820012653322,0.0505642722378482,-0.0902422278524784,0,0.170909132987976,0.630411567311957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619219097588113,-0.120936984962757,0,0,0,0,0,0,0,0,0,0.0185032758956996,0,0,0,0,0,0,-0.0679411510270125,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,-0.0391980023662939,0,0,0,0,0,0.0195141982703005,0.0852425728381948,0,0,0,0,0,0.0517943414920807,0,0,0,0,0.0224531036717974,0,0,0,0,0,0.0486086815619263,0.147351324103738,0,0,0.0183265607333781,0,0,0,-0.0705666623086468,0,0,0,0,0,0,0,0.0319060642455442,0,0,-0.0180660100021812,-0.00421517075331525,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0.44229050447822,0,0,0,0,0.138952909182704,0,0,0.158414481364897,0,0,0,0,0,0,0,0,0,0,0,0,0.0201320766426281,0,0.193012151478921,0,0,0,0,0,0,0.267972355258987,0,0,0.00998744247279772,-0.135827740388294,0,0.0235104894264483,0,0,0,0,0,0,0.148655984860044,0,0,0,-0.0154093332884643,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0827550295591807,0,0,0,0,0,-0.0256670624835828,0,0,0,0,0,0,0.555644777803556,0,0,-0.134011978809447,0,0,0.0389323901476517,0,0,-0.0587788987965667,0.0921112830588311,0,-0.0455377850233154,0.243118346617953,0,0,0.0286179116382092,0,0,0,0,0,-0.0622474564759615,0,0,0,0,-0.0122855541288263,-0.129117095635636,0,0,0,0.0969199467102249,0,0
X002145.SZ,0,0,0,0,0.0722697499503871,0,0,0,0,0.0191837555436927,0,0,0,0,-0.0959297843705805,0,0,0,0,0,0.259309348505461,0,0,0,0,0,0,0,0,0,0,0,0.00121158731222015,0,0,0,0,0.10230006658113,0.177129346081186,0,0,0.0585203436874203,0,0.0366160131498482,-0.0372023121826556,0,0,0.0260421011100365,0,0,0,-0.033664343524694,0,0,0,0,0,0,0
X600549.SH,0,0,0,0.0721697673371618,0,0,0,0,0.289310875378169,0.0576563278481032,0,0.0698321174371369,0,0,0.0672607527441639,0,0,0,0.104496772116612,0,0,0,0,0,0,0,0,-0.0672049324014066,0,0,0,0,0,0,0,0,0,0.0287721440984229,0,0,0.0263645251641567,0,0,0.052508444421882,0,0,0,0,0,0,0,0.0892768518882019,-0.0523419202614702,0,0,0,0,0,0
X600486.SH,0,0,0,0.0668794446313154,0,0,0,0,0.112760119955223,0,0,0,0.0922608785274124,0,0,0,-0.249208675532578,0,0,0,0,0,0,0,0,0,0,0.0369856552955238,0,0,0,0,0,0.0116366153556551,-0.0602782724117993,0,0,0,0,0,0.00910991151710451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,-0.0145664563601099,0,0,0.176455564770698,0,0,0,0,0.173880496832429,0,0.0294238583162434,0,0,0,0,0,0,0.144034833233284,0,0,0,0,0,0,0,0,0,0,-0.0384667995621093,0,0,1.73472347597681e-18,0,-0.074477082754441,0.0659414356852805,0,0,0,0,0,0,0,-0.0514952682152542,0,0,0,0,0,0
X600801.SH,0,0,0,0,0,0.33266118703443,0,0,0,-0.0871575268321345,0,0,0,0.0697264614871084,0.150533874641533,0,0,-0.0100326849097818,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0183269742262772,0,0,0,0.0929106088321763,0,0,0,0,0,0,0,0,-0.0355340391841632,0,0,0.0532231084091907,0,0,-0.0275215863841951,0,0,0,-0.0115190156754579,-0.0365761412913906,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,-0.00988995382577414,0,0,0,-0.0604929112790386,0,0,0,0,0,0.0502670809050874,0,0,0,0,0,0,0,0.0536277595665293,0,0,0.0719865591120609,0,0,0.0521918455310239,0,0,0,0,0,0,0.0473946082317838,0.0677433699591674,0,0,0,0,0,0,0,0,0,0,-0.0953641087217912,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0.191912296752139,0,-0.0817870818910675,0,0,0,0,-0.0450230631901696,0,0,0,0,0,0,0,0,-0.927994170949819,0.256400572690823,0,0,0,0,0,0,0,0,0.956319302074191,0.165639132224084,0,0,0.517509779664472,0,0,0,0,0,0,0,0,-0.111180549387267,0,0,0.22256031503153,0,0,0,-1.73809917626461,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416208224851064,0,0,0,0,0,0,0,0,0,0,0,0,-0.142530704047366,0.0849537146730594,0,0,0,0,0,-0.032560417063011,0,0,0,0,0,-0.0599292100320078,0,0,0,-0.0344654689263215,0,0.0181788846048849,0,-6.93889390390723e-18,0,0,-0.517221894324871,0.154317869025568,0,0,0,0,-0.684638740232455,0,0
RealEstate_excess,0,0,0,0,0.00709450726903961,0,0.0626090281475822,0,0,0,0,-0.0661517532972774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623082515920072,-0.00252535154457824,-0.009621213554341,0,0,-0.00764854426605977,-0.0268935787537924,-0.00778899699869021,0,0,0,0,0,-0.103507807270697,0,0,0,0,0.0291948421032692,0.0712325447240758,0,0,0,-0.165380247619513,0,0,0,0,0,0,0,0,0,0
MKreturn,0,0,0,-0.0209872436490655,0,0,0,0,0,0,-0.0654535110095244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123036755784149,0,0,0,0.00326363126143609,0,0,-0.010397348252369,0.072531400214084,0,0,0,0,0,0,0,0,0,0.0105876887910452,0,-0.0212628507238192,0,0,0,0,0,0,-0.0612354767841332,0,0,0,0,0,0
