,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600886.SH,X600352.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600516.SH,X600176.SH,X002460.SZ,X000709.SZ,X002466.SZ,X000786.SZ,X000629.SZ,X600299.SH,X600219.SH,X000883.SZ,X601158.SH,X000553.SZ,X600808.SH,X000630.SZ,X000401.SZ,X600985.SH,X601699.SH,X000027.SZ,X600583.SH,X600426.SH,X600339.SH,X000825.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114051789207169,0,0,0,0,0.0259370084706158,0,0,0,0,0,0,0,0,0,0,0,0,0.135269898139225,0,0,0,0,0,0,0,0,0,0,0,0.213644025934961,0.0498476432475545,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0138086845557956,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0.0663498385317488,0,0,0,0,0,0.10774571829898,0,0.453599708983226,0,0.0373842222387796,0.0389636302717597,-0.0419472652174071,0,0,0,0.146910154181576,0,0.290694546853554,0,0,0,0,0,0,0.0182139059695594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18053751179282,0.0168704761665157,0,0,0,0,0.0518909755638688,0,0
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175984321561749,0,0,0,0,0,0,0,0,0,0,0,0.0781964524971481,0,0.22917284058872,0,0,0,0,0.000376854622909048,0,0,0,0.0153863060666796,0,0,0,0,0,0,0.338224366066464,0,0,0,0,0,0.0360323892146352,-0.000882594542428186,0,0,0,0.0557497961334029,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129137761120143,0,0.0756460911944732,0,0,0,0.0416710896947368,0,0,0,0.217907254091729,0,0,0,0,0,0,0.0630084570830235,0.126662410847285,0,0,0,0,0,0.199963212900979,0,0,0,0,0,-0.0172392055685824,0,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0.291381032940255,0,0.181347396133917,0,0,0,0,0,0,0,0,0,0,0,0,0.00800104574232158,0,0,0,0,0.128607095764811,0.203179694538053,-0.0122508840932243,0,0,0,0,0,0,0.193318487146996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162469931277266,-0.167140300432529,0,0,0.00879704542587201,0,0
Change_TY3M,0,0,0,0,0,-0.28242364124799,0.205739858382358,0,0,-0.202948940312099,0,0,0,0,0,-0.0289696018149822,0,0,0,0.141439829640583,0,0.0503583058976563,0,0,0,0,0,-0.0697235945227105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347621548034099,0.163169240734135,0,0,0.00199992242638408,-0.158074781429061,0,0,0,-0.0276249364287004,0,0
Slope,0,0,0,0,0,0,0,0,0,0,-0.248693712288166,0,0,0,0,-0.360902879091946,0,0,0,0,0,0,0,0,0,0,0,-0.0719982034067564,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.650926174085161,0,-0.139173295578105,0,0,0,0,0.551364566883485,0,0,0,0,1.419099655203,0,0,0,0.0557139950574008,0,0
TED,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.694919864209096,0,0,0,-0.0672351975306363,0,0,0,0,0,0,0,0,0,0.166789135269945,-0.0190353031518391,-0.273227468541305,0,0,0,-0.232863244637223,0.406560357411638,0,0,0,0,0,0,0,0,0,0,0,0.500459861272902,0,0.136602292347198,0,0,0.0937409810740408,-0.365668509191195,0.153242414137255,0,0,0,0,-0.192688186903297,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,-0.011817993595796,0,0,0,0,0,0.000596186476369468,0,0,0,0,0,-0.0458219543173599,0,0,0,0,0,0,0.109007285585376,0,-0.140379750235738,0,0,0,0,0,0,0,0,0,0,0,0,0.0475296040144826,0,0,0,-0.0154041996875591,-0.0732957937456371,0,0,0,-0.0298880876675707,0.0295454052835878,0,0.312584818572082,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267652464653773,0,0,0,0,0,0,0,0,0,0,0,0.0862377118056118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1598340873202,0,0,0,0,-0.0595581233863472,0,0.0112905958428552,0,0.0205993993040751,0,0.449340618100645,0,0,0.0526490725136772,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00148671998649627,-0.00139708873612571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.000763912088989531,0,0,0,0.00156850029538937,0,0
CarbonVol_Shenzhen,0,0,0,0.220052941299966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.473657661629198,0,-0.102120561562241,0,0,-0.600641082800028,0,0.174732641307939,0,0,0,0,0,0,0,-0.0996509162357592,-0.0610882723429876,0,-0.0660247018324485,0,0,0,0,0.260420167394408,-0.67243574374414,0,0,0,0,0,0,0,0,-0.226553715967962,-0.701784289109031,0,0,0,0,-5.62525544806158,0
CarbonVol_Guangdong,0,0,0,0,0,-0.00849226115621637,0,0,0,0,0,0,0,0,0,0.018634524864619,0,0,0,0.025324549731046,0.0249242822134901,0,0,0,0,0,0.00320588499971716,-0.0234100073603867,-0.00802315332451216,0,0,0,0,0,0.0142649441207209,0,0,0,0,0,0,0,0,0,0,0,-0.0170460175289275,0,0,0,0,-0.00555164539889704,0,0,0,0,-0.0409715011273312,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289759894481645,0,0,0,-0.00245341645437253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00407547983546753,-0.00636658539357334,0,0,0,0,0.001381456152511,0,0
