,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600309.SH,X600660.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000959.SZ,X000898.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000630.SZ,X600352.SH,X600549.SH,X000012.SZ,X000937.SZ,X601699.SH,X000060.SZ,X000539.SZ,X000027.SZ,X002092.SZ,X600176.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0.349214201423881,0,0,-0.101047120832306,0,0,0,0,0,0,0,0,0,-0.00676971520124812,0,0,0,0.0292557679652993,0,0.0253432889641358,0,0,0,0,0,0,0,0,0,0,0.0942097644347377,0,0,0.184920326441422,0,0,0,0.079291348581745,0.198911275377891,0,0,0,0.179505625847801,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.515491460017354,0,0,0.0348057293698034,0,0,0,0,0.0433125710889274,0,0,0,0.079131924682187,0,0,0,0.0471672735884869,0,0,0,0.105111644035952,0,0,0.029481716568298,-0.0426490394403461,0,0,0,0,0,0,0,0,0,0.0243046904924141,0,-0.0555469236329529,0,-6.93889390390723e-18,0,0,0,-0.0109302242273472,0,0,-0.110340198772281,0.0964382192593306,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,-0.0510060011408963,0,0,0,0.142971546999294,-0.02206583960655,0,0,0,0,0,0,0,0,0,0.169563791475295,0.129250021061811,0,0,0,0,0.0753863851355779,0,-0.00166021710574801,0,0,0,0.0910801248550082,0,0.0180613172790876,0,0,0.0162416500777772,0.0194504726452694,0,0.0754385387854972,0,0,0,0,0.109686073386271,0,-0.01199274367766,0.00405231917052803,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0.0285196756695439,0,0,0.0262223706976331,0,0,0.0550017278840007,0,0,0,0,0,0,0.0710008970154796,0.152132932859781,0.0832718972903807,0.0555665912918938,-0.067202972219633,0.0336885505992915,0,0,0,0,0,0.255684880869709,0,0,0,0,0,0,0,0,0.0245936497202579,0,0,0,0,0,0.0445174427388984,0.202277808368593,0,0,-0.0105244883300604,0.0113871563880289,0.111302244742645,0,0,0,0,0
X000959.SZ,0,0,0,0,0.0787460215330591,0,0,0.0512540342137595,8.67361737988404e-19,0,0,-0.753135760993541,0,-0.325820333647484,0,0,0,0,0,0.578132738820083,0,0,0,0,0,0,0,0,0.215199940982209,0,0,0.271333558866449,0,-0.057159656632224,0,0,0,0,0,0.387622003819789,0,0,0,0,0.073142090953748,0,0,-0.0185065635916127,0,0,0,0,0.144303108714499,0,0,0,0,0,0
X000898.SZ,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-0.0867811017304872,0,0,0,0,0,0,0,0,0,0,0,0.0465976077310839,0,0,0,0.171778486295669,0,0,0,0.241848089285926,0,0,0,-0.0288497583462146,0,0,0,0.0550380053030099,0,0.0435180970810135,0,0,0.0920425822213593,0,0,0,0.018934864908938,0.0493476544552232,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,-0.0375835529782012,0,0.0595634332325311,0,0,0,0,0,0,-0.064213903672038,0,0,0,0.11196508136001,0,0,0,0.150066814237463,0,0,0,0,0,0.10556037049755,0.146020819708959,0,0,0,0,0,0.177734997252419,0,0,0,0,-0.0592719805143033,0,0.148415380882757,0,0,0,0,0,0,-0.181907550410239,0,0,0,0.110615285255321,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054485735055417,0,0,0,0,0,0,0,0,0,0,0,0,0.106675230417512,0,0,-0.095989920163451,0,0,0,0,0,0,0,0,0,0,0.00318438299497208,0,0.144443951812087,0.585046802675816,0,0,0,-4.33680868994202e-19,0,0,0,-0.013711136060245,-0.0302976844919665,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0824342652813276,0,0,0,0,0,0,0,0.0625429290610645,0,0.148479376852333,0,0.260802960807077,0,-0.0286056437221729,0.0935790911165009,0.0687071978217504,0.28128280961366,0.19286039051312,0,0,0,0,0,0,0,0,0.0532007960410166,0.118450046567124,0,0,0,0,0,0,0,0,0,0.0553047161446416,0,0,0,0.0318366502232627,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05255026648724,0,0,0,0,0,0.134985272498046,0.0495511368271064,0.102385482426977,0.107541833526407,0,0,0,0,0,0,-0.0235080083844814,0.0529113715634088,0,0,0.0725431216743606,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0394858329485289,0.297556777224935,0,0,0,0,0
