,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600010.SH,X601600.SH,X601991.SH,X600795.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X601992.SH,X600583.SH,X600309.SH,X000709.SZ,X000898.SZ,X600157.SH,X600352.SH,X601158.SH,X000792.SZ,X600660.SH,X000027.SZ,X600808.SH,X000629.SZ,X600547.SH,X000539.SZ,X600489.SH,X002353.SZ,X600008.SH,X600021.SH,X000060.SZ,X000825.SZ,X002470.SZ,X000831.SZ,X600307.SH,X600219.SH,X000630.SZ,X600549.SH,X600315.SH,X600578.SH,X601699.SH,X000959.SZ,X002004.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,0,0,0,0,0,0,0,0.0765996462353462,0,0,0,0,0,0,0,0,0,0,0.0200347984893981,0,-0.013385874209759,0,0,0,0,0,0,0,0,0,0,0,0.976274525852545,0,0,0.0239375867250448,0,0,0,0,0,-0.0215576368414022,0,0,0,0,0,0,0,0,0.0151248583778517,0.0175317014935192,0.0767377383729496,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0.227687324019116,0,0,0,0,0,0,0.237275262958164,0,0.00578126568979313,0,0,0,0,0,0,0,0,0.112586634707491,0.0142607177468806,0,0,0,0,0,0.0225184549932894,0.0455184042646677,0,0,0,0,0,0.0702993750848466,0,0,0,0.154073095614928,0,0,0,0,0.00890829283259906,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.0997935765660818,0,0.0232717127763982,0,0,0.154672370152086,0,0,0.00676021871287985,0,0,0,0.0763531801330575,0,0,0,0,0,0,0.0287334061142326,0,0,0.492238957983276,0,0,0,0,0,0.00426252388982379,0,0,0,0,0,0,0,0,0.0920931977954207,0,0,0,0,0.0177646129528318,0,0,0,0,-0.0429242704920427,0,0
X002353.SZ,0,0,0,0,0,0,0,0.00146638919437706,0,0,0,0,0,0.000974244210117166,0,0,0,0,0.265645168880155,0,-0.0490293401464495,0,0,0.0874820827887786,0,0.0175802574548391,0,0,0,0,0.065488689633267,0,0,0,0.179699007485131,0.0305253249050442,0,0,0.0893462380509785,0.0895939166912439,0,0,0,0,0,0,0,-0.0354402673064374,0,0,0.0528853034711414,0,0,-0.0816269714536408,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0,-0.00782669499793567,0,0,0,0,0,0,0.142286826126114,0,0,-0.0165476728620113,0,0,0,0.202149028162047,0,0.465625421730461,0,0,0,0,0,0,0,0,0.0626884841039824,0,0,0,0,0,0,0.0584550737580236,0.0727913286089977,0,0,0,0,0,0,0,0,-0.0121729031112595,-0.00449284067543386,0,0,0,0,0,0
X600021.SH,0,0,0,0,-0.049502466441768,0,0,0,0,0.496387313732469,0,0,0,0,0,0,0,0,-0.121488295752638,0,0,0,0,0,0,0.179686192925979,0,0,0.0486736793272977,0,0.176869377445981,0.284256929636279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311198904975532,0,0,0.285793299168106,0,0.149559656903314,0,0
X000060.SZ,0,0,0,0,0,0,0,0.0327692424109804,0.182283441226075,0,0,0.0205486524876983,0,0,0,0,0,0,0,0.0425624447663671,0,0.0382916642642464,0,0.0380292045585909,0,0,0,0,0,0.177186834598996,0.0484781674270739,0,0,0,0.113681974971856,0,0,0,0,0.0066666672903241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0.127241835739584,0,0,0,0,0,0.0994243335989589,0,0,0,0,0,0,0,0.268493558486749,0.136382181502696,0,0,0,0,0,0.131470470320319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118543801515134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07997250039487,0,0,0,0,0.00954843092157064,0.00121792317609714,0,0,0,0,0.0678315197054685,0,0,0,0,0,0,0.0450470085966116,0,0,0,0,0,0,0.101837150342899,0,0.0836007393437391,0,0,0.0764051280678124,0,0,-0.0759448660910687,0,0,0,0,0,0
X000831.SZ,0.00592116452722868,0,0,0,0,0,0,0.251109136392775,0,0,0,0,0,0,0.441920384285988,0,0,0,0,0,0,0,0,0,0,0,-0.392031408765328,0,0,0,0,0,0,0,0,0.216307781781194,0,0,0,0,0,0.115281205452054,0,0,0,0,0,0,0,0,0.0270340000920518,-0.0487063157712633,0,0,0,0,0,0
