,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X601600.SH,X300072.SZ,X600688.SH,X600309.SH,X600547.SH,X600795.SH,X601991.SH,X600362.SH,X600188.SH,X600660.SH,X000709.SZ,X600027.SH,X002466.SZ,X600886.SH,X600157.SH,X600111.SH,X600489.SH,X600339.SH,X000959.SZ,X000898.SZ,X600299.SH,X601158.SH,X600008.SH,X000883.SZ,X600583.SH,X600578.SH,X600219.SH,X000408.SZ,X000792.SZ,X000630.SZ,X002460.SZ,X000539.SZ,X000983.SZ,X600352.SH,X000401.SZ,X000786.SZ,X000027.SZ,X002092.SZ,X000723.SZ,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0.0843955649669365,0,0,0,0,0,0,0.189905904159298,0,0,0,0,0,0,0,0,0,0.025014134780077,0,0,0,0,0,0,0.0691358664088451,0,0,0,0,-0.0703287732922321,0,0,0,0,0,0.243402151230325,0,0,0,0,-9.28019134636384e-05,-0.00375660485570812,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.247028550624757,0.0142391074812821,0,0,0,0,0,0,0,0,0,0,0,0.0155944058910591,0,0,0,0,0,0,0,0,0,0.0124646109530228,0,0,0,0,0,0,0,0,0,0,0,0.0360798468947602,0,0,0.0470030141701068,-0.0697279685978995,0.245499160455405,0,-0.00286082500124915,-0.00699300159541847,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,-0.293107067159937,0,0,0,0,0.219077287979071,0,0,0,0,0,0,0.166468218470312,0,-0.109568575307833,0.128537866695168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297058969942575,0,0,0,0,0,0.180086422799747,0.044362757149726,0,0,0,0,0,0.0189099957974001,0.0142722877263603,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.137886263468268,0.132804161700461,0,0,0,0,0,0.0163902491109364,0.196803849817254,0,0,0,0,0.0235117322700938,0,0,0,0,0,0.0308693923456749,0,0,0,0,0,0,0,0,0,0,0.0269931072810731,0,0,0,0,0,0,0,0,0,0.138126556862089,0,-0.00873014647108981,-0.00264082498753628,0,0,0,0,0,0
X000408.SZ,0,0,0,0.290214804940853,0,0,0,0.0681343711790428,0,-0.173271928515029,0,0,-0.0065493391739839,0,0,0,0,-0.0146885305780923,0,0,0,0,0,0,0,0,0,-0.101947261063812,0.0486812057612324,0,0.0386204124913275,0.0790665007769617,0,0,0,0,0,0,0,0,0,0,0,0.0976767049862895,0,0,0,0,0,0,0.0317849617446032,0.0290522392308685,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,-0.0994563727621437,0,0,0,0,0.0874542385195685,0,0,0,0,0,0,0.0913874723322676,0,0,0,0,0,0.0832257327377106,0,0.246210141366414,0,0,0,0,0,0,0,0,0,0,0,0.101316927952931,0,0.203600062158904,0,0,0,0.0214708503642741,0,0,0,0,0.0411788257560979,0.0173509993833842,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450094581666246,0,0,0.0284992067651564,0,0,0,0,0,0,0.14794022320778,0,0,0,0,0,0,0,0,0,0,0,0,0.036407082421218,0,0.10864069392922,0,0.0298275725373409,0,0,0,0,0,0,-0.00166227421705093,0.00866124696539267,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,-0.250866400300674,0,0,0,0,0,0,0,0,0,-0.0599486856065213,0,0,0,0,0,0.924395788868234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130589113761679,0,0,0,0,0,0,0,0,-0.0516636340547637,0,0,0,0.0432717478988846,0.0332478897635923,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0.0198111711419669,0,0,0,0,0,0,0.189819337397025,0,0.117085701499546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0985517675972059,0,0,0,0,0.0808324661620852,0,0,0,-0.00943494349302207,0,0.187646268227995,0,0,0,0,0.0194802323739878,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,-0.0611596510331865,0.0294966868552668,0,0,0,0,0,0,0,0,0.322343275242682,0,0.00208971337001331,0,0,0,0,0.327072402448093,0,0,0,0,0,0,-0.0107898602158363,0,0,0,0,0,0,0.309903301527935,0,0.0292952858877769,0,0,0,-0.0307055239347541,0,0,0.0349835394299531,0,0,-0.00984662389495041,0,0,0,0,0,0,0
X600352.SH,0,0,0,-0.155533833237674,0,0,0,0.0160728862133751,0,0,0.0346593598458289,0,0.0370693340868837,0,0,0,0,0,-0.053426668825412,0.00893500508021866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196622635776312,0,0,0,0,0,0,0,0,0,0,0,-0.00902250681987943,0,0,0,0,0,0,0
X000401.SZ,0,0,0,0,0,0.0234710444201828,0,0.499939291719353,0,-0.0580427400102438,0,0,0.0421236868043948,0,0,-0.00838621610190195,0,0,0.0760946310722578,0.710228904165296,0,0,0,0,0,0,0,0,0,0,0,0.0723261516471216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00791520466074291,0.00420932816698921,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844719862240812,0,0,0,0,0,0.282230415547143,0,0,0,0,0,0,0,0,0,0,0,0,-0.43001579641305,0,0,-0.00509818391917379,0,0,0.0138846769773859,0,0.249992007169174,0,0.0450765705608332,0.00333370280004651,0,0,0,0,0,0
X000027.SZ,0,0,0,-0.0191508052202421,0,0,0,0.00989038948540965,0,0,0.0253666230935194,0,0,0,0,0,0,0,0,0.0156178649406488,0,0,0,0,0,0,0.0466941512611411,0,0.0394909501328982,0,0,0,0.151208064508862,0,-0.13954670083845,0,0,0,0,0,0.140625699492952,0,0,0,0,0,0,0,0,0,0.0109159226423452,0.0235573934912247,0,0,0,0,0,0
X002092.SZ,0,-0.00791005119039698,0,-0.127123944095189,0,0,0,0,0,0,0,0,0,0,0,0,0.153078560457472,0,0.185487503044471,0,0,0.0578650948214186,0,0,0,0,0,0,0,0,-0.0630406236237456,0,0,0,0,0.240885051358569,0,0,0,0,0,0,0,0,0.140973550239953,0,0,0.0515292500175525,0,0,0.027485654413025,0.00969477949717296,0,0,0,0,0,0
X000723.SZ,0,0.121949029044703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162102695640016,0,0,0,0,0,0,0,0,0,0.160722969502487,0.0614337460205109,0,0.13234626544089,0.731660779135465,0,0.129248274287464,0,0,0,0,-0.722577885953842,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0669755138023994,0.146014818931932,0,0,0,0,0,0
