,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X000898.SZ,X000709.SZ,X000723.SZ,X600352.SH,X000408.SZ,X600583.SH,X000883.SZ,X000959.SZ,X000983.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X600126.SH,X000012.SZ,X600098.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600489.SH,0,0,0,0,0,0,0,-0.207186052048936,0,0,0.692571828233803,0,-0.028041673382732,0,0,0,0,0.378302668730363,0,0,0,0,0,0,0,0,0,0,0.0388267384720022,0,0,0,0,0,0,0,0,0,0,0.0392787625256183,0,0,0,0,0,0.0176351584613743,0,0,0,0,0,0,0,0,0,0,0.100903221054204,0,0
X600309.SH,0,0,0,0,0,0.0328722626535286,0,0,0,0,-0.106749236877002,0,0.00445856604423631,0,0,0,0,0,0,0,0,0,0,0.120198009384632,0,0.0140790114942875,0,0.0738447156313126,0,0.140930019617159,-0.430555291494757,0,0,0,0,0,0,0,0.032537785809978,0.0683949812352911,0,0,0,0,0,0,0,0,0,0,0,0.0493207724822549,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.235476378794036,0,0,0,0,0,0,-0.0582447730802825,0,0,0,0,0,0,0,0.0831587904216947,-0.0193462588394703,0.150731643079323,0,0,0,0,0,0,0.115532692849053,0,0.0835555071758061,0,0,0,0.111729382475312,0,0,0,0,0,0.221866486185274,0,0,0.0993982178113202,-0.0059956718342967,0.10165870575632,0,0,0,0,0,-0.0435668748910763,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0.279277335676039,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769690909890821,0.171239007118065,0,0,-0.00834283608694077,0,0,0,-1.73472347597681e-18,0,0,0,0,0.33756765192165,0,0,-0.157467898480455,-0.114986692820889,0,0,0,0,0,0,0.237189244455845,0,0,0,0,0,0.0308583033719681,0,0.0543823235879015,0,0,0,0,0
X002466.SZ,0,0,0,0,0,-0.148256488790649,0,0,0,0,0,0,0.127746502851738,0,0,0,0,0,0.228924940530818,0,0,0.0634518456249879,0,0,0.0536744930434623,0,0,0,0.00311773878287462,0,0,0,0,0,0,0,0,0,0,0.0143754390868553,0,-0.105397989911473,0,0,0,0,0.0993968866447991,0,0,0,0,0,0.0895587748731347,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,-0.0464356569917407,0,0.0534964197238821,0.0166369046194401,0,0,0,0,0,0,0,0,0,0,0.07787616151628,0,0,0,0,0,0.131367614371083,0,0,0,0.174921578664766,0,0,0,0.0342687348181375,-0.0281560589718545,0,0,0,0,0,0,0,0.176459300896533,0,0.134921855587196,0,0,0.104906538728725,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,-0.0812703351603868,0,0,0,0,0,0,0,0.0095815823679361,0,0.0692462973978631,0,0,0,0,0.434545817966044,0,0,0.040096572670677,0.274991264964855,0,0,-0.0258650987926444,0,0,0,0,0.19003465206583,0,0,0,0.125333080099133,0,0,0,0,0,0.226080263752443,0,0,0,0,0.0288315720729399,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215684219203769,0,0,0,-0.12669935933984,0,0,0,0,0,0,-0.164630460357436,0,0,0.1118342606338,0,0.580751481991574,0,0,0,0,-0.304991791782195,0,0,0.256872670666884,0,0.092586323605843,0,0,0,0,0,0.0275843286893164,0.058336626098838,0,0,0,0,0,0.000189488519029363,-0.122993683810977,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0.140802472138925,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0247224979010972,0.223160332598918,0.0413896381704763,0,0,0,0,0.119379176649922,0,0,0,0,0,0,0,0,0,0,0.121661727287569,0,0.154639154996474,0,0.029411477606589,0,0,0,0,0,0,0,-0.0632317869656874,-0.0301614411343626,0.0164458224211494,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0.0257939830613613,0,0.162964089532685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738355570571166,0,-0.0136253928942593,0.0712375732534215,0,0,0,0,0.0274583093355601,0,0,0,0,0,0,0,0,0,0,0,0,0.0033125888809667,0,0,0,0,0,0
