,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X600188.SH,X002466.SZ,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X000301.SZ,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X000723.SZ,X000786.SZ,X600219.SH,X600803.SH,X601991.SH,X600795.SH,X002080.SZ,X000408.SZ,X600027.SH,X000807.SZ,X600688.SH,X002353.SZ,X000825.SZ,X600352.SH,X300073.SZ,X601699.SH,X600801.SH,X300037.SZ,X600489.SH,X000959.SZ,X000630.SZ,X000932.SZ,X000983.SZ,X600486.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600803.SH,0,0,0,0,0,-0.135558858452221,0,0,0,0,0.0120206593848562,0,0,0,0,0,-0.115836111151788,0,0,0,0,0,0.0188718446789349,0,0,0.0854728838074038,-0.0361265643087748,0,0,0,0,0.0343408128070036,0,0,0,0.368179862659793,0,0,0,0.112249558285879,0.0548388490477137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522504422554803,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0.0230166529645338,0,0,0,0,0,0,0,0,0,0,0,0.559882984095381,-0.0338491985057063,0,0,0,0,-0.108674692022194,0,0.0984107779313954,0,0,0.153925701848355,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.231986003854896,0,0,0,0,0,0,0.0109812522646434,0,-0.119836727265426,0,0,-0.0185236504025114,0,0
X600795.SH,0,0,0,0,0,0,0,-0.0383630795642905,0,0,0.140175947798557,0,0,0.062289827205044,0,0,0,0,0,0.0274848262750903,0,0,0,0,0,0,0,0,0,0.0213681627262513,0,0.0235789046652175,0,0.23892139392348,0,0,0,0.0292320635906824,0,0,0,0,0,0,0.0168423158823853,0,0,0,0,0,0,0,0,0,0,0,-0.0162035858285118,0,0
X002080.SZ,0,0,0,0.0335943267112654,0,0.0215029269685701,0,0,0,0,0.217474326911223,0,0,0.0598043669734107,0,0,0,0,0,0.17987557235675,0.340252637401142,0,0,0,0,0,0,0,0,0,0,0,0.10028713393073,-3.46944695195361e-18,0,0,0,0,0,0,0.00676213642410688,0,0,0,0,0.0446743382431597,0,0,0,0,0,0,0.080317840494148,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0.230183364905646,0.0633456338271667,0,-0.005019282303566,0,0,0.0385440161571512,0.312041115991291,-0.109872997539846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109884000956891,0,0,-0.152712083821268,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0.00444739847029773,0,0,0,0,0,0
X600027.SH,0.345640376005643,0,0,0,0,0,0,0,0,0,0.412873243195912,0,-0.156540558825785,0,0,0,0,0,0,-0.0513411926884795,0,0,0,0,0,0.0581852233628565,0,0,0,0,0.293022105403849,0.097348465041917,0,0,0,0,-0.0999846047761136,0,0,0,0,0,0.0467823384263666,0,0,0,0,-0.0275049348240795,-0.0636310111364544,0,0.238890968264507,0.0261841016085715,0,0,0,0,-0.0318163574293211,0,0
X000807.SZ,0,0,0,0,0,0,0,0.0295883496389826,0,0,0.0542430707522437,0,0,0,0,0,0,0.137777640643175,0,0.097887875765357,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.204107566077875,0,0,0,0,0,0.028317728047273,0.10871979854445,0,0,0,0,0.0207447538559338,0,0,0,0,0,0
X600688.SH,0.406401789579319,0,0,0,0,0,0,0.0330509429090128,0,0,0.0700825266514237,0,0,0,0.0947340305640672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426867164431427,0.000625169954833481,0.0297791571365607,0,0,0.2569589219457,0,0,0,0,0,0,-0.00606946963269909,0,0,0,0,0,0,0.0320155514627136,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.00875953100239222,-0.191986157762792,0,-0.185243247054233,0.0609887374883869,0,0,0,0,0,0,0,0,-0.132757985311703,0,0,0,0,0,0,0,0,0.155226318685135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118424292823174,0.034442583967374,0,0,0,-0.117905213614432,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.188294714906604,0,-0.0694854156924053,0,0,0,0,0,0,0,0,0,0,0,0.0761086792022276,0,0,0,0,0,0,0,0,0.201941147590352,0,0,0,0.0375685028454516,0,0,0,0,0.0350023886580732,0,0.495528104602031,0,-0.0253673620949561,0,0,-0.0133480364262288,0,0,0,0,-0.0199273615522648,0,0
