,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X601992.SH,X600795.SH,X600688.SH,X002460.SZ,X600362.SH,X600188.SH,X600111.SH,X600516.SH,X600547.SH,X601991.SH,X300072.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600339.SH,X600489.SH,X600808.SH,X000408.SZ,X000959.SZ,X000723.SZ,X600549.SH,X600219.SH,X000983.SZ,X000792.SZ,X002092.SZ,X600352.SH,X000553.SZ,X601699.SH,X601158.SH,X000807.SZ,X000883.SZ,X000630.SZ,X600299.SH,X600008.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154326445355333,0,0.0518083943984962,0.0708291056391576,0,0,0,0,0.0420569495010857,0,0,0,0,0,0,0,0,0.0084134005669687,0,0.0288501560992221,0,0,0,0,0,0,0,0,0,0,0,0,0.209335919240708,0,0,0.0289947876228392,-0.0316019555230876,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141603510302218,0.345215158674065,0,0,0,0,0,0,0,0,0,0,0.0401165671323998,0,0,0,0,0,0,0,0,0,0.0757093155972327,0.106777367900177,0,0,0,0,0.0638009016521355,0,0,0,-0.00888003304134085,0.00245478255240631,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0.0589374234566748,0.0248749421158895,0,0,0,0,0,0,0,0,0.0793385198096811,0,0,0,0,0,0,0.147366316768921,0,0,0,0,0,0,0,-0.20344702016534,0,0,2.16840434497101e-19,0,0,0.0616256246843957,0.324719649042874,0,0,0,0,0,0,0,0,0,0.109031499556565,0,-0.0147965538313034,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,-0.0197778980669123,0,0,0,0,0,0,0,-0.061735808740119,0,0,0.00558772996926039,0.147294100294487,0,0,0,0,0,0,0,0,0,0.0700652216815134,0,0,0,0,0,0,0,0,0.0425540088501868,-0.106391737593201,0,0.0395700339955572,0,0,-0.117553268318321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0.0255050969568806,0,0,0,0,0,0,0,0.0886864599886345,0,0,0,0,0,0,0,0,0,0,0,0.060200501537257,0,0,0,0,0.110776913366276,0,0.171663893467683,0,0,0.0393428425535609,0,0,0,0.162541160295815,0.0306360487910377,0,0,0,0,0,0,0,0.114169521618388,0,0,0,-0.0159719959055252,0.0505366803912689,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0.196679348861272,-0.0215823289356567,0,0,0,0,0,0,-0.0767956491641831,0,0,0,0,0,0,0,0.0153536273160642,0.0533466893871467,0,0,0.14912009214472,0,0,0,1.73472347597681e-18,-0.12179936999627,0,0,0,0.0201294031139398,0.219817515628219,0,-0.00509893579179067,0,0,0,0,0,0,0,0,0.180670293817712,-0.265655745791653,0,-0.0196434017616883,0.0431788330672154,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0.173126763541923,0,0,0,0,0,0,0,0.0410303628593687,0,0.0151933378655373,0.469392720097807,0,0,0,0,0,0,0,0,0,0,0,0,0.00388019179230777,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.231859916691108,0,0.000932321499357233,0,0,0,0,0.0633054724777606,0,0.0100429970938477,0.0241812093807441,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0.404283537890533,0,0,0,0,0,0,0,-0.0373851459120034,0,0,0.0774879866937665,0,0,0,0,0,0,0,0,0,0,0,0,0.00364292609478895,0,0,0,0,0,0.00637707222884391,0,0.0753703055258466,0,0,0,0,0.0146830846892682,0,0,0,0,0,0,-0.019330270100458,0.0259936729614957,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0.0327511738210553,0,0,0,0,0,0,0,0,0,0.586043509299612,0.128094602905816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120050506299212,0,0,0,0,0,0,0,0,-0.00980330528410215,0.0231070097851376,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.0445846762384317,0,0,0,0,0,0,0.0733167282339399,0,0,0,0.0338761800925635,0,0,0.0459443373230014,0,0,0,0,0,0,0,0.295400348724232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241972787494507,0.251547381312572,0.122431380270485,0,-0.0291097197830415,0.0809327027129263,0,0,0,0,0,0
