,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X600547.SH,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X601992.SH,X600309.SH,X600886.SH,X600111.SH,X600660.SH,X600489.SH,X600623.SH,X601158.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X000408.SZ,X000898.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600758.SH,X000959.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600126.SH,X000630.SZ,X600021.SH,X002470.SZ,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0275093965137816,-0.0292169699728877,0,0,0.105474017408822,0.132354793251739,0,0,0.102444596420373,0,0,0,-0.00528250611096076,0.0555384201765466,0,0,0.0184544031535295,0,0,0,0,0,0.0314625606631468,0,0,0,-0.00934143887944585,0.00221294390465019,0.0169426914957517,0,0,0.0351132626232983,-0.0025800861444675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0261299185566094,0,0,0,0,0.159881547145066,0,0.105180993896251,0,0,0,-0.0125434060905912,0,0,0,0,2.16840434497101e-19,0,0,0.0406930310442522,0,0,0.00924696163610813,0,0,0,0.0201760069526678,0.00202575269701256,0.0752019120056244,0,0,0,0,0,0,0.0299225501469644,0.109987576762948,0.128674611439256,0,-8.67361737988404e-19,0,0.0561994617318643,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0.143927308488222,0,0,-0.00141787187020211,0,0,0,0,0,0,0,0,0,0.0700233164021154,0,0,0.106102188874852,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,-0.124100011915174,0,0,0,0,0.198897315943979,-0.356035261668229,0,0,0,0,0,0.812035690874776,-0.54550598139813,0.364982583414705,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.1050197655607,0,0,0,0,0,0,0,0,0,0,0,0,0.0404385994711434,0.803622840638273,3.46944695195361e-18,0,0,0,0,0,-0.0568444580251382,0.129632930100181,0,0,0,0,0,0,0.0370061053462123,0,0.0545151995563622,0,0,-0.130060764377091,0,0,0,0.055694063899135,-0.0593018512501282,0.129036590071208,0,0.0782034032656554,0.190878582065273,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137363326778172,0,0.018291237970583,0,0,0,0.0165536286854119,0.0886343003869016,0,0,0,0,0,0,0,0.0792011608822828,0.038889342736972,0,0,0,0,0.081206807177817,0,0,0,0,0,0,0.0101164285365922,0.0130114557965231,0,0,-0.0161956930464821,-0.0351546902667531,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0.0735200071159991,0,0,0,0,0,0,0,0,0,0,0,0.135464061907064,0,0,0,0,0,0,0.0758217397494933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081712242657056,0,0,0,0.206358733069281,0,0,0.00170420977745395,0.0620643897898381,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.0607962309984933,0,0,0.0110001221207349,0,0,0.00562594679085831,-0.0441952380953852,0,0,0,0,0,0,0.351611202459482,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0872110448291955,0,-0.0100614279455377,0.0360419213955953,0,0,0,3.46944695195361e-18,0,0.0493512405952781,0,0,0,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0765144811444126,0,0.127572228356269,0,0,0,0,0,0,0,0,0.159230044585776,0,0,0,0,0.193474292225618,0,0,0,0,0.289868879686874,0,0,0,0,0,0,0,0,0,0,0,0.130741741878669,0,0,0,0,0.188657095073183,0,0,0.0301383895600275,0,0,0.00361715398750245,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,-0.0558200583556254,0.234850813750435,0,0,0,0,0,0,0,0,0,0,0.148176122494036,0,0,0,0,0,0,0,0.136769680257296,0,0,0,0,0,0,0,0,0,0,0,0,0.00949390837736155,-0.0149616154219141,0.0577104174333407,0,0,0,0,0,0,0,0.0869351775935883,0,0,0.120024992029147,-0.099927381938961,-0.136295407211296,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.261573826991616,0,0,0,0,0,0.0884335036323162,0,0,0,0,0,0,0,0,0,0.0668312207877735,0,0,0.103055447242353,0,0,0.157203361157496,0,0,0,0,-0.364823583578224,0,0,0,0,0.106443443883249,0,0.0327443663284133,0,0,0,0.00855980588607513,0,0,0.152419666404703,0.0697185306385473,0,0,0,0.0904104638225623,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246630905244173,0,0,0.150968819873207,0,0,0,0,-0.026568318899831,0,0,-0.00198034021763248,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0388895891460897,0.00607347069288469,0,0,0.116765255231504,0.19793122742914,0,0,0,-0.104632322199685,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.033315759459965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118585875039112,0.0494637881963423,0,0.393402949122379,0.0994519414493067,0,0,0,0,0,0,0,0,0,0,0.0582256125270616,0,-0.0124561635057011,0,0,0,0,-0.0723944533148251,0,0.290073078622174,0,0.0595593979453103,0.00723595499676262,0,0,0,0.175447918123425,0,0
X600660.SH,0,0,0,0,0,0,0.231596057935952,0,0,-0.0797898652810186,0,0,0,0,0,0,0,0,0.108821364604911,0.0840585755155978,0,0,0,0,-0.0552172231728954,0,0,0.10051400395678,0,0,0,0,0,0,0.110726495443148,0,0,0,0,0,0,0,0,0.272289914815555,0.0537364472085317,0,0,0.123892056556473,0,0,0,0.00246913524241622,-0.0773211880965437,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,-0.00571979209550873,0,0,0,0,0,0,-0.0149850422601934,0.700729911151228,0,0,0,0.356802288852171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244254270805085,0,0,0,0,0,0,0,0,0,0,0,-0.0820715298475324,0.134008747373447,0,0,0,0,0,0
