,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600362.SH,X600352.SH,X600886.SH,X600188.SH,X600795.SH,X000723.SZ,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X002466.SZ,X000629.SZ,X600299.SH,X000883.SZ,X600219.SH,X601158.SH,X000553.SZ,X600808.SH,X000630.SZ,X600985.SH,X600583.SH,X000401.SZ,X000027.SZ,X600426.SH,X601699.SH,X600339.SH,X000825.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0.212673280246644,0,0,0,0,0.0325371928323746,0,0,0,0,0,0,0.0178483139824292,0,0,0,0.118358023086855,0,0,0,0,0,0,0.0824260447842599,0,0,0,0,0,0,0,0,0,0.00936413908125699,0,0,0,0,0.047318426044919,0,0.346914778304391,0,0,0,0,0,-0.0393705671330842,0,0,0,0,-0.00987842002735314,0,0
X600516.SH,0,0,0,0,0,0,-0.222155438232094,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0433748373141161,0.117974814762689,0.156232176011272,0,0,0,0,-0.135674513504141,0,0,0,0,0,0.957465481403129,0,0,0,0,0,-0.0571576868443018,0,0,0,0,0,0,0,0,0.0212744796095057,0,0,0,-0.133949273087008,0,0.092323226981579,0,0,-0.0360595799324564,0,0
X000709.SZ,0,0,0,0,0,0.0205846048505512,0,0,0,0,0,0,0,0,0,0.0280755764796493,0,0,0,0.00867530210417495,0.02181876348337,0.0242294341483713,0,0.124427913573939,0,0,0,0,0.0727204706196999,0,0,0,0,0,0.0338712608783516,0,0,0,0,0,0,0,0,0,0,0.135255454036988,0,0,0,0,0,-0.0161430321995016,0,0,0,0,0.0100614581108456,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0681244667504966,0,0,0,0,0,0,0,0.105005796913801,0,0,0,0.554399801449142,0.0467676686252602,0,0,0,0,0.0584626356051808,0,0,0.010330170091506,0,0,0,0,0,0.247390553237263,0,0,-0.0254637206951237,0,0.0134110461646243,0,0,0,0.0225265665999598,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.193838833180121,0,0,0,0,0,0,0.13226441862998,0.22437762555089,0.109130779335793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989177674044988,0,0,0.0505762776074918,0.0698330260986151,0,0,0,0,0,0,0,0,0.00948177308789636,0.10147359944052,0,0,0,0.0616647397018052,0,0
X002466.SZ,0,0,0,0,0,0,-0.147744961733603,0,0,0,0,0,0,0,0,0.0393918849146577,0,0,0,0.0666799036865397,0,0,0,0,0,0,0,0,0.124522795284001,0,0.610635000174889,0,0,0,0,0,0,0,0,0,0,-0.144825456252995,0,0,0,0,0,0,0,0,0,-0.0155962684730578,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0.147207514053391,0,0,0,0,0.0235628279136165,0,0,0,0,0.0518236370748018,0,0,0,0.0546477691491178,0,0,0,0,0.0758826803369694,0,0,0,0,0,0,0,0,0,0.144859762461484,0,0,0.30291875242651,0,0,0,0,0,0.0170331773877795,0,0,0,0.0126965473550907,0,0,0,0,-0.00426372511208022,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160956049709156,-0.0320610937666671,0,0,0,0,0,0,0,0.0906685329610099,0,0,0,0,0,0,0.226115262981654,0,0,0,0,0,0.0213812657409747,0,0,0,0.164016662673165,0,0,0.0227440613174081,0.51719367267962,0,-0.0556170758368963,0,0,0,0,0.0617454176248972,0,0
X000883.SZ,0,0,0,-0.121817697709971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123087457776267,0.140795468860784,0,0.155762058569813,0,0,0.0627388898370497,0,0,0,0,0,0,0,-0.0319103083821044,0.0728457892914828,0,0,0,-0.0319302015284536,0,0,0.0198910753390997,0.1576497314393,0,0,0,0,0.0987537643598808,0,0.0779202407601763,0,-0.0121083153251548,0.0322642989853478,0,0,0,0.00783780662052812,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.0944665733531456,0,0,0,0,0,0,0.0252378884818442,0,0,0,0.0133392444885043,0,0.209356994735978,0,0,0,0,0,0,0.0342587579244665,0,0,0,0,0,0.0951594486042556,0,0,0,0,0,0,0.00938820059338891,0,0,0,0,0,0.0159009201359002,0,0,0,-0.0509202223409472,0,0,0,0,0,0,0
X601158.SH,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0290834569879434,0,0,0,0,0,0.109436558489966,0.0423378817435897,0,0.0240035932689222,-0.0970344254278541,0,0,0,0,0.0424709854230971,0.0723303296073868,0,0.10301546144298,0,0,0,0,0,0,0,0.207985356029919,0,0,0,0,0,0,0,0,0,-0.00544187868521739,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0.085155789231292,0,0.311234651446764,0,0,0,0,0,0,-0.0763731503145021,0.128227345424663,0.302406819717367,0,0,0.0237625406558882,0,0,0,0,0,0,0.209294652734827,0,0.23329445161799,0,0,0,0,0.180847572491208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00772038213350729,-0.0771078780159471,0,0,0,-0.0724820775794122,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697369741724145,0.0728752771142187,0,0,0.187228409607944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502376800330542,0,0,0,0,0,0,0.586811361971713,0,0,0,-0.0233429506797919,0,0,0,-0.000996428416339365,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443415656426721,0,0,0,0,0.0301108186479444,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0877434621539023,0,0,0,0,0,0.00346770503438875,0,0,0,0.00333504844579869,0,0,0,0.143486451270062,0,0,0.0183617826924586,0,0,0,0,0,0,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51441046419582,0,0,0.0149260191112599,0,0.141270781576087,0,0,0,0,0,0,0,0,0,0,0,0.0919991716909787,0.0822515073903387,0,0.226734991668596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958387214641704,0,0,0.515707781456454,0,0.0700370892083735,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170634875475774,0,0,0,0,0,0,0.0529755503372011,0,0,0,0,0,0,0,0,0,0,0,0,0.137428526579231,0,0,0,0,0,0,0,0,0,0,0.17562298477884,0,0.0551814712654482,0,0,0,-0.0042875591403272,0,0,0,0,0.00445686622919403,0,0
X000401.SZ,0,0,0,0,0,0,0,-0.0251776028899808,0,0,0,0,0,0,0,0,0,0,0,0.0182959679535519,0.118573115124427,0.523126530841038,0.0815973132541253,0,0,0,0.194192385815564,0,0,0,0,0.214612353430768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300691125712876,0,0,0,0.0627469262076731,0,0
X000027.SZ,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0713965817462937,0,0,0,0,0,0,0,-0.0101985384957494,0,0,0,0,0.0268856962790503,0.0306637146426006,0,0,0,0,0,0.0608036360947801,0,0.0975580531473273,0,0,0,0,0,0.0114765569549946,0,0,0,0,0.0468398415224998,0,0,0,0,0,-0.00522122620244034,-0.00569535705851264,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0.0475073208895139,0,0,0,0,0,0.123279916782346,0,0.44252390602985,0,0.0397261160064414,0.0539890097527899,-0.0599332113308127,0,0,0,0,0.19010075172003,0,0.277635190386159,0,0,0,0,0,0.0515092410141186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179074141113258,0.024542138709904,0,0,0,0,0.0533350944767879,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933740937120862,0,0,0,0.0305028910457075,0,0.151363218641559,0,0,0,0,0.0481985587920695,0,0,0,0,0,0,0,0,0,0.0238287952543628,0.0791117347074224,0,0,0.214144144135689,0,0,0.146490697676531,0,0,0,0,0,0,0,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289821698673295,0,0,0,0,0,0,0,0,0,0,0,0,0.0341764932346941,0,0.3006483033564,0,0,0,0,0,0,0,0.0205868184844546,0,0,0,0.343273268832307,0,0,0,0,0,0,0,0,0.0427997758698825,-0.00527348175387323,0,0,0,0.0630797617464064,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140817829345173,0,0.164565774486984,0,0,0,0,0,0,0,0,0.387531641119858,0,0,0,0,0,0.0557137016207507,0.0644533516632402,0,0,0.0851488547110203,0,0,0.0334177073884504,0,0,0,0,0.160621050542655,-0.0260540821344364,0.0102022534164977,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00941532583063519,0,0,0,0,0,0,-0.103715566123932,0.0162961950400706,0,0,0.216642761188926,0,0.048691003292061,0,0,0.0490760823611988,0,0,0.0842323387957145,0,0,0.16389019905952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144167027150433,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.136780868981864,0.0783075320252144,0,0,-0.219288365260747,0,0,0,0,0,-0.0608755487424248,0,0,0,0,0.132186094838605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127347697197892,0,0,0.00664919497303405,-0.194809586934984,0,0,0,-0.041806783288132,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.364481374148578,0,0,0,0.0474568413216456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510653521299644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222347443630861,0,0,0,0,1.37662682334383,0,0,0,0.186457008036651,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,-0.26722052993035,0,0,0,0.181119592783788,0,0,-0.126243573289853,0,0,0,0,0,-0.396454845854537,0,0,1.73472347597681e-18,0,0,0.162614032354684,-0.105026258848199,0,0,0,0,0,0,0,0,0,0.209201614477232,0.103810311635952,0,0.184154284580051,0,0,0,-0.767707241116473,-0.204277230003147,0.164766756548979,0,0,0,0,-0.123654735869257,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,-0.011430910175361,0,0,0,0,0,0,0,0,0,0,-0.0455616497859803,0,0,0,0,0,0,0,0,0.109070876172774,0,-0.139282800477499,0,0,0,0,0,0,0,0,0,0,0.047567257325388,0,0,0,-0.0156277546028642,0,-0.0752155124601758,0,0,0,-0.0300346179357621,0.0298826094426954,0,0.312710585627918,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243811622346621,0,0,0,0,0,0,0,0,0.0242060790889211,0,0,0,0,0,0,0,-0.0664620648207092,0,0,0,0,-1.73472347597681e-18,0,0,0.21345766966919,0,0,0,0,0,-0.0346401532612101,0,0,0,0,0,0.412824224070235,0,0,0.0171021476063394,0,0
MKvol,0,0,0,0,0,0,0,0.000592194751069766,0,0,0,0,0,0,0,-0.00320022115108198,0,0,0,-5.2821686975153e-05,0,0,0,0,0,0,0,0,-0.00202392834453027,0,0,0,0,0,0,0,0,0,0.00644575932005943,0,0,0,0,-0.00240055766290085,0,0,0,0,0,0,0,0.000286636175130993,0,0,0,0,0.00179943388790804,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0.22971466915105,0,0,0,0,0,0,0,0,0,0,-0.331701314259847,0,0,0,0,-0.604725746211389,0,0,0.0672606333601697,0,0,0,0,0,0,0,-0.209159383216506,-0.0316204445860156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139432416452884,-0.957820538412378,0,0,0,0,-2.66690395641975,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049362591430556,0,0,0,0.0270647854852083,0.0123158907554301,0,0,0,0,0,0,-0.0216209462644705,-0.0303960057963178,0,0,0,0,0.0103498511243399,0.00587653412409036,0,0,0,0,0,0,0,0,0,0,-0.0064031866965662,0,0,0,0,0,-0.0065221475595963,0,0,0,0,-0.0418698061202275,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289754377818774,0,0,0,0,-0.00245347763268025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00407560333469685,-0.00636663361288864,0,0,0,0,0.00138142866049852,0,0
