,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X600188.SH,X601992.SH,X600362.SH,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X000709.SZ,X600516.SH,X600157.SH,X600027.SH,X600176.SH,X000786.SZ,X000553.SZ,X600352.SH,X000792.SZ,X000408.SZ,X600808.SH,X600219.SH,X000959.SZ,X600489.SH,X601699.SH,X002271.SZ,X000983.SZ,X601158.SH,X600339.SH,X000723.SZ,X000883.SZ,X002092.SZ,X002470.SZ,X000630.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0.0953702318811104,0.266055533614103,0,0.0488440504852667,0,0,0,-0.00353678075621115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768859131864537,0,0,0.106502203695938,-0.0144265736550003,0.0610940149262137,0,0.0670142398203009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131729436140013,0,0,0,0.0302327157323099,0,0
X600660.SH,0,0,0,0,0,0,0,0.0794728141200901,0,0,0,0,0,0.26367568283785,0,0,0,0,0,0,0,0,0,0,0,0.0494063660534371,0,0,0.0559133480840112,0.0306782497153748,0,0,0.0368232011793429,0,0,0,0,0,0,0.127556470887999,0,0,0,0,0,0,-0.0184130401338129,0,0,0,-0.0319129107713435,0.0440508855833831,0,0,0,0,0,0
X600795.SH,0,0,0,0.0150291709957964,0.0843734945635725,-0.0779769614816466,0,0,0,0,0,0,0,0,0,0,-0.211980837957204,0,0,0,-0.00711137417811121,0,0,0.0515726271682981,0,0,0,0,0,0,0,0,0.0248170254378413,-0.121654622417753,0,0.166109928351192,0,0,0.343311083972366,0.0464499361613952,0,0,-0.106133487338605,0,0,0,0,0,-0.113308120433933,0,0.00111820352867893,-0.0285564936291249,0,0,0,0.152732985019949,0,0
X300072.SZ,0,0,0.0503392147597054,0,0,-0.103419912770808,0,0,0,0,0,-0.345201971754692,0,0,0,0,-0.147906731202363,0,0,0,0,0,0,0,0,-0.0400414056187113,0,0,0.183318539644147,0.0832348074104752,0.0543888273337969,0,-0.0603808744720431,0,0,0,0,0,0,0.283481442620214,0,0,0,0,0,0,0,0,0,0,-0.0946343844940012,0.0976989928970402,-0.169389250467111,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.108326911823815,0,0,0,0,0,0,0,0,0,0,0.152605473377295,0,0,-8.67361737988404e-19,0,0.140240875823541,0,0,0,0,0,0,0,0.0497206761225693,0,0,0.0452434397102996,0,0,0,0,0,0.181753218545952,0.224248138137377,0,0,0,0,0,0,0,0,0,-0.0116358444664979,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120011837755599,0,0,0,0,0,0,0,0,0,0,0.0104919026059295,0,0,0,0,0.155517861459151,-0.0394341176545499,0,0,0.0229489032407816,0,0,0.0688227787405001,0,0,0.026436983211865,0,0,0.0794627569316035,0,0,0,0,0,0,0.0100527209077388,-0.0197186545334332,0,0,0,0,0,0
X600362.SH,0,0,0,0.179053960462205,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.167090338905342,0.0690398251613249,0,0,0,0,0.0198183263388618,0,0,0,0.0406528400884082,-0.022458423825718,0,0,0.0725267167147206,0,0,0.191761847641078,0,0,0,0,0,0,0,0.186965530960672,0,0,0.0216793366729055,-0.0340893245611449,0,0,0,0,0,0
X002466.SZ,0,0,3.46944695195361e-18,0,0,0,0,-0.0915858663242999,0,0,0,0,0,0,0,0,0,0,0,0,0.704693350797657,0,0,0,0,0,0,0,0.05296124779502,0,0,0,-0.0108498279997639,0.149505063974879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163039759945919,0,-0.0342623467670465,0.0255021945368917,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0655385568322576,0,0,0,0,0,0,0,0,-0.075620978339862,0.0424493749862711,0,0.0146119554897715,0,0,0,0,0,-0.0121675275648677,0,0,0.0196473464503909,0,0.0279566829045195,0,0,0,0,0,0,0,0,0,0,0,0.0404572694651171,0.0719085333617557,0,0.00699163232599386,0,0,0,0,-0.0300264056686229,0,0,0,0,0.116145500567457,0,0
X600547.SH,0,0,0,0,-0.0767491802499673,0,0,0,0,0,0,0,0,0,0,0.036947311914867,-0.0442601835752052,0,0,0,-0.0938444656560297,0,0,0,0,0,0,0,0,-0.0196124141249763,0,0,0.0616881108944085,0.045631034051111,-0.0266206161935694,0,0,0.979293699437652,0,0,0,0,0,0,0,0,0,0,0,0,0.0306585768946572,-0.0205396500319275,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123830027833262,0.807966338105415,0,0,0,0,0.149117730469697,0,0,0,0,0,0,0.016645018442289,0,0,0.0679751529294007,0.180127963258776,0,0,0,0,0.0766410025411402,0,0,0,0,0,0,0,0,0,0,0,-0.0377437197706197,0.0207046213447656,0,0,0,0,0,0
X600886.SH,0,0,0,0,-0.0647638291703694,0,0,-0.11764074953453,0,0,0,0,0,0,0,0,0,0.0269693323098932,0,0.072293210214112,0,0,0,0,0,0,0,0,0,-0.0241956742660304,0,0,-0.0127347739922848,-0.0262720022565268,0,0.122304793120909,0,0,0,-0.00392377234241878,0,0,0,0,0,0,0,0,0,0,-0.0092921101082397,0.0190435917241549,0,0,0,0,0,0
X600111.SH,0,0,-0.0797841473686139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830896134942956,0,0,0,0,0,0,0.14047998126625,0,0.0109414925458731,0,0,0,0.173567794361449,0,0,0,0.284075377363437,0,0.136657755141092,0,0,0.0177976123162672,-0.042534165451629,0.632290613624584,0,0.431115871186937,0,0,0,0,0,0,0,0,-0.0357084360881131,0,0,0,0,0,0
X000898.SZ,0,0,-0.0264319098039488,0.25502522090903,0,0,0,0.119660194712502,0,0,0,0,0.0480381529184152,0,0,0,0,0.134396329380115,0,0,0,0,0.02221496387914,0,0,-0.0467549890134458,0,0,0,-0.00759984048137575,0,0,0.0989001410898798,0,0.484277675560945,0,0.0784112989699448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00668168135712568,-0.0144431805834292,0,0,0,0,0,0
X000709.SZ,0,0,0.0121126570258364,0,0,0,0,0,0,0,0,0,0,0.0299384279672171,0,0,0,-0.0211207249471761,0,0,-0.013433577035084,0,0.0505398131184774,0.200093984868564,0,0,0,0,0.0231707806794347,0,0,0,0,0.00772273487490271,0.12122843947192,0,0.216445546922631,0.0976848336870475,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247418607383624,0.0221076795430609,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0.062628770734172,0,0,0,0.318791804783378,0,0,0,0.519255784108434,0,0,0,0,-0.0939488732286409,-0.0336703368608529,0,0,0,0,0,0,0,0,0,0,0.0970390080285111,0,0,0,0.400239916943295,0,0.0927120616066012,-0.382232703533486,0,0,0,0,0,0.685958155189379,0,0,0,0,0,0.0379646472627125,0,0,0,0,0,0
X600157.SH,0,0.0137467989526246,0,0.0256117517592524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858106241485108,0.064138405693508,0,0,0,0,0,0,-0.00325451168893283,0,0,0,0,0,0,0.0348379360788818,0,0,0,0,0,0,0,0.0953278212320332,0,0,0,0,0.00168728139538189,0,0,0,0,-0.00824111085793417,-0.00815429588149135,0,0,0,0,0,0
X600027.SH,0,0,-0.042110785271239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839589894715652,0,0,0.0270085095884409,0,0.0157792276666859,0,0,-0.0543125375644979,0,0,0,0,0,0,0,0.00965652540730988,0.110302365562043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00604992479551175,0.00364398067462588,0,0,0,0,0,0
X600176.SH,0,0,0.112901637555261,0,0.0977325258691209,0,0,0.0322059205613427,0,0,0.211876368448802,0.265617428317027,0,0,0,0,-0.118392360710288,0,0,0,-0.0124725665320346,0,0,0,0,0.0722614262733321,0,0,0,0.135071043963723,0.0287991678102668,0,0.0949238684550173,0.112863895054229,0,0,0,0,-0.282462405444016,0.0531313674115145,0,0,0,0,0,0,0,0,0,0,0.00272207726788041,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0.157196237504743,0,0,0,0,0,0.149014577045536,0,0,0,0,0,0,0,0,-0.113399324681952,0,0,-0.0129653535649455,0,0,0.305666862066514,0,0.0837293769987233,0,-0.0869770302187794,0,0.128318900168798,0,0,0,-0.0511770417627375,0.32746494753003,0,0,0.076016945111842,0,0,0,0,0,0,0,0,0.0125237057243717,0,0,0,0,0,0
