,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600362.SH,X600352.SH,X600188.SH,X600795.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X000786.SZ,X002466.SZ,X600299.SH,X000629.SZ,X601158.SH,X600219.SH,X000883.SZ,X600808.SH,X000553.SZ,X000401.SZ,X600985.SH,X000630.SZ,X000027.SZ,X601699.SH,X600426.SH,X600583.SH,X000825.SZ,X600339.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150886090265678,0,0,0,0.125759505351266,0,0,0,0,0.136401520000262,0,0,0,0,0.0542552943489499,0,0,0.0647780640929356,0,0,0.00731430228597391,0.0670943044660025,0,0,0,0,0.0560520093719718,0.0601874760999392,0,0.0168109138041174,0,0,0,-0.0138049115063382,0,0,0,0.0227349944806337,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.232532751309105,0,0,0,0,0,0,0,0.149547991108369,0.128496721601175,0,0,0,0,-0.0765194543593838,0,0,0,0,0,0,0.182972371182239,0,0.05926866236,0,0,0.0100497143160399,0,0,0,0,0,0.0130116506004995,0,0,0,0,0,0,0,0,0,0,0,0.0572700253925224,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611197236544759,0,0,0,0,0.012189746812431,0,0,0,0,0,0.156602442399194,0,0.137562079989826,0,0,0.0199021354429005,0.0514759290120014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354739673515258,0,0.120805953608015,0,-4.33680868994202e-19,0.0450946647421073,0,0,0,0.0544151139021565,0,0
X600489.SH,0,0,0,0,0,0,0,0.710639857653689,0,0,0,0,0,0,0,0,0,0,0,-0.0197023387510643,0,0.0674067900179976,0,0,0,0,0,0,0,0,0,0,-0.0333003451005977,0,-0.0684787849104209,0,0,0,0.0830754953491038,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173755088714784,0.0652694924406508,0,0,0,-0.00186821307323883,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151121311976715,0,0,0.231823870990707,0,-1.0842021724855e-19,0,0,0.0319534481387551,0.207804535940439,0,0,0,0.151516966190289,0,0,0,0,0,0,0,-0.200200352304948,0,0,0,0,0,0,0,0.0907985293152874,0,0,0,0,0,-0.0672539624468849,0,0,0,0,0.00597876233762196,0,0
X600176.SH,0,0,0,0,0,0.18584425782292,0,0,0,0,0.0957113819743119,0,0,0,0,0,0,0,0,0.130263817318006,0,0.00306602947185643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477827912902102,0.0613586995663763,0,0,0,0,0.375989463013247,0,0,0,0,0,-0.0312786249795885,0,0,0,0,-0.00278629312303909,0,0
X600516.SH,0,0,0,0,0,0,-0.178209990517872,0,0,0,0,0,0,0,0,0,0,0,0,0.125983013648084,0.0598617327494987,0.055415477450529,0,0,0,0,-0.0820875703659034,0,0,0,0,0,1.01345221721929,0,0,0,0,0,0,-0.051694921485689,0,0,0,0,0,0,0,0,0.0597984247647491,0,0,-0.115268692283626,0,0.153771996758817,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.112146874999898,0,0,0,0,0,0,0,0.102887389537759,0,0,0,0.566429090927521,0,0,0,0,0,0,0.0226119802540236,0,0,0,0,0,0,0,0,0.199551163496804,0,0,0,0.00423176124814307,0,0,0,0.00902074058950548,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924567965040162,0,0,0.0197595662778845,0,0.00769573415383344,0,0.106547329218076,0,0,0,0,0.0519326743289426,0,0,0,0,0.0325525892082318,0.0608798156162191,0,0,0,0,0,0,0,0,0,0,0.121834119404048,0,0,0,0,0,-0.0217596288222351,0,0,0,0,0.0172877055581879,0,0
X000786.SZ,0,0,0,0.141133782284967,0,0,0,0,0,0,0,0,0,0.241133480156369,0,0,0,0,0,0,0.163515524604032,0.0814050083878743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12673645946827,0.118432411908597,0.0485258829900748,0,0.195862018562677,0,0,0,0,0.0888051595524422,0,0,0.0525112941953087,0.014361647591345,0,0,0,0.0720177469437838,0,0
X002466.SZ,0,0,0,0,0,0,-0.12725667314568,0.0168917175912392,0,0,0,0,0,0,0,0,0.0318452501202308,0,0,0,0,0,0,-0.0639201744443043,0,0,0,0,0.156068307384815,0.731346960412814,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.082122706714291,0,-0.167068499840488,0,0,0,0,0,0,0.0296504235403384,0,0,2.16840434497101e-19,0,0,0,0,0.00733818990465378,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294633619053103,0.213639800887762,0,0.140857668757551,0,0.134454096914327,0,0,0,0,0,0,0.00303279078216284,0,0,0,0,0,0,0,0,0.227488042655161,0,0.15698158800665,0,0,0,0,0,0.091438646535281,0,0.106475712719751,0,0,0,-0.0106035481969382,0,0,0,0,0.120116011007985,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132027455019941,0.0509386602183713,0,0,0,0,0,0,0.115432867167007,0.0651653919837494,0,0,0,0,0,0,0,0,0,0.142314767379026,0,0.319746456337615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150003345238133,0,0
