,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600111.SH,X600188.SH,X600157.SH,X600362.SH,X600623.SH,X600886.SH,X002466.SZ,X600547.SH,X601992.SH,X600660.SH,X600299.SH,X600489.SH,X000792.SZ,X600309.SH,X601158.SH,X600583.SH,X000883.SZ,X300072.SZ,X000709.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X600549.SH,X002075.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X002407.SZ,X002470.SZ,X000983.SZ,X000012.SZ,X600021.SH,X600098.SH,X600176.SH,X000060.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347058286877827,0,0,0,0,0,0,0,0.0726774463082698,0,0.0259958934714272,0,0,0.198388183097741,0,0.218522890527863,0,0,0,0,0.0628367976647809,0,0,0.0601096272612141,0.00159940245282157,0,0,0,0,0.164606781934877,0.193346480654283,0,-0.113240053119629,0,-0.0272236821479927,-0.0472882688260738,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154452883913543,0,0,0,0,0,0,0,0,0,0,0,0,0.137050988418969,0,0,0,0,0.0688824023488508,0,0,0.208902907724168,0,0,0.20662263165143,0,0,0,0,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080726368616063,0,0,0.242291486768593,0,0.0370406675942975,0,0.25124504874529,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.138047964170933,0.029601103081986,0.00887327949201826,0,0.0732933860233243,1.73472347597681e-18,0,0.0171804730167521,0.0424753944155596,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0.00450718065178492,0,0,0,0,0,0.0871408260148441,0.112067481488843,0,0.216984274925903,0,0,0,0,0,0,0,0.199379621717986,0,0,0,0,0,0,0,0,0,0,0,0.201511735157123,0.127534109598329,0,0,0,0.124352515071465,0,0,0,0,0,0,0,0,0,-0.0125856259199705,0,0,0,0,0,0,0
X000629.SZ,0,0,0.148519800644836,0,0,0,0,0.0715311888801066,0,0,0,0,0,0,0,0,0.111269087516236,-0.0606511434314962,0,0,0,0,0,0,0,0,0,0,0,-0.173023031329488,0,0,0,0,0,0.186928887066625,0.115002290217785,0,0,0,-0.0319061702532073,0,0,0.235294754184298,0,0,0,0,0,0,0,-0.0207548437764496,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519857354903386,-0.00719179258175394,0,0,0.0351053085190658,0,-0.0661514498405854,-0.0572368326230143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00873314265751304,-0.0101628286157174,0,0,0,0,0,0.0479174021998206,0.0250560193835973,0,0,0,0,-1.73472347597681e-18,0,0,-0.147255173872881,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636982232862368,0,0.0984165436859507,-0.154280517612272,0,0,0,-0.0864306408790852,-0.31177342518344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952205552561768,0,0,0.166316146789775,0,0,0.444227166012321,0,0,0,-0.0248548012160629,-0.458536049354229,-0.189537170776147,0,0,1.09591070954561,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0.282889946790977,0,0,0,0,0,0,-0.144495763413072,0,-0.221985878072492,0,0,0.0761175446635334,0,0,0,0,0,0,0,-0.0849828068159243,0,-0.125442572156541,0,0,0,0,0.0520490964083208,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335525751056895,0,-0.1305009386341,0.64781012090914,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198483555549308,-0.373755387211368,-0.0652922156673211,0,0,-0.0262503140587978,0.0731052598048003,0,-0.0489290495003324,0,0,0.338247388941149,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0417945831739711,0,0,0,0,0,0.056868219979619,0,0,-0.00382985649309129,0,0,0,0,-0.0713404468456964,0,0,0.00750982214785007,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505038072003363,0,0,-0.105112924335189,0.0199563682819231,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0317168968208067,0,0,0,0,0.0121863570250894,0,0,0,0.00883205908066653,0.0584342223402513,0,0,0.0686969396488527,0,-0.0852301209788633,0.00365210675123386,-0.169501723490966,0,0,0,0.100559465028761,0,0,0,0,0.66644858142779,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00515541767035692,0,0,0,0,0,0,0.0193906073452118,0,0,0,0,0.0252842566973208,-0.0379432466559012,0.0109511690459041,0,0,0,0,0,0,0,0,0.0200250129454288,0,0.0174662033011542,0,-0.0172632421596879,0,0,0,0,0,0.0426588493806759,0.0464647389889988,0,0,0,0,-0.0983355177677245,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325948364268393,0,0,0,0,0,0,0.0409485300893028,0,-0.00588550791906321,0,0,-0.0454072193884983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405036359454085,0,0,-0.0244708349512339,-0.10708756310293,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782470949634909,0,0,0.00583614137639642,-0.0162015798442202,0,0,0,-0.0106962112346935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129302829075794,0,-0.0132233669803468,0,0,0,0,0.00879229734263272,0,0,-0.0199261632865014,-0.0222608989560833,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0057862209350629,0,0,0,-0.0219520342151859,0,0,0,0.0111874897872317,0,0,0,0.0191492769912181,0,0,0,0,0.0208933104882012,0,0,-0.0046683583893896,-0.0325522615642138,0,0,0,0,0,0,0,0,0,0.00500308901965977,0,-0.0106286958962999,0,0,-0.0678499075547364,0.0740204387405534,0,0,0,0,0,0
