,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600660.SH,X002271.SZ,X000877.SZ,X600010.SH,X600011.SH,X000708.SZ,X600188.SH,X601600.SH,X000301.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X000786.SZ,X600219.SH,X600803.SH,X002080.SZ,X601991.SH,X600795.SH,X000408.SZ,X600688.SH,X600027.SH,X300073.SZ,X300037.SZ,X000807.SZ,X002353.SZ,X600352.SH,X002326.SZ,X000825.SZ,X600489.SH,X600801.SH,X600516.SH,X000630.SZ,X600157.SH,X600486.SH,X600141.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600660.SH,0,0,0,0.142026250562644,0,0,0,0,0,-0.0982918925887516,0,0,-0.0448352732018251,0,0,0,0,0,0,0,0,0,0,0,0.0254835257497326,0,0,0,0,0.0120874802222944,0,0,0,0,0,0.0339042143003218,0,0,0,0,0,0,0,0,-0.0720203592347698,0,0,0,-0.0672454490354465,0,0,0,0.0251000600407842,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,-0.0552687637118255,0,0,0,0,0,-0.0220318081700712,0,0,0.0932251782198944,0,0,0,0,0,0,0,0,0.859064231314055,0,0,0,0,0,0,0,0,-0.0016850371782923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265966868802345,-2.16840434497101e-19,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0,-0.0150226887900082,0,0,-1.0842021724855e-19,0,0.0399723326033928,0,0.0455358054308233,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438066441068282,0.033109143699433,0,0.257344120692787,0,0,0,0,0.0807718939695053,0.00266781705407589,0,-0.0629679607961769,0,0,0,0,0.0568601866213266,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.428874555494645,0,0,-0.0767572120723546,0,0,0,0,0.101366163793451,0,0.00282943520076732,0,0,0,0,0,0,0,0,0,0,0.088303463526158,0,0,0,0,0,0,0,0,0,0,0,0.0624553928746746,0,0.237981284714058,0.00563513223260125,0,0,0,0,0.0967837482864308,0,0.0153309557203747,-0.0585935936553557,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151165840635524,0,0.0223062634449909,0,0,0,0,0.146164682409193,0,0,0,0,0.367325007226597,0,0,0,0,0,0,0,0,0,0.0235684307076191,0,0.129357264179701,0,0.015684884958714,0,0,0.031236597510088,0,0,0,0,0.00483726554063754,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.065601976005958,0,0,0.0797244911675787,0,0,0,0,0.132532785674083,0,0.075123939374601,0,0,0,0,0.083138838051219,0,-0.0127938735656787,0.0729087669891937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179139739351086,0,0,0,0,0.0685631113697367,0,0,0,0.0409081482541443,0,0,0,0,0,0
X600188.SH,0,0,0.408814453103468,0,0,0,0,0,0,0.131402220915719,0,0,0,-0.0202997858773704,0,0,0,0.143197856774996,0,0,0.443988772094297,0,0,0,0.0585561812560703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100163585816827,0.165598456136243,0,0,0,0,0,0.044773995522052,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.0442226161374523,0,0.152175572023569,0,0,0.117932745082498,0,0.14422810230279,0,0.101731060072696,0,0,0,-0.044485134902472,0,0,0,0,0,0,0,0,0,-0.0653811734414361,0,0,0.484199439186997,0,0,0.0307295869058628,0,0,0,0,0,0,0.0226949662131576,0,0,0,0.00525615977222846,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0.0523653306008895,0,0,0,0,-0.407411030650069,0,0.254293541034875,0.126575482181079,0,-0.0012208767897779,0.284263937747931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131897856875269,0,0,0.165726046960834,0,0,0,0,0,0,0,0,0,0,0.0824918545933699,0.00719663047653777,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,-0.0970047591141312,0,0,0,0,0,-0.139305936244253,-0.0860802084905831,-0.0122353017358572,0.0159552377485779,-0.0328709811046493,0,0,0,0,0,0,0,0,0,-0.00931495439411605,0,0,0,0,0,0,0,0.0854778948469016,0,0,0,0,0,0,0,0,0,0,0,0.0319341630610251,0,0,-0.00239374077370362,0.0189529761191713,0,0,0,0,0,0
