,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600352.SH,X600547.SH,X600660.SH,X601991.SH,X000723.SZ,X600886.SH,X600688.SH,X600188.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600111.SH,X600176.SH,X600299.SH,X002466.SZ,X002460.SZ,X000709.SZ,X000990.SZ,X000786.SZ,X600219.SH,X000629.SZ,X000553.SZ,X002110.SZ,X600808.SH,X002271.SZ,X000825.SZ,X000883.SZ,X601158.SH,X600489.SH,X600583.SH,X600985.SH,X600157.SH,X000630.SZ,X600339.SH,X000301.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002110.SZ,0,0,0,0.17194135491434,0,0.18789749243975,0,0,0,0,0,0,0,0,0.149401277003921,0,0,0,0,0,0.045582629874492,0,0,0,0,0,0,0,0,0,0,0.00419724159457337,0.201789394531759,0,0,0,0,0,0,0,0,0,0,0,0.181260801883369,0,0,0,0,0,0,0.0575267692499668,0,0,0,0,-0.0832015094795226,0,0
X600808.SH,0,0,0.0258683393780756,0,0,4.33680868994202e-19,0,0.0270652438040469,0.0387444491946704,0,0,0,0,0,0,0,0,0,0,0,0.0655628285146141,0,0,0.0604409798811977,0,0.186875071044873,0,0,0,0.00210164455136794,0,0,0,0,0,0,0.029800941250969,0,0.0198112942840306,0,0,0,0,0,0,0.0313538152391192,0,0,0,0.0756475652171848,0,-0.0212959399218928,-0.0039301712592194,0,0,0,-0.0310338005283388,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.201159820307566,0,0,0,-0.00692390222615868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899532089523009,0,0,0.0406308082838444,0,-0.0350719356698242,0.0234923362777539,0,0,0,-0.137877200616805,0,0
X000825.SZ,0,0,0,0,0,0.0214396352114381,0,0.140731029243619,0.0573331606179648,0,0.0164265218987891,0,0,0,0,0,0,0.191040447283194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134793985039169,0,0,0.0591878386173921,0,0.0484072215520958,0,0,0,0,0,0,0.0342337380132842,0,0,0,0.0709373091419722,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.0350795677466405,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.20015106422037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241683201028645,0,0,0,0,0,0,0,0,0,0,0,0.0529178592290161,0,0,0,0.0092526218541972,0,-0.0205422229254394,-0.00365723041355139,0,0,0,0,0,0
X601158.SH,0,0,0.189562036598442,0,0,0.0580669413070277,0,0.0536350597409724,0,0,-0.0339122669260716,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.112881301370047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361129527830407,0.0250898867481441,0,0.00130275841294977,0,0,0,-0.0106510857510833,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.561991703447548,0,0,0,0,0,0,0,0,0.052981818205155,0,0,0,0,0,0,0,0,0.0162700014507784,0,0,0.064544312023613,0.0979088260875048,0.140574237392938,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0583065213045355,0,0,0,-0.00127589986213676,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0.141074845709318,0,0,0,0,-0.0438388658849483,0,0,0,0,0,0,0,0,0,0,0.177768077878131,0,0,0,0,0,0,0,0,0,0.0476169447743595,0,0,0.0469369914141892,0,0,0,0,0,0,0,0,0,0,-0.00531094740658898,0,0.219916517312711,0,0.0845002743626111,0,-0.0182839492445179,-0.01281658285593,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,-0.182392374756657,0,0,0,0,-0.0702363015849049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590255715435871,0,-0.0141589446736681,0,0,0.0439108761377519,0.169482520938008,0,0,0,0,0.7010004336839,0,0,0,0,0.0251685884703436,0,0,0,0,0,0,-0.0373632319155759,0,0,0,-0.141905036347071,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086288067207967,0,0.858729377359908,0.133428716849906,0,0,0,-0.458096165992907,0,0,0,0,0,0.00926611704503456,0,0.346785120038778,0,0,0,0,0.0169306751825814,0.101759616831646,0,0,0,0.241495918565543,0,0
