,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X600010.SH,X600111.SH,X600803.SH,X000708.SZ,X600027.SH,X002460.SZ,X000301.SZ,X601991.SH,X600160.SH,X002466.SZ,X600426.SH,X600219.SH,X000983.SZ,X601699.SH,X000786.SZ,X000807.SZ,X000630.SZ,X600985.SH,X000408.SZ,X601168.SH,X600176.SH,X002128.SZ,X000933.SZ,X600096.SH,X000877.SZ,X000883.SZ,X600352.SH,X600378.SH,X002353.SZ,X600995.SH,X600863.SH,X600688.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002128.SZ,0,0,0,0,0,0,0.267374410888917,0,0.280747151584286,0,0,0,0,0,0,0,0,0,0,0.282770663600414,0,0,0,0,0.147907823293029,0.0272920742962527,0,0,0,0.254149218083485,0,0,0,0,0,0,0,0,0,0.0264806605641134,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0663031117371673,0,0,0.0533110859226132,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609611932033969,0,0,0.110331829219657,0,0,0,0,0.665534176257425,0,0.227187990601179,0,0,0,0,0,0.0651983964316588,0,0,0,0,0,0,0.154835244495677,0,0,0,0,0,0,0.0343819772156268,-3.46944695195361e-18,0,0,-0.0222361043918835,0,0
X600096.SH,0,0,0,0,0,0,0.0786324603277216,-0.0359386068934696,-1.38777878078145e-17,0,0,0.136346476981807,0,0,0,0,0,0,0,0,0.11154262928787,0,0.0767697001872521,0.18696973853247,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.172637766172234,0.166286130297376,0,0,0,0,0,0,0,0.226715522310198,0,0,0,0,0.0707555175881563,0,3.46944695195361e-18,0,-0.0135679595573114,0,0,-0.0404100116265397,0,0
X000877.SZ,0,0,0,0,0,-0.13323500154844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124314693966237,0.0106643444445298,0,0,0.106454032124873,0,0,0,0,0,0.0254753925490844,0,0,0,-0.0752641846774472,0,0.566340190441715,0,0,0,0,0,0,0.00682570252968252,0,0,0,0.265763616142806,0,0,0,0.196672996882498,-0.0247408566860046,0,0,0,0,0
X000883.SZ,0,0.374450641579374,0,0,0.175139396341279,0,0,0,0.134127348465521,0,0,0.00814356113384875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161181765784954,0,0,0,0.0941821518935025,0,0,-0.0270636661174236,-0.0582906108762295,0.156135006318952,0.306982243656813,0,0,0,0,0.0988883052095609,0,0,0,-0.0147083847962766,0,0
X600352.SH,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.00310719973986465,0,0,0,0,0,0.0414599763474923,0,0,0.132427204966674,0,0,0.0156566463906925,0.142347074461624,0.0536785418132231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209540818219253,0,0,0,0,-0.0541112455474849,0,0,0,0,0,0.0271355196559623,0,0
X600378.SH,0,0,0,0,0,0,0,0,0.0712678593014023,0,0,0,0,0,-0.196972646682584,0,0.0787404903139534,0,0,0.0399821206520237,0,0.0115821919858404,0,0,0,0,0.282366852054513,0,0,0,0,0,0.345156740766258,0,0.244940007875972,0,0,0,0,0,0,0,0,0,0,-0.297230237623145,0,0,0,0,0,0,0,-0.0367378806780793,0,0,0.0943262641675905,0,0
X002353.SZ,0,0,0,0,0,0,0,-0.0844984249317758,0,0,0,0,0,0,0,0,0,0,0,0.023261280044051,0,0,0,0,0,0,0.334804898864574,0.154431077924677,0,0,0,0,0.27583744701863,0,0,0,0,0.270151641110792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140956291871731,-0.05645756390678,0.23614769958886,0,0,0.00466959604275053,0,0
X600995.SH,0,0,0,0,0,0,0,0,0.0320619699947004,0,0.0407733781693273,0,0,0,0,0,-0.103485660782143,0,0,0,0,0,-0.0045804684123257,0.311317950099804,0.274556448672013,0,0,0,0,0,0,0,0,0,0.0409145533276592,0.0132162647569539,0,0,0,0,0.103315911877795,-0.020126372202696,0.0902429301281677,0,0,-0.0416685769587052,0,0,0,0,-0.124414556026704,0.0939752304153775,-0.0140270793323875,0,0,0,0.0800093156183773,0,0
X600863.SH,0.0407918830842008,0,0,0,0.0508381411382186,0,0,0,0.0070935935642119,0,0,0,0,0.245957785729953,0,0,0.0472265649857099,0,0,0,0,0.103023078743249,-0.00595288122691428,0,0.0802305348096971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20376781769628,0,0,0,0.0331716785407231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0.0776866334528226,0,0.0436009579750433,0,0,0,-0.0243373116728678,0,0,0,0.13459281239672,0,0,0,0.0121218923710765,0,0,0,0,0,0,0,0,0.0502261278097731,0,0,0.141956483865613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961967670371736,0.112010680562538,0,0,0,0,0,0,0,0,0,0.0169515088440227,0.0136082196076289,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0,3.15944145384173e-05,0,0,0,-0.0186661000275337,0,0,-0.180227956836324,0,0,0,0,0,0,0,0,0.0583716502723018,0,0,0.177849770643101,0,0,0,0,0,0.253414684673823,0,0,0,0.0213677011022203,0,0,0.141314412030057,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.0144392611252084,0,0,0,0,-0.0110704433248903,0,0
Change_TY3M,-0.138259735304546,0,0,0,0,0,0,0,0,0.131093143421927,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802056953572977,0,0,0,-0.0757942372394164,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0.00364845459763986,0.0823501955377378,0,0.0165347785000709,-0.0461882988036631,0,0,0,0,0,0,0,0.148826853869063,0,0,-0.0655795580683618,0,0,0,0.01290217951286,0,0
Slope,0,0,0,0,0,-0.382361076177914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0857405416143058,0.154435654827732,0,0,0,-0.0778632282549624,0,0,-0.189965382579879,-0.00701334186756616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215729472502036,0,0.390989123283542,0,0,0,-0.138669270744659,-2.46793933775161,0
TED,-0.354870198605428,0,0,0.196045453899438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109428484124958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253228317683363,0,0.0680921342112153,0,0,1.73472347597681e-18,-0.0442617555295232,0,0,0.146472815489105,-0.298406765896364,0.590530129770081,0,0.113410622221599,0,0,-0.382660338337185,0,0
RealEstate_excess,0.0403981334832535,0,0.027241184630976,0.0378185119606909,0,0,-0.0784395027751341,0,0,-0.0625458805885091,0,0,0,0,-0.209291714298531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14376248174407,3.46944695195361e-18,0,0,0,0,0,0,0,0.0109364261436068,0,0.0273783866865704,0,-0.373059296993682,-0.0267846474586839,0.0214649454084486,0,0,0,0,0,-0.0518088674413261,0.0672579066944043,0,0,0,0.0782111860902366,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0.0165072743881168,-0.115822233939052,0,0,0,0,0,0,0,0,0,-0.0343595134796381,0.0332393891803136,0,-0.042499684137611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164908271289686,0.0146116646061722,0,0,0,0,0,0,0,0,0,-0.00464511111350946,-0.0447408360309609,0.108023475921271,0,0,-0.0690777370170484,0,0
MKvol,0,0,0.000232692787381906,0,0,0,0,0,0,0.00104683348473841,0.000923667496671709,0,0.00416762035061745,0,0,0,0,0,0,0,0,-0.00213841977808443,0,0,0,-8.03813090979204e-05,0,-0.000133349205310584,0,0,0,0.000758951101592862,0,0,-0.0010698244052013,0,-0.000131306927653142,0,0,0,0,0.000310091971665967,0,0,0,0,0,0,0,-0.000851288045793614,0.00296999635733597,0.000105770694271529,0,0,0,0,-0.0035062792018,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.411294505964533,0,0,0,0,0,0,0,0,0,0,0,0,-0.154199627180524,0,0,0,0,0,0,0,0.393490365098196,-0.172229924753287,0,0,0,0,0,0,0,-0.0190297877577732,0,0,-0.228499596002286,0,0,-0.0654890137598388,0,0,0.412402837675661,0.726547759102854,0,0,0,-0.341255658746615,0,0,-0.674536978088814,0,0,0,0,3.80733820197009,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00215451570878393,0,0,0,0,0,0,-0.00588308270954576,0,0,0,0,0,0,0,0,0,0,0.0251857100527628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116235913918297,0.0138475610855516,0,0,0,0.0181879446085949,0,0
CarbonVol_Hubei,0,0,0,0,0,0.000723379308612008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00532030371794635,0,0,0,0,0,0,0,0,0,0,0,0,0.00577230558469413,-0.0100932290047334,0,0,0,0,0,0,0,0,0,-0.000936212295364114,-0.0222540549683713,0.00506562306550987,0.00106062720295197,0,0,0.0132034990331548,0,0
