,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600010.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X600583.SH,X601158.SH,X600547.SH,X000898.SZ,X600489.SH,X600352.SH,X000709.SZ,X000792.SZ,X002353.SZ,X000883.SZ,X000831.SZ,X000539.SZ,X000630.SZ,X000629.SZ,X600808.SH,X000027.SZ,X000825.SZ,X600660.SH,X600549.SH,X600008.SH,X600578.SH,X601699.SH,X000983.SZ,X600315.SH,X600863.SH,X600307.SH,X002470.SZ,X600098.SH,X000937.SZ,X600348.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0.491331020145981,0.0371763187291698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633200890588277,0,0,0,0,0,0,0,0,0,0.0100790683056995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906368755316085,0,0,0,0,0,0,0,0,-0.00987109928312784,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,-0.0391158234196649,0,0,0,0.0642897274914062,0,0,0,0,0,0,0,0.562136734623486,0,0,0,0.107585077017441,0,0,0,0,0,0,0,0,0.0226511260901003,0,0.107394454014219,0,0,0,0,0,0,0,0,0.0269165757342842,0,0,0,0,0,-0.00330484059122879,0,0,0,0,0,0
X600188.SH,0.365192385744561,0,0,0,0,0.0451673679543205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263166568144867,0,0,0,0,0,0,0.201687621679191,0,0.142489023726059,0.047070985536203,0,0,0,0,0,0,0,0,0,-0.0303813587223195,0,0,0,0,0,0,0
X600362.SH,-8.67361737988404e-19,0,0,0,0,0,0,0,0.113262045250198,0,0,0,0.00640843536080735,0,0,0,0,0,0,0.027395589529631,0,0,0,0,0,0,0,0,0,0,0,0.0658699045239037,0,0,0,0,0,0,0,0.187582307567621,0.0256834754625084,0,0,0,0,0,0,0,0,0,0,0,-0.0110937775659923,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155209543304768,0,0.0924125649032123,0,0,0,0.0300261223569519,0,0.0515849243907871,0,0,0.0485127526157729,0.00671117750342039,0,0.317897182296348,0,0,0,0,0,0,0,0.154732521549021,0,0,0,0,0.183725674596276,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.024917946567297,0,0,0,0,0,0
X600027.SH,0,0,0,0.223810173844924,0,0,0,0,0.243388249375569,0.0812457967714335,0,0.00248135468333492,0,0,0,0,0,0,0,0,0.115138904704659,0,0,0,0.0996673285633614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155641548044651,-0.0344057651518683,0,0,0,0,0,0
X600309.SH,0,0,0.0303249946511331,0,0,0,0,0,0,0,0.0389721878120808,0,0.124354124620889,0,0,0,0,0,0,0.134388849397692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000531305565632634,0,0.234703249747579,0,0.0796581018129572,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.179388035562821,0,0,0,-0.00941593636669356,0,0,0,0,0,0
X601992.SH,-0.201124789349938,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0994773576823695,0,0,0,0,0.274198943849386,0,0,0,0.268462279981051,0,0.0804334677339084,0,0,0,0,0.103677640971007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132472667156666,0,0,0,0,-0.0175364006566132,0,0.116468845621956,0,0,0,0,0
X600688.SH,0,0.370585790755075,0,0,0,0,0,0.00832739102857616,0,0,0,-0.0769855584132651,3.46944695195361e-18,0,0,0,0.0287989921321733,0,0,0.0887126351927698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581103012067204,0.220944790334715,0.0974564281056265,0,0,-0.0675570458079316,0,0,0,0,0,0,0,0,0,0,0,0,-0.0487059854630622,-0.0202313244479968,0,0,0,0,0,0
X600583.SH,0,0,0.157382680134106,0,0,0,0,0,0,0,0.094190104378227,0,0,0,0,0,0.0336001238951293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111254210739247,0,0,0,0.0228431884455781,0,0.129284379395559,0,0,0,0,0.0763977328190625,0.00682651238257511,0.0546609999133298,0,0,0,-0.0115224701489686,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24527628196629,0,0,0,0,0,0,0,0,0,0,0,0.0211276140255152,0,0,0,0,0,0,0,0.0885233028451348,0,0,0.114292484538926,0,0,0,0,0,0.0306410957991751,0,0,0,0,0,0,-0.0828430574950572,-0.0625235165289351,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.014814862813862,0.0651018305002927,0,0,0,0,0,0.0413135577465968,0,0.147313262251518,0,0,0.07750402574003,0,0,0,0,0,0.0192155670111065,0.0178631899688505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21942018033761,-0.0331328163743007,0,0,0,0,0.0937786679487218,0,5.42101086242752e-20,-0.00690439798558826,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.229510572955041,0,0.0422878444053078,0.0661074557012185,0,0,0.0658440738397052,0.0819425545778987,0,0,0,0,0,0,0,0,0,0,0,0,0.275460572913311,0,0,0,0,0,0,0,0.00676796269168816,0,0.0909380317942422,0,0,0,0.022116608427102,0,0,0,0,0,0,0,0,0,0,0,0,-0.000450374732106357,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,-0.0923125335352602,0,0.204989941122388,0,0.134207766827634,0,-0.119165157946782,0.181264104748634,0,0,0,0,0,0,0,0,-0.116446807816691,0,0,0,0,0.0321453608886642,0,0,0.115320579319919,0,0,0,0,0,0,0.0501551503082018,0,0,0,0,0,0,0,0,0.130210057863,0,0,0.3748639015314,0,-0.0515866799145123,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,-0.0138661716870835,0,0,0,0,0,0.114873410799312,2.77555756156289e-17,0.0327319117127843,0,0,0,0,0,0,0,0,0.0340546472448953,0,0,0,0,0,0.30682676624596,0,0.165733772256611,0,0,0,-0.0513762712887243,0,0,0.127833008752405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275056130931079,0,0,0,0.0263617374567822,0,0
X000709.SZ,0,0,0,0,0,0.171345316493534,0,0,-6.93889390390723e-18,0,0,0,0.0257479200203918,0,0,0,0,0,0,0,0.0794906394157126,0.0709237960489296,0.523018218737724,0,0,0,0,0,0,0,0.0314429772257408,0,0.0169897349674308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000679982723126824,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109323734061919,0,0,0,0.169454300933078,0.162676701167821,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0930466640322594,0,0.0152765662129811,0,0,0,0,8.67361737988404e-19,-0.000437159599012774,0.000941753598215296,0,0,0,0,0
X002353.SZ,0,0,0,0,0,-0.034488419187744,0,0,-0.0509860010276021,0,0,0,0,0,0,0,0,0,0,0,0.147059087867086,-0.0190965831579261,0,0,0.257325825986095,0,0.126584608881744,0,0,0,0,0,0,0,0.0247376430885307,0,0,0.0458823980408307,0.0328797705108461,0,0,0,0,0,0,0.365558684564265,0,0,0,0,0,-0.0364355014833791,0,0,0,0,0,0,0
