,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600157.SH,X600886.SH,X600111.SH,X600362.SH,X600547.SH,X600188.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X002460.SZ,X002407.SZ,X000723.SZ,X000027.SZ,X002470.SZ,X000630.SZ,X600549.SH,X600021.SH,X600176.SH,X600098.SH,X002075.SZ,X000012.SZ,X000983.SZ,X000629.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0.050862691320963,0,0,0,0,0,0,0,0,0.1649538366451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209225484770125,0,0,0,0.0557967450916844,0,0,0.0266365566038688,0,0,0,0,0,0,0,0.0816390920590142,0.0786464183921193,0,0,0,0,0.0711827961521107,0,0.0123714885060902,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.326262856627634,0,0.0965780789594601,0,0,0,0,0,0,0.0480174669154873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024979943509263,0,0,0,0,0,0.201290540776419,0,0,0.275628638076917,0,0,0,0.00371074177699763,0,0.0579808695055032,-0.0249777205055369,0,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122815266066591,0,0,0,0.168270734305444,0,0,0.0853622171552985,0,0,0,0,0,0,0.165374933189975,0,0,0,0,0,0,0,0,-0.0559647474773288,0.140344105687484,0,0,0,0,0,0,0,0.0949885571653351,0.0846540363340096,0,0,0,0,0,-0.0305282244522704,0,0.311303051717531,0,0,0,0
X600547.SH,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0609933705274101,0,0,0,0,0,0,0,0.184727982750229,0,0,0,0,0,0.851606634448106,0,0,0,0,0.0208875511193866,0,0,0,0,0,0,0,0,0.0587265831366513,0,0,0,0,-0.00961651486530337,0,0,0,0,0,0.051966231600338,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0693063143316796,0,0,0,0,0,0,0,0,0,0.00955160817193927,0,0.00865276530939456,0,0,0,0.20997615024663,0,0,0,0,0,0,0,0,0,0,0,0,-0.147721404505906,0,0,0,0,0.152176161140882,0,0,0,0,0,0.521692638249571,0,0,0,-0.0344829424718905,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0.208570647997879,0,0,0,0,0,0,0,0.0411139441181398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311682755380909,0,0,0,0.0590716908627662,0,0,0.0274820480787563,0,0,0,0,0,-0.0572108046736425,0,0,0,0,0,0.126180478947192,0,0,0,-0.0175566098890859,0.0318624529068236,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.118980175780771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121996626512286,0,0,0,0.0429814334918794,0,0,0.0555975377706641,0,0.0066012178641845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207604877673372,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0.323368470458108,0.0952643416615596,0,0,0,0,-0.0423712122571472,0,0,0,0,0,0,0.130666479127131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279996969423295,0.100738759429156,0,0,0,0,0,0,0.310172714276387,0.0439360337315602,0.0874606107041422,0,0,-0.0391701290508136,0,-0.073130951413813,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601153005167488,0.0895202814292359,0,0,0.135797745842154,0,0,0,0,0,0.000699054739070108,0,0,0,0,0,0,0,0,0.116498832836459,0,0,0,0,0.0479057807096595,0,0.0392956633188745,0,0,0,0,0,0.0233177776081776,0.275501885354506,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.22676797163824,0,0,0,0,0,0,0,0,0,0,0.106036564163551,0,0,0,0,0,0,0.113486342460184,0,0,0,0.02796820755814,0,0,0,0,0,0,0,0,0.0282721121501878,0,0,0,-4.33680868994202e-19,0,0,0.0600845799896085,0,0.0428172223317422,0,0.127902011200464,0,0,0,0,0,0,0,0,0,0
