,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600688.SH,X600188.SH,X300072.SZ,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600176.SH,X600352.SH,X600027.SH,X000786.SZ,X000792.SZ,X000553.SZ,X000408.SZ,X600489.SH,X600219.SH,X600808.SH,X000959.SZ,X002271.SZ,X601158.SH,X000883.SZ,X002092.SZ,X600339.SH,X000723.SZ,X601699.SH,X600299.SH,X002110.SZ,X002470.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495891295504494,0,0,0.326070167085351,0.142986792457802,0,0,0,0,0,0.0177179248826372,0.121676703975734,6.93889390390723e-18,0.216878424937855,0,0,6.93889390390723e-18,0,0,0,0,0.147765387757931,0.294342804522718,0,0.108649102069432,0,0,0,0,0,-0.0140001422070882,-0.0485745946101618,0,0,0,0,0,0
X000898.SZ,0,0,0,0.338547133211123,0,0,0,0.0230248783686564,0,0,0,0,0,0,0,0,0,0,0,0,0.0829185628854246,0,0.13641907657767,0,-0.0423484884174376,0,0,0,0,0,-0.00874344625725509,0.0658217845609965,0,0,0,0,0.370308497444372,0.0411404443059662,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,1.73472347597681e-18,-0.024374912874753,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0.188614247262002,0,0,0.241283992013508,0,0,0,0,0,0,0,0,0,-0.0845851307805161,-0.218220816358334,0,0,0,0,0,-0.0288929431053665,0,0,0,0.0941954292398946,0,0,0,0.536056625638323,0,0.57193415561271,-0.245732839463547,0,0,0.438778575940334,0,0.510874917520345,0,0,0,0,0,0,-0.0539338683764833,0.0338136949728313,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356073103269606,0,-0.027701103699813,0,0,0,0,0,0,0.0605018595564323,0.13120662901661,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.014277615309986,0.0671982829942189,0,0.159713458638257,0.254330751774759,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148216044325864,0.0156968360306438,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240693808493753,0,0,0,0,0,0,0,0,0.0328562608486401,0.102853237554448,-8.67361737988404e-19,0,0,0,0,0,-0.0206907071229108,0.0188855728193475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0083915744642151,-0.00634771569584417,0,0,0,0,0,0
X600176.SH,0,0,0.116719328038952,0,0,0,0,0.0756180403207431,0,0,0.18683011819312,0,0,0,0,0,0,0,0,0,-0.00430939397058746,0,0,0,0.106525296895676,0,0,0,0,0,0.118623035618182,0.0487767058877602,0,0.303753853623608,0,0,0,0,0,0,0,0,0,0,-0.151467940062342,0,0,0,0,0,0,0.020565353703486,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,-0.0795746848797429,0,0.102890902207036,0,0,0,0,0,0.0374179931044672,0,0.117546754939874,0,0,0,0,0,0,0,0,0,0,0,0.0371617587960034,0,0,0.0681274841792047,0.0726977762104591,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143532022175333,0.121114906020005,0,0,0,0,0.0387497483034254,-0.0309972505275291,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,-0.0232554168865558,0.0755567306806466,0,0,0,0.0435124267288369,0,0,0,0,0,0,0,0,0,0.0553519201291498,0,-0.0653883459615911,0,0,0,0,0,0.0179968635387254,-0.00873508700351619,0,0.061911803685991,0,0,0,0,0,0,0,0.0340293587251439,0,0,0,0.0311921520871061,0,0,0,0,0.00160213738693667,0.0096681426642448,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0.136016689578646,0,0,0,0,0,0,0,0,0,0,0,0,-0.0626220658332372,-0.0811320203236012,0,0,-0.0358851333429522,0,0,0.452302390105146,0,0,0,-0.0540226389752231,0,0,0.0295220038212048,0,0,0,0.337433443334205,0,0,0,0.249145731694586,0,-0.113142846080071,0,0,0,0,0,-0.0110126906960197,0.00142957294034942,0,0,0,0,0,0
X000792.SZ,0,0,0,0,-0.0616272035391864,0,0,0,0,0,0.17676773337854,0,0,-0.0875299379149262,0,0,0,0,0,0,0.39130808357756,0,0.89867891764901,0.0120130297935257,-0.138801618926428,0,0,0,0,0,0.168763770125016,0,0,0.0528634664723987,0,0,0,0,0,0,0,0,0,0,0,-0.000379125562793649,0,0,0,-0.587797895809364,0,-0.101934590006872,0,0,0,0,0,0
