,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600019.SH,X600111.SH,X600011.SH,X600660.SH,X600010.SH,X002271.SZ,X000877.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000629.SZ,X600803.SH,X000408.SZ,X601991.SH,X600348.SH,X600027.SH,X000983.SZ,X600096.SH,X000723.SZ,X600160.SH,X000786.SZ,X002080.SZ,X600219.SH,X300073.SZ,X601699.SH,X600141.SH,X002353.SZ,X600157.SH,X600549.SH,X600378.SH,X000933.SZ,X300037.SZ,X600295.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600096.SH,0,0,0,0,0,-0.0039581912599543,-0.173686862045642,0,0,0,0.319325767768014,0,0,0,-0.14283458821305,0,0,0,0.0487848795340251,0,0,0,0,0,0,0,0,-0.137282805303348,0,0,0,0,0,0,0,0.0557298626543725,0,0,0,0,0,0.84957313946139,0.187074559934427,0,0,0,0,0.0589352716959694,0,0,0,0,0.0550456973499432,0,0,0,-0.0016047452967228,0,0
X000723.SZ,0,0,0,0,0,0.119117923399776,0,0,0,0,0,0,0.0324976746723664,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.023497602816125,0,0,0,0,0.212625213881218,0,0.0977383658182334,0,0,0,0.163956137279035,0,0,0,-0.00801840199718807,0,0.0744491170874216,0.089576879413344,0,0.0609391372343186,0,-0.0543150869241435,0,0,0,0.0351899974528509,0,0
X600160.SH,0,0,0,0,-0.000602613608522637,0,0,0,0,0.00342216861744813,0,0,0,0,0,0,0.0628209407854238,0,0,0,0,0,0,0,0,0,0.0196961785319576,0,0,0,0.117440885899143,0,0,0,0,0,0,0.0675947321591144,0,0,0,0.203257339835038,0,0,0,0,0,0,0,0,0,0.0444558948676879,0.206283265768033,0,0,0,-0.042328444162545,0,0
X000786.SZ,0,0,0,0,-0.0104037073444623,0,0,0,0,0,0,0,0,0,0,0,0.443819573115457,0.161025279284435,0,0,1.38777878078145e-17,0,0,0,0.151178086430137,0,0,0,0,0,-0.0902027790898711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231287626959333,0,0,0,0,0,0.00571103593567886,0,0,0,-8.67361737988404e-19,0,0
X002080.SZ,0,0,0,0,0,0.150029486422424,0,0,0,-0.0512451757856323,0,0,0,0.190410033395084,0.111570592940775,0,0,0,0,0,0,0,0,0,0,0,0.0572818302643006,0,0,0.016053114208985,0.115200363505866,0,0,0,0,0,0,0,0,0.235331810721307,0,0,0,0,0,-0.0190450291460081,0,0,0.128981094440871,0,0,0,-0.038173853944339,0,0,0,0.0363172613072602,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.129084841623764,0,0,0,0.0834148374997037,0,0,0.0492166191026479,0,0.0160355581060987,0.0300102658711844,0.363196644642579,0,0,0.0221344818355938,0,0,0,0,0,0,0,0.00518708410706335,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0402053696594646,0,0,0,0.0868741409361296,-1.73472347597681e-18,-0.0700974949541832,0,0,0,0.0339478986017553,0,0
X300073.SZ,0,0,0,0,0,0,0,0,0,-0.0631002435140248,0,0,0,0.0681883705833715,0,0,0,0,0,0,0,0,0,0,0,0,0.0743712419321441,0,0.206619966771111,0,-5.42101086242752e-20,0.221745829145658,0,0.0174309586871598,0,0,0,0,0.02905256495725,0,-0.0582806265800798,0,0,0,0,0,0,0.110758819180297,0,0,0,0,0.0912076459831435,0,0,0,-0.0153256309303978,0,0
X601699.SH,0,0,0,0,0.288059624248054,0.0571042770911056,0,0,0,0,0.0588421221439884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878097590839017,0,0.28422802814602,0.0421849792128573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218177585220998,0,0,0,0,0,0
X600141.SH,0,0,0,0,0,0.0281642630671732,0.0441783282923566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422688406208088,-0.111421924195552,0,0.597680777126491,0,0,0,0.0761505961491474,0,0.024637607666755,1.0842021724855e-19,0,0,0,0.0752344589665332,-0.00890922008676903,0,0,0,0,0,0,-0.0199439051591994,0,0,0,0,0,0
X002353.SZ,0,0.0757888820073193,0,0,0.123489292195436,0,-0.0440002344027833,0,0,0,0.183317579203776,0,0,0,0,0,0,0,0.00624520633478633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560109448614551,0,0,0,0,0,0,0,0,0,0,0,0.0781533899258744,3.46944695195361e-18,0.0273821750092083,0.0722689371405473,0,0,-0.0740334230641485,-0.0690150230088527,0,0,0,0,0,0
