,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X601600.SH,X600660.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X601991.SH,X600160.SH,X000301.SZ,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X600176.SH,X600219.SH,X000786.SZ,X000807.SZ,X002128.SZ,X000630.SZ,X600985.SH,X601168.SH,X000877.SZ,X000933.SZ,X000408.SZ,X600096.SH,X000883.SZ,X002353.SZ,X000932.SZ,X000027.SZ,X600378.SH,X002271.SZ,X600995.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.254303463142368,0,0,-0.123449497639236,0,0,0,0,0,0,0,0,0,0,0.0291302898621755,0,0,0,0.267734882126365,0,0,0,0,-0.0485684310599888,0,-0.0509774867158207,0,-1.73472347597681e-18,0.138325742362086,0,0,0.000418402849457443,0,0,0.0670853117707986,0,0,0,-0.0517956303134585,-0.0137101255462937,-0.0781879866204351,-0.147198908354021,0,0,-0.0306568352932684,0,0
X000807.SZ,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0158949056879667,0,0,0,0,0.352171260614012,0,0.0813867660415735,0,0.0346484700627085,0,0,0,0,0,0,0,-0.0124210112358234,0,0,0.305267214510395,0,0.126679646658758,0.0795940035384394,0.202168224428405,0,-2.16840434497101e-19,0,0.0749008110111512,0,0,0,0,0,0,0,0,0.0950306711463625,0,0,0,0.0153152013772138,0,0
X002128.SZ,0,0,0,0.058382414768639,0,0,0,0,0,0,0.0943552518947173,0,0,0,0,0,0.0444253580824552,0,0,0,0.105333807979504,0,0,0,0.00309418949115487,0,0,0,0.200880404651939,0,0,0,0,0,0,0,0,0,0,0.264439873365758,0,0,0,0,0,0,0,0.100718375785914,0,0,0,0,0,0,0,0,-0.112661107406165,0,0
X000630.SZ,0,0,0,0,0,0,0,0.0457265242719364,0,0,0,0,0,0,0,0.0360535015731891,0.234180484081703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344035894748761,0,0.102272546965238,0,0,0.0195941233335475,0.0670701107001564,0.0654087574626094,0,0,0.0586376869129523,0,0,0,0,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0,0.136991821220679,0,0,0,0,0.123612367627024,0,0,0,0,0,0,0,0,0.070166009021441,0,0,0,0,0,0,0,0,0.358063764914728,0.0713299775938274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634174904097732,0,0.0748953049392334,0,0,0,0.0725535808317325,0,0,0,0,0,0.00581595484563419,0,0
X601168.SH,0,0,0,0,0,0.191323162610506,0,0.0670327498450613,0,0,0,0.287604994788713,0,0,0,0.240582333052663,0.404467036801491,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247856263994418,0,0,0,0,0.0723065071645027,0,0,0,0,0.182233990195798,0,0,0,0,0,0,0,0,0,0.0162290167304863,0,0,0,0,0,-0.0314267986661647,0,0
X000877.SZ,0,0,-0.124648378261962,0,0,0,0,0,0,0,0,0,-0.0830202091820914,0,0,0,0,0,0,0.129087478203084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398800603744428,0,0.0458067253662051,0.125860350785393,0,0,-0.124907607131271,0,0.000500238168596107,0,0,0,0.018947918000231,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0.245071477484233,0,0,0,0,0,0,0,0,0,0,0,0,0.0826678594018969,0,0,0,0,0.0526288643670648,0,0,0,0.158912067173341,0.0668813707024902,0,0,0,0,0,0,0,0.233195336739788,0.130689837689793,0,0,0,0,0,0,0,-0.0171694358432704,0,0,0,0,-0.0186196960728929,0,0
X000408.SZ,0,0,0,0,0,-0.111451071735697,0,0,0,0,0,0.0856957661061129,0,0,0,0,0,0,0,0,0,0,0,0,0.102242787191588,0,0,0,0,-0.095651823480867,0,0,0.048048083611358,0,0,0,0,0.319871400498277,0,0,0,1.73472347597681e-18,0,0.253367468491105,0,0,0,-0.118517036021797,0,0,0,-0.0367142277509713,0,0,0,0,0.0426322548548688,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0.121382490733516,0,0,0,0.201015425482457,0,0,0,0.129674178680096,0,0,0.221835482349208,0,0,0,0,0,0,0,0.116443275185366,0.0582061915522697,0,0,0,0,0,0,0.0910331849989401,0,0,0,0,0,0.0084351758848394,0,0,0,0,0,0,0,0,0,0,0,-0.0127376567789813,0,0
