,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.0151402405364043,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0620265610002956,0,0,0,0,0,0,0,0,0,0,0,0.00839964101779555,0,0,0,0,0,0,0,0,0,-0.0889449439845851,0,0.0145408770415403,0,0,0,-0.0605329392033338,0.0898982102614239,0,0,0,0,0,0
X601600.SH,0,0,0.0287903536307707,0,0,0,0.109760310911951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791981938025458,0.0891539634623993,0,0.0810094228371711,0.0547695553460769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981510746210599,0,0,0,-0.024949673626053,0,0.141559795503933,0,-0.0041277399994985,-0.0288446409724422,0,0,0,0.00857412746906763,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.122879505347655,0,0.066483731424798,0,0,0,0.0458954343195169,0,0,0,0,0,0,0,0,0,0,0.0253605457763288,0,0,0,0,0,0,0.106127579142247,0,0.0571986250563459,0,0.0482133058862511,0,0,0,0,0,0,0,-0.00549477855250245,0,0,0,0.00788519489332908,-0.00603375858469145,0,0,0,-8.67361737988404e-19,0,0
X600362.SH,0,0,0,0,0,0,0.0487893099021952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277348289004687,0,0,0.270919564513471,0,0,0.0297372694303486,0,0,0,0,0,0,0,0,0,0,0,0,0.0965301549363027,0,0,0,0,0,0.0218782762626458,0,0,0,-0.000851307486518011,0.00203013688876039,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.23052847506123,0,0.0934427604647395,0,0,0,0,0,0,0,0,0,0,0,0,0.109740201645458,0,0,0,0,0,0,0,0,0,0.111684561813075,0,0,0,0,0,0,0.136482007777561,0,0,0.138085583711965,0,0,0,0,0.0291086824105108,0.176720146124337,0,0,0,0,0.0238269825797599,-0.0508351694096934,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.223348191609453,0,0,0,0.172861868429198,0,0,0,0,0,0,0,0,0,0,0.0817386602992159,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103739614251399,0,0,0,0,0,0.00429630648048106,0,0,0,-0.0142502840184353,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.049796692337824,0.0301121727475225,0,0,0,0,0,0,0.0709586509266673,0,0,0,0,0,0,0,0.109874255802377,0.197731170147077,0.057258868630747,0,0,0,0,0,0.162786567619122,0,0.0139673117344152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.00975116251067252,0,0,0,0.00719382035495619,0,0
X601992.SH,0,0,0.403137173449328,0,0,0,0,0,-0.0377218341580335,0,0,0,0,0,0,0,0,0,0,0,0,0.039708977850452,0,0,0,0.0238347460262553,0.0951172708831891,0,0,0,0,0,0,0,0,0.209750187764107,0,0,0,0,0.0157527164279954,0,0,-8.67361737988404e-19,0,0,0.023407494468659,-0.0399620584396879,0,0,0,0.0455797421516346,-0.0314817212161156,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757780817070171,0.243298999736277,0,0,0,0.113488359184523,0.065638445488129,0,0,0,0.0502840287809716,0,0,0,0,0,0,0,0.215769325108518,0,0.00132061003379465,0,0,0.0680147757787139,0.0347943648103501,0.0550275384685473,0,0,0,0,0,0,0,0,0.0222925719293946,0,0,0,0,0.0358859790735013,0,0
X600516.SH,0,0,0,0,0,0,0.177804872034983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279797784446889,0.0577326787922257,0,0,0,0.316749900939117,0,0,0.148379930291758,0,0,0,0,0,0,0,0,0,0,0,0.0341796095883016,0,0.0104565709844319,0,0,4.24803269395875e-06,0.0800002180820213,0,0,0.168199327443462,0,0.00382776269508839,0.0302526128638708,0,0,0,0,0,0
