,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X600352.SH,X000709.SZ,X600299.SH,X600516.SH,X600489.SH,X002460.SZ,X601158.SH,X600808.SH,X000629.SZ,X600219.SH,X600801.SH,X000786.SZ,X000825.SZ,X000883.SZ,X000539.SZ,X300072.SZ,X600612.SH,X000553.SZ,X000301.SZ,X000408.SZ,X600583.SH,X000027.SZ,X002110.SZ,X002470.SZ,X000630.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354091164959513,0,0,0,0,0,0.0218259932466946,0,0,0,0,0,0.0288468668389806,0.104654720016413,0,-2.16840434497101e-19,0,0,0.0355810798587534,0,0,0,0,0,0.0816606074394349,0,0.046114106274945,0,0,0,0,0,0.0418150895714409,0,0,0.0161105163102213,0,0.00810947883720426,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0.0234326411557501,0,0,0,0,0,0,0,0,0,0,0,0,0.0264385428658241,0,0,0,0,0,0,0.0605604393906579,0.310853244509082,0,-4.33680868994202e-19,0,0,0,0,0,0.145657769912549,0,0,0,0,0,0,0,0,0.016047984738534,0,0,0,0,0,0,-0.0189904980668229,-0.0197176355707349,0,0,0,0,0,0
X000709.SZ,0,0.0147170852954502,0,0,0.156802180188955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024546544608394,0,0,0.00229959334854711,0,0.0215106375842837,0,0,0.126938913904567,0,0,0,0,0.100206575289206,0.0612411495166581,0,0.0798538066489013,0.0539106489093299,0,0,0,0,0,0,0,0.00388502011056859,0,0,0,0,0,0,-0.0162292683988773,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0.0750658649387692,0,0.214180305989751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298540669179139,0,0.254643574087234,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0449852482490997,0,0.0565666490738871,0,0,0.185845905714254,0,0,0,0,0,0,0,0,0,0,0,-0.0117106854403223,0,0,0,0,-0.000230438720303809,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255847677191673,0,0,0,0,0.126376476467594,0,0.288458354623872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196755029105924,0,0,0,0.0437424350523805,0,0,0,0,0.0860048120572074,0,0.0670139593371436,0,0,0.0670971130378518,0,0.000373594808685951,0.0236971818265342,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,-0.0423106447360592,0.00864697468267944,0.729010050931306,0,0,0,0,0,0,0,0.122878422565843,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802079779509792,0,0,0,0,0.0528726280332917,0.105851844110073,0,0,0,0,0,0,0.0201196962054222,0,0,0,0,0,0,0,0,-0.016247603233987,0.0136644886408512,0,0,0,-0.0463320196244358,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,-0.135289907515682,0,0,0,0,0,0,0,0,0,0,0.732956852549491,0,0,0,0,0,0,0,0,0,0,0.126785567590401,0,0,0.168365129959236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171518990569996,-0.013408319889256,-0.0596463264847184,0,0,0,-0.0676555867807868,0,0
X601158.SH,0.0148941723505632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810756165436305,0,0,0,0,0.120117009927968,0,0,0.0640881229416593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101693141720529,0,0.0127764333180092,0.0593274003810025,0,0,0,0,0,-0.00557884432199541,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0.161779395996674,0.0651998511289335,0,0,0,0,0,0,0,0.0789152001899983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99087818222832e-05,0,0,0,0,0.123722159890647,0,0,0.509802900418388,0,0,0,0,0.000447706486228143,3.46944695195361e-18,0,0,0,0,0,0
X000629.SZ,0,0,0,0.0287454031838845,0,0.0876301998192925,-0.0441338632628431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722291881854177,0,0,0,0,0,0,0,0,0,0,0,0,0.477958941180591,0,0,0.327345569775918,0,0,0,0,0,0,-0.0239372177577688,0,-0.0312745065479077,0.0206648720244333,0,0,0,0,0,0
